channel,id,signal,time_s,value,asc_line,raw_hex
1,0x3c2,VCLEFT_hornSwitchPressed,2.3462,0,6632,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.4463,0,6911,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.5461,0,7222,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.6462,0,7506,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.7462,0,7780,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.8462,0,8057,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,2.9461,0,8332,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.0462,0,8617,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.1462,0,8895,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.2462,0,9177,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.3462,0,9455,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.4462,0,9734,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.5462,0,10048,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.6462,0,10330,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.747,0,10610,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.8463,0,10886,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,3.9463,0,11163,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.0472,0,11452,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.1459,0,11724,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.2463,0,12008,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.3463,0,12286,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.4462,0,12564,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.5463,0,12877,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.6463,0,13160,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.746,0,13435,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.8463,0,13718,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,4.9459,0,13993,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.0463,0,14282,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.1463,0,14559,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.2463,0,14842,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.3463,0,15120,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.4463,0,15398,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.546,0,15712,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.6464,0,15993,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.746,0,16269,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.8459,0,16548,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,5.946,0,16824,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.0459,0,17106,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.1464,0,17384,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.2464,0,17668,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.3464,0,17948,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.4464,0,18228,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.5464,0,18544,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.6464,0,18828,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.746,0,19105,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.8464,0,19386,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,6.9461,0,19659,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.0463,0,19945,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.1464,0,20225,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.2464,0,20508,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.3471,0,20789,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.4465,0,21066,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.5462,0,21379,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.6464,0,21661,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.7461,0,21939,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.8464,0,22217,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,7.9464,0,22492,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.0461,0,22775,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.1464,0,23053,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.2464,0,23335,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.3462,0,23615,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.4465,0,23895,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.5464,0,24209,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.6465,0,24488,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.7462,0,24767,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.8465,0,25042,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,8.9462,0,25317,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.0462,0,25601,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.1462,0,25879,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.2462,0,26161,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.3462,0,26440,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.4462,0,26719,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.5463,0,27034,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.6463,0,27315,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.7462,0,27594,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.8462,0,27869,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,9.9462,0,28145,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.0463,0,28427,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.1463,0,28703,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.2463,0,28987,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.3463,0,29266,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.4466,0,29546,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.5463,0,29860,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.6467,0,30140,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.7463,0,30417,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.8463,0,30693,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,10.9463,0,30968,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.0463,0,31252,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.1463,0,31530,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.2463,0,31813,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.3463,0,32092,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.4463,0,32373,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.5468,0,32694,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.6463,0,32973,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.7463,0,33254,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.8463,0,33529,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,11.9468,0,33809,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.0463,0,34091,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.1468,0,34371,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.2468,0,34653,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.3468,0,34934,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.4464,0,35213,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.5468,0,35529,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.6464,0,35805,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.7468,0,36086,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.8468,0,36359,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,12.9468,0,36634,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.0468,0,36919,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.1466,0,37195,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.2464,0,37477,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.3464,0,37756,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.4466,0,38034,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.5469,0,38353,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.6466,0,38629,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.7465,0,38910,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.8465,0,39183,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,13.947,0,39461,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.0466,0,39745,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.1466,0,40023,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.2466,0,40305,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.3465,0,40583,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.4466,0,40863,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.5466,0,41177,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.6466,0,41458,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.7467,0,41739,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.8466,0,42016,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,14.9467,0,42294,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.0466,0,42578,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.1466,0,42856,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.2466,0,43139,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.3466,0,43417,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.4466,0,43695,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.5466,0,44014,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.6466,0,44293,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.7468,0,44574,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.8466,0,44849,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,15.9467,0,45124,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.0467,0,45407,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.1466,0,45685,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.2467,0,45967,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.3467,0,46246,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.4466,0,46528,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.549,0,46856,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.6466,0,47127,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.7468,0,47409,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.8467,0,47684,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,16.9467,0,47960,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.0468,0,48245,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.1467,0,48524,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.2503,0,48821,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.3467,0,49086,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.4467,0,49366,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.5496,0,49699,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.6467,0,49964,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.7467,0,50245,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.8467,0,50519,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,17.9469,0,50796,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.0468,0,51080,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.1501,0,51371,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.2468,0,51638,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.3469,0,51918,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.4468,0,52198,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.5497,0,52527,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.6468,0,52793,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.7469,0,53073,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.8468,0,53346,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,18.9468,0,53622,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.0468,0,53906,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.1468,0,54185,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.2468,0,54466,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.3468,0,54744,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.4468,0,55023,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.5502,0,55355,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.6469,0,55621,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.7509,0,55918,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.7981,1,56051,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.8469,1,56175,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,19.9469,1,56451,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.0469,1,56735,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.1184,0,56938,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.1469,0,57015,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.2469,0,57297,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.3469,0,57576,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.4469,0,57855,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.5492,0,58184,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.6469,0,58453,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.7183,1,58648,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.747,1,58733,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.8502,1,59023,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.95,1,59298,04 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,20.9982,0,59438,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.05,0,59582,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.147,0,59847,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.247,0,60129,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.347,0,60407,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.447,0,60690,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.5471,0,61012,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.6471,0,61294,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.7471,0,61574,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.8471,0,61850,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,21.95,0,62141,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.0471,0,62411,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.1471,0,62690,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.2471,0,62970,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.3471,0,63251,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.4471,0,63533,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.5501,0,63863,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.6503,0,64143,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.7471,0,64406,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.8501,0,64694,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,22.9495,0,64969,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.0503,0,65254,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.15,0,65530,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.2503,0,65812,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.3495,0,66088,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.4501,0,66372,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.5503,0,66690,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.6501,0,66970,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.7471,0,67235,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.8503,0,67521,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,23.9503,0,67801,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.0472,0,68072,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.1501,0,68361,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.2503,0,68643,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.3501,0,68920,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.4504,0,69203,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.5473,0,69508,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.6473,0,69789,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.7472,0,70066,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.8473,0,70344,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,24.95,0,70635,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.0502,0,70920,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.1473,0,71185,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.2502,0,71480,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.3473,0,71743,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.4502,0,72037,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.5473,0,72345,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.65,0,72636,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.7505,0,72917,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.8502,0,73191,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,25.9473,0,73456,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.0474,0,73738,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.1473,0,74016,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.2474,0,74296,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.3497,0,74586,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.45,0,74872,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.5498,0,75190,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.6497,0,75471,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.7506,0,75755,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.8501,0,76029,00 55 55 55 00 00 59 45
1,0x3c2,VCLEFT_hornSwitchPressed,26.9502,0,76308,00 55 55 55 00 00 59 45
