time_s,can_id,raw_hex,asc_dlc,voltage_raw_u16,voltage_v,smooth_raw_s15,smooth_onyx_a,smooth_raw_s16,smooth_json_a,unfiltered_raw_s16,unfiltered_model3can_a
174.145800,0x132,7e 8e e0 07 ef 4f,6,36478,364.78000000000003,2016,-201.60000000000002,2016,201.60000000000002,20463,-201.1500000000001
174.155800,0x132,6a 8e d5 07 d8 4f,6,36458,364.58,2005,-200.5,2005,200.5,20440,-200.0
174.165900,0x132,76 8e dc 07 ec 4f,6,36470,364.7,2012,-201.20000000000002,2012,201.20000000000002,20460,-201.0
174.175800,0x132,6e 8e d1 07 cb 4f,6,36462,364.62,2001,-200.10000000000002,2001,200.10000000000002,20427,-199.35000000000002
174.185900,0x132,6c 8e de 07 e7 4f,6,36460,364.6,2014,-201.4,2014,201.4,20455,-200.75
174.196100,0x132,63 8e d6 07 d6 4f,6,36451,364.51,2006,-200.60000000000002,2006,200.60000000000002,20438,-199.9000000000001
174.205800,0x132,70 8e dd 07 f0 4f,6,36464,364.64,2013,-201.3,2013,201.3,20464,-201.20000000000005
174.215900,0x132,65 8e d0 07 c9 4f,6,36453,364.53000000000003,2000,-200.0,2000,200.0,20425,-199.25
174.225800,0x132,70 8e dc 07 e6 4f,6,36464,364.64,2012,-201.20000000000002,2012,201.20000000000002,20454,-200.70000000000005
174.235800,0x132,73 8e d4 07 d2 4f,6,36467,364.67,2004,-200.4,2004,200.4,20434,-199.70000000000005
174.246000,0x132,75 8e de 07 f5 4f,6,36469,364.69,2014,-201.4,2014,201.4,20469,-201.45000000000005
174.255800,0x132,66 8e d1 07 d6 4f,6,36454,364.54,2001,-200.10000000000002,2001,200.10000000000002,20438,-199.9000000000001
174.266000,0x132,6c 8e db 07 e6 4f,6,36460,364.6,2011,-201.10000000000002,2011,201.10000000000002,20454,-200.70000000000005
174.275800,0x132,60 8e d3 07 d0 4f,6,36448,364.48,2003,-200.3,2003,200.3,20432,-199.60000000000002
174.285800,0x132,69 8e df 07 f4 4f,6,36457,364.57,2015,-201.5,2015,201.5,20468,-201.4000000000001
174.296100,0x132,5f 8e d3 07 dc 4f,6,36447,364.47,2003,-200.3,2003,200.3,20444,-200.20000000000005
174.305800,0x132,76 8e da 07 ee 4f,6,36470,364.7,2010,-201.0,2010,201.0,20462,-201.10000000000002
174.315800,0x132,6e 8e d1 07 c9 4f,6,36462,364.62,2001,-200.10000000000002,2001,200.10000000000002,20425,-199.25
174.325800,0x132,7e 8e df 07 f3 4f,6,36478,364.78000000000003,2015,-201.5,2015,201.5,20467,-201.35000000000002
174.335800,0x132,6d 8e d3 07 dd 4f,6,36461,364.61,2003,-200.3,2003,200.3,20445,-200.25
174.345800,0x132,6c 8e dc 07 f8 4f,6,36460,364.6,2012,-201.20000000000002,2012,201.20000000000002,20472,-201.60000000000002
174.355800,0x132,67 8e d0 07 d3 4f,6,36455,364.55,2000,-200.0,2000,200.0,20435,-199.75
174.365900,0x132,69 8e dc 07 ea 4f,6,36457,364.57,2012,-201.20000000000002,2012,201.20000000000002,20458,-200.9000000000001
174.375800,0x132,70 8e d5 07 da 4f,6,36464,364.64,2005,-200.5,2005,200.5,20442,-200.10000000000002
174.385900,0x132,6f 8e de 07 fa 4f,6,36463,364.63,2014,-201.4,2014,201.4,20474,-201.70000000000005
174.396100,0x132,70 8e d1 07 d6 4f,6,36464,364.64,2001,-200.10000000000002,2001,200.10000000000002,20438,-199.9000000000001
174.405800,0x132,6e 8e db 07 eb 4f,6,36462,364.62,2011,-201.10000000000002,2011,201.10000000000002,20459,-200.95000000000005
174.415800,0x132,66 8e d3 07 d1 4f,6,36454,364.54,2003,-200.3,2003,200.3,20433,-199.6500000000001
174.425800,0x132,74 8e de 07 08 50,6,36468,364.68,2014,-201.4,2014,201.4,20488,-202.4000000000001
174.435800,0x132,76 8e d1 07 f6 4f,6,36470,364.7,2001,-200.10000000000002,2001,200.10000000000002,20470,-201.5
174.446000,0x132,7b 8e da 07 ee 4f,6,36475,364.75,2010,-201.0,2010,201.0,20462,-201.10000000000002
174.455800,0x132,69 8e d2 07 d0 4f,6,36457,364.57,2002,-200.20000000000002,2002,200.20000000000002,20432,-199.60000000000002
174.465800,0x132,6f 8e de 07 f3 4f,6,36463,364.63,2014,-201.4,2014,201.4,20467,-201.35000000000002
174.475800,0x132,70 8e d1 07 df 4f,6,36464,364.64,2001,-200.10000000000002,2001,200.10000000000002,20447,-200.35000000000002
174.485800,0x132,6c 8e de 07 13 50,6,36460,364.6,2014,-201.4,2014,201.4,20499,-202.95000000000005
174.496100,0x132,71 8e d2 07 ee 4f,6,36465,364.65000000000003,2002,-200.20000000000002,2002,200.20000000000002,20462,-201.10000000000002
174.505800,0x132,69 8e dd 07 fe 4f,6,36457,364.57,2013,-201.3,2013,201.3,20478,-201.9000000000001
174.515900,0x132,6f 8e d4 07 e7 4f,6,36463,364.63,2004,-200.4,2004,200.4,20455,-200.75
174.525800,0x132,6e 8e de 07 0d 50,6,36462,364.62,2014,-201.4,2014,201.4,20493,-202.6500000000001
174.535800,0x132,6e 8e d1 07 ee 4f,6,36462,364.62,2001,-200.10000000000002,2001,200.10000000000002,20462,-201.10000000000002
174.545800,0x132,81 8e db 07 00 50,6,36481,364.81,2011,-201.10000000000002,2011,201.10000000000002,20480,-202.0
174.555900,0x132,68 8e d1 07 d3 4f,6,36456,364.56,2001,-200.10000000000002,2001,200.10000000000002,20435,-199.75
174.565900,0x132,70 8e dd 07 f8 4f,6,36464,364.64,2013,-201.3,2013,201.3,20472,-201.60000000000002
174.575800,0x132,66 8e d4 07 f6 4f,6,36454,364.54,2004,-200.4,2004,200.4,20470,-201.5
174.585800,0x132,67 8e dc 07 0b 50,6,36455,364.55,2012,-201.20000000000002,2012,201.20000000000002,20491,-202.54999999999995
174.596100,0x132,5e 8e ce 07 d2 4f,6,36446,364.46,1998,-199.8,1998,199.8,20434,-199.70000000000005
174.605800,0x132,72 8e dd 07 fa 4f,6,36466,364.66,2013,-201.3,2013,201.3,20474,-201.70000000000005
174.615900,0x132,69 8e d0 07 dd 4f,6,36457,364.57,2000,-200.0,2000,200.0,20445,-200.25
174.625800,0x132,76 8e d9 07 0d 50,6,36470,364.7,2009,-200.9,2009,200.9,20493,-202.6500000000001
174.635800,0x132,67 8e d3 07 ec 4f,6,36455,364.55,2003,-200.3,2003,200.3,20460,-201.0
174.645900,0x132,67 8e d6 07 fb 4f,6,36455,364.55,2006,-200.60000000000002,2006,200.60000000000002,20475,-201.75
174.655800,0x132,70 8e d1 07 d7 4f,6,36464,364.64,2001,-200.10000000000002,2001,200.10000000000002,20439,-199.95000000000005
174.666000,0x132,7a 8e dd 07 fb 4f,6,36474,364.74,2013,-201.3,2013,201.3,20475,-201.75
174.675800,0x132,69 8e cd 07 f0 4f,6,36457,364.57,1997,-199.70000000000002,1997,199.70000000000002,20464,-201.20000000000005
174.685800,0x132,78 8e d9 07 f5 4f,6,36472,364.72,2009,-200.9,2009,200.9,20469,-201.45000000000005
174.696100,0x132,5a 8e d4 07 e1 4f,6,36442,364.42,2004,-200.4,2004,200.4,20449,-200.45000000000005
174.705800,0x132,6c 8e df 07 fd 4f,6,36460,364.6,2015,-201.5,2015,201.5,20477,-201.85000000000002
174.715800,0x132,74 8e d2 07 db 4f,6,36468,364.68,2002,-200.20000000000002,2002,200.20000000000002,20443,-200.1500000000001
174.725800,0x132,6e 8e d5 07 03 50,6,36462,364.62,2005,-200.5,2005,200.5,20483,-202.1500000000001
174.735800,0x132,6b 8e ce 07 ea 4f,6,36459,364.59000000000003,1998,-199.8,1998,199.8,20458,-200.9000000000001
174.745800,0x132,74 8e db 07 ee 4f,6,36468,364.68,2011,-201.10000000000002,2011,201.10000000000002,20462,-201.10000000000002
174.755900,0x132,6a 8e d3 07 d7 4f,6,36458,364.58,2003,-200.3,2003,200.3,20439,-199.95000000000005
174.766000,0x132,62 8e db 07 00 50,6,36450,364.5,2011,-201.10000000000002,2011,201.10000000000002,20480,-202.0
174.775800,0x132,66 8e d3 07 e7 4f,6,36454,364.54,2003,-200.3,2003,200.3,20455,-200.75
174.785800,0x132,69 8e da 07 f1 4f,6,36457,364.57,2010,-201.0,2010,201.0,20465,-201.25
174.796200,0x132,69 8e d1 07 d8 4f,6,36457,364.57,2001,-200.10000000000002,2001,200.10000000000002,20440,-200.0
174.805800,0x132,61 8e de 07 f8 4f,6,36449,364.49,2014,-201.4,2014,201.4,20472,-201.60000000000002
174.815800,0x132,6a 8e d2 07 e1 4f,6,36458,364.58,2002,-200.20000000000002,2002,200.20000000000002,20449,-200.45000000000005
174.825800,0x132,6a 8e dc 07 fe 4f,6,36458,364.58,2012,-201.20000000000002,2012,201.20000000000002,20478,-201.9000000000001
174.835800,0x132,6d 8e d0 07 d7 4f,6,36461,364.61,2000,-200.0,2000,200.0,20439,-199.95000000000005
174.845900,0x132,77 8e dc 07 ef 4f,6,36471,364.71,2012,-201.20000000000002,2012,201.20000000000002,20463,-201.1500000000001
174.856000,0x132,58 8e cc 07 dc 4f,6,36440,364.40000000000003,1996,-199.60000000000002,1996,199.60000000000002,20444,-200.20000000000005
174.865800,0x132,72 8e de 07 03 50,6,36466,364.66,2014,-201.4,2014,201.4,20483,-202.1500000000001
174.875800,0x132,73 8e d3 07 e9 4f,6,36467,364.67,2003,-200.3,2003,200.3,20457,-200.85000000000002
174.885800,0x132,6b 8e db 07 f5 4f,6,36459,364.59000000000003,2011,-201.10000000000002,2011,201.10000000000002,20469,-201.45000000000005
174.896200,0x132,64 8e d0 07 d7 4f,6,36452,364.52,2000,-200.0,2000,200.0,20439,-199.95000000000005
174.905800,0x132,6d 8e dd 07 f8 4f,6,36461,364.61,2013,-201.3,2013,201.3,20472,-201.60000000000002
174.916000,0x132,63 8e d1 07 e2 4f,6,36451,364.51,2001,-200.10000000000002,2001,200.10000000000002,20450,-200.5
174.925800,0x132,6e 8e db 07 ff 4f,6,36462,364.62,2011,-201.10000000000002,2011,201.10000000000002,20479,-201.95000000000005
174.935800,0x132,70 8e ca 07 dd 4f,6,36464,364.64,1994,-199.4,1994,199.4,20445,-200.25
174.945800,0x132,71 8e d7 07 ef 4f,6,36465,364.65000000000003,2007,-200.70000000000002,2007,200.70000000000002,20463,-201.1500000000001
174.955900,0x132,72 8e cd 07 d5 4f,6,36466,364.66,1997,-199.70000000000002,1997,199.70000000000002,20437,-199.85000000000002
174.966000,0x132,73 8e d7 07 f1 4f,6,36467,364.67,2007,-200.70000000000002,2007,200.70000000000002,20465,-201.25
174.975800,0x132,6a 8e cd 07 e1 4f,6,36458,364.58,1997,-199.70000000000002,1997,199.70000000000002,20449,-200.45000000000005
174.985800,0x132,71 8e dc 07 00 50,6,36465,364.65000000000003,2012,-201.20000000000002,2012,201.20000000000002,20480,-202.0
174.996200,0x132,69 8e cf 07 db 4f,6,36457,364.57,1999,-199.9,1999,199.9,20443,-200.1500000000001
175.005800,0x132,6b 8e d6 07 e9 4f,6,36459,364.59000000000003,2006,-200.60000000000002,2006,200.60000000000002,20457,-200.85000000000002
175.015800,0x132,69 8e d2 07 df 4f,6,36457,364.57,2002,-200.20000000000002,2002,200.20000000000002,20447,-200.35000000000002
175.025800,0x132,6f 8e de 07 ff 4f,6,36463,364.63,2014,-201.4,2014,201.4,20479,-201.95000000000005
175.035800,0x132,69 8e cb 07 e1 4f,6,36457,364.57,1995,-199.5,1995,199.5,20449,-200.45000000000005
175.046000,0x132,70 8e d5 07 ef 4f,6,36464,364.64,2005,-200.5,2005,200.5,20463,-201.1500000000001
175.056100,0x132,75 8e c9 07 d7 4f,6,36469,364.69,1993,-199.3,1993,199.3,20439,-199.95000000000005
175.065900,0x132,71 8e d4 07 e9 4f,6,36465,364.65000000000003,2004,-200.4,2004,200.4,20457,-200.85000000000002
175.075800,0x132,6b 8e cf 07 d8 4f,6,36459,364.59000000000003,1999,-199.9,1999,199.9,20440,-200.0
175.085800,0x132,72 8e de 07 03 50,6,36466,364.66,2014,-201.4,2014,201.4,20483,-202.1500000000001
175.096200,0x132,6c 8e c8 07 d7 4f,6,36460,364.6,1992,-199.20000000000002,1992,199.20000000000002,20439,-199.95000000000005
175.105800,0x132,6e 8e d6 07 e5 4f,6,36462,364.62,2006,-200.60000000000002,2006,200.60000000000002,20453,-200.6500000000001
175.115800,0x132,67 8e ca 07 c4 4f,6,36455,364.55,1994,-199.4,1994,199.4,20420,-199.0
175.125800,0x132,64 8e d7 07 e6 4f,6,36452,364.52,2007,-200.70000000000002,2007,200.70000000000002,20454,-200.70000000000005
175.135800,0x132,70 8e cc 07 dc 4f,6,36464,364.64,1996,-199.60000000000002,1996,199.60000000000002,20444,-200.20000000000005
175.145800,0x132,80 8e d6 07 ee 4f,6,36480,364.8,2006,-200.60000000000002,2006,200.60000000000002,20462,-201.10000000000002
175.155800,0x132,63 8e c7 07 db 4f,6,36451,364.51,1991,-199.10000000000002,1991,199.10000000000002,20443,-200.1500000000001
175.166000,0x132,72 8e da 07 e2 4f,6,36466,364.66,2010,-201.0,2010,201.0,20450,-200.5
175.175800,0x132,69 8e d3 07 e1 4f,6,36457,364.57,2003,-200.3,2003,200.3,20449,-200.45000000000005
175.186000,0x132,72 8e d8 07 eb 4f,6,36466,364.66,2008,-200.8,2008,200.8,20459,-200.95000000000005
175.196200,0x132,6c 8e ca 07 d7 4f,6,36460,364.6,1994,-199.4,1994,199.4,20439,-199.95000000000005
175.205800,0x132,67 8e d8 07 e7 4f,6,36455,364.55,2008,-200.8,2008,200.8,20455,-200.75
175.215800,0x132,70 8e cb 07 cb 4f,6,36464,364.64,1995,-199.5,1995,199.5,20427,-199.35000000000002
175.225800,0x132,74 8e d9 07 db 4f,6,36468,364.68,2009,-200.9,2009,200.9,20443,-200.1500000000001
175.235800,0x132,70 8e cf 07 cd 4f,6,36464,364.64,1999,-199.9,1999,199.9,20429,-199.45000000000005
175.246000,0x132,6c 8e db 07 ee 4f,6,36460,364.6,2011,-201.10000000000002,2011,201.10000000000002,20462,-201.10000000000002
175.255800,0x132,67 8e cc 07 d3 4f,6,36455,364.55,1996,-199.60000000000002,1996,199.60000000000002,20435,-199.75
175.265900,0x132,69 8e d5 07 fa 4f,6,36457,364.57,2005,-200.5,2005,200.5,20474,-201.70000000000005
175.275800,0x132,6b 8e cd 07 c7 4f,6,36459,364.59000000000003,1997,-199.70000000000002,1997,199.70000000000002,20423,-199.1500000000001
175.285800,0x132,70 8e d9 07 e1 4f,6,36464,364.64,2009,-200.9,2009,200.9,20449,-200.45000000000005
175.296200,0x132,6f 8e ce 07 cd 4f,6,36463,364.63,1998,-199.8,1998,199.8,20429,-199.45000000000005
175.305800,0x132,6a 8e db 07 ea 4f,6,36458,364.58,2011,-201.10000000000002,2011,201.10000000000002,20458,-200.9000000000001
175.315800,0x132,75 8e cd 07 d0 4f,6,36469,364.69,1997,-199.70000000000002,1997,199.70000000000002,20432,-199.60000000000002
175.325800,0x132,62 8e d6 07 db 4f,6,36450,364.5,2006,-200.60000000000002,2006,200.60000000000002,20443,-200.1500000000001
175.335800,0x132,6a 8e cd 07 be 4f,6,36458,364.58,1997,-199.70000000000002,1997,199.70000000000002,20414,-198.70000000000005
175.345800,0x132,77 8e da 07 dc 4f,6,36471,364.71,2010,-201.0,2010,201.0,20444,-200.20000000000005
175.355800,0x132,6a 8e d2 07 c8 4f,6,36458,364.58,2002,-200.20000000000002,2002,200.20000000000002,20424,-199.20000000000005
175.366100,0x132,69 8e d8 07 ff 4f,6,36457,364.57,2008,-200.8,2008,200.8,20479,-201.95000000000005
175.375800,0x132,6e 8e cd 07 c4 4f,6,36462,364.62,1997,-199.70000000000002,1997,199.70000000000002,20420,-199.0
175.386000,0x132,7b 8e d7 07 d6 4f,6,36475,364.75,2007,-200.70000000000002,2007,200.70000000000002,20438,-199.9000000000001
175.396200,0x132,74 8e cc 07 c1 4f,6,36468,364.68,1996,-199.60000000000002,1996,199.60000000000002,20417,-198.85000000000002
175.405800,0x132,7f 8e d9 07 d5 4f,6,36479,364.79,2009,-200.9,2009,200.9,20437,-199.85000000000002
175.415800,0x132,6b 8e cc 07 c3 4f,6,36459,364.59000000000003,1996,-199.60000000000002,1996,199.60000000000002,20419,-198.95000000000005
175.425800,0x132,75 8e d7 07 df 4f,6,36469,364.69,2007,-200.70000000000002,2007,200.70000000000002,20447,-200.35000000000002
175.435800,0x132,70 8e cb 07 c4 4f,6,36464,364.64,1995,-199.5,1995,199.5,20420,-199.0
175.445900,0x132,6e 8e d6 07 d6 4f,6,36462,364.62,2006,-200.60000000000002,2006,200.60000000000002,20438,-199.9000000000001
175.455900,0x132,6c 8e c9 07 da 4f,6,36460,364.6,1993,-199.3,1993,199.3,20442,-200.10000000000002
175.466000,0x132,71 8e d5 07 d8 4f,6,36465,364.65000000000003,2005,-200.5,2005,200.5,20440,-200.0
175.475800,0x132,75 8e ce 07 c8 4f,6,36469,364.69,1998,-199.8,1998,199.8,20424,-199.20000000000005
175.485800,0x132,75 8e d7 07 e0 4f,6,36469,364.69,2007,-200.70000000000002,2007,200.70000000000002,20448,-200.4000000000001
175.496200,0x132,6a 8e ca 07 c3 4f,6,36458,364.58,1994,-199.4,1994,199.4,20419,-198.95000000000005
175.505800,0x132,6b 8e d5 07 cc 4f,6,36459,364.59000000000003,2005,-200.5,2005,200.5,20428,-199.4000000000001
175.516000,0x132,77 8e ca 07 b7 4f,6,36471,364.71,1994,-199.4,1994,199.4,20407,-198.35000000000002
175.525800,0x132,6b 8e d6 07 d2 4f,6,36459,364.59000000000003,2006,-200.60000000000002,2006,200.60000000000002,20434,-199.70000000000005
175.535800,0x132,67 8e cc 07 c7 4f,6,36455,364.55,1996,-199.60000000000002,1996,199.60000000000002,20423,-199.1500000000001
175.545800,0x132,6b 8e d6 07 d6 4f,6,36459,364.59000000000003,2006,-200.60000000000002,2006,200.60000000000002,20438,-199.9000000000001
175.555900,0x132,78 8e ca 07 bd 4f,6,36472,364.72,1994,-199.4,1994,199.4,20413,-198.6500000000001
175.566000,0x132,72 8e d6 07 d3 4f,6,36466,364.66,2006,-200.60000000000002,2006,200.60000000000002,20435,-199.75
175.575800,0x132,6b 8e cc 07 b4 4f,6,36459,364.59000000000003,1996,-199.60000000000002,1996,199.60000000000002,20404,-198.20000000000005
175.585800,0x132,63 8e d8 07 d3 4f,6,36451,364.51,2008,-200.8,2008,200.8,20435,-199.75
175.596200,0x132,6f 8e cd 07 c4 4f,6,36463,364.63,1997,-199.70000000000002,1997,199.70000000000002,20420,-199.0
175.605800,0x132,7b 8e d6 07 db 4f,6,36475,364.75,2006,-200.60000000000002,2006,200.60000000000002,20443,-200.1500000000001
175.615900,0x132,6f 8e c7 07 bb 4f,6,36463,364.63,1991,-199.10000000000002,1991,199.10000000000002,20411,-198.55000000000007
175.625800,0x132,75 8e d4 07 cb 4f,6,36469,364.69,2004,-200.4,2004,200.4,20427,-199.35000000000002
175.635800,0x132,67 8e c9 07 b3 4f,6,36455,364.55,1993,-199.3,1993,199.3,20403,-198.1500000000001
175.646000,0x132,68 8e d8 07 d0 4f,6,36456,364.56,2008,-200.8,2008,200.8,20432,-199.60000000000002
175.655900,0x132,6c 8e d1 07 e4 4f,6,36460,364.6,2001,-200.10000000000002,2001,200.10000000000002,20452,-200.60000000000002
175.665900,0x132,71 8e d8 07 fe 4f,6,36465,364.65000000000003,2008,-200.8,2008,200.8,20478,-201.9000000000001
175.675800,0x132,74 8e c9 07 b7 4f,6,36468,364.68,1993,-199.3,1993,199.3,20407,-198.35000000000002
175.685800,0x132,65 8e d4 07 c9 4f,6,36453,364.53000000000003,2004,-200.4,2004,200.4,20425,-199.25
175.696200,0x132,6f 8e c8 07 af 4f,6,36463,364.63,1992,-199.20000000000002,1992,199.20000000000002,20399,-197.95000000000005
175.705800,0x132,78 8e d6 07 cc 4f,6,36472,364.72,2006,-200.60000000000002,2006,200.60000000000002,20428,-199.4000000000001
175.715800,0x132,78 8e cb 07 bb 4f,6,36472,364.72,1995,-199.5,1995,199.5,20411,-198.55000000000007
175.725800,0x132,77 8e d4 07 d2 4f,6,36471,364.71,2004,-200.4,2004,200.4,20434,-199.70000000000005
175.735800,0x132,75 8e c7 07 b9 4f,6,36469,364.69,1991,-199.10000000000002,1991,199.10000000000002,20409,-198.45000000000005
175.745900,0x132,69 8e d3 07 c7 4f,6,36457,364.57,2003,-200.3,2003,200.3,20423,-199.1500000000001
175.755800,0x132,6c 8e cf 07 da 4f,6,36460,364.6,1999,-199.9,1999,199.9,20442,-200.10000000000002
175.766100,0x132,6b 8e d8 07 f6 4f,6,36459,364.59000000000003,2008,-200.8,2008,200.8,20470,-201.5
175.775800,0x132,69 8e cc 07 bc 4f,6,36457,364.57,1996,-199.60000000000002,1996,199.60000000000002,20412,-198.60000000000002
175.785800,0x132,6b 8e d6 07 d7 4f,6,36459,364.59000000000003,2006,-200.60000000000002,2006,200.60000000000002,20439,-199.95000000000005
175.796200,0x132,6e 8e c8 07 bd 4f,6,36462,364.62,1992,-199.20000000000002,1992,199.20000000000002,20413,-198.6500000000001
175.805800,0x132,73 8e d3 07 c9 4f,6,36467,364.67,2003,-200.3,2003,200.3,20425,-199.25
175.815800,0x132,5f 8e c5 07 a9 4f,6,36447,364.47,1989,-198.9,1989,198.9,20393,-197.6500000000001
175.825800,0x132,71 8e d4 07 bf 4f,6,36465,364.65000000000003,2004,-200.4,2004,200.4,20415,-198.75
175.835800,0x132,73 8e ca 07 b7 4f,6,36467,364.67,1994,-199.4,1994,199.4,20407,-198.35000000000002
175.846000,0x132,78 8e d6 07 d3 4f,6,36472,364.72,2006,-200.60000000000002,2006,200.60000000000002,20435,-199.75
175.856000,0x132,75 8e cc 07 df 4f,6,36469,364.69,1996,-199.60000000000002,1996,199.60000000000002,20447,-200.35000000000002
175.865900,0x132,74 8e d3 07 f4 4f,6,36468,364.68,2003,-200.3,2003,200.3,20468,-201.4000000000001
175.875800,0x132,69 8e c7 07 ad 4f,6,36457,364.57,1991,-199.10000000000002,1991,199.10000000000002,20397,-197.85000000000002
175.885800,0x132,76 8e d3 07 c3 4f,6,36470,364.7,2003,-200.3,2003,200.3,20419,-198.95000000000005
175.896100,0x132,75 8e c9 07 ae 4f,6,36469,364.69,1993,-199.3,1993,199.3,20398,-197.9000000000001
175.905800,0x132,70 8e d4 07 c8 4f,6,36464,364.64,2004,-200.4,2004,200.4,20424,-199.20000000000005
