rank,can_id,0s 开始CAN采集,10s 记录P挡稳定状态,20s 踩住制动并挂入D挡,25s 记录D挡静止状态1,35s 第一次轻踩加速踏板,45s 第一次保持低速10公里,55s 第一次结束有效加速段,70s 第一次停车并挂P挡,85s 踩住制动并再次挂入D挡,90s 记录D挡静止状态2,100s 第二次轻踩加速踏板,110s 第二次保持低速10公里,120s 第二次结束有效加速段,135s 第二次停车并挂P挡,150s 结束CAN采集
11,0x1D8,6bit/524次,6bit/700次,6bit/700次,6bit/700次,27bit/1250次,19bit/796次,37bit/1196次,25bit/1342次,6bit/700次,6bit/700次,27bit/1407次,23bit/988次,15bit/793次,23bit/953次,6bit/84次
12,0x22B,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,39bit/57次,6bit/6次,0bit/0次,0bit/0次,0bit/0次,6bit/6次,2bit/3次,9bit/12次,0bit/0次,0bit/0次
13,0x126,9bit/55次,9bit/77次,9bit/77次,9bit/76次,22bit/118次,17bit/95次,17bit/144次,22bit/140次,9bit/76次,9bit/77次,23bit/133次,17bit/119次,16bit/106次,21bit/123次,5bit/7次
14,0x545,40bit/870次,43bit/1214次,48bit/1357次,44bit/1400次,46bit/1269次,43bit/1296次,43bit/1269次,46bit/1233次,48bit/1336次,44bit/1332次,46bit/1311次,43bit/1264次,43bit/1281次,48bit/1281次,37bit/147次
15,0x268,0bit/0次,0bit/0次,0bit/0次,0bit/0次,6bit/18次,0bit/0次,6bit/10次,6bit/18次,0bit/0次,0bit/0次,8bit/30次,6bit/6次,2bit/2次,4bit/6次,0bit/0次
16,0x788,43bit/388次,43bit/536次,50bit/484次,38bit/491次,39bit/491次,38bit/505次,39bit/493次,39bit/493次,56bit/492次,39bit/499次,39bit/489次,38bit/494次,38bit/506次,50bit/505次,37bit/54次
17,0x7D7,0bit/0次,0bit/0次,0bit/0次,0bit/0次,3bit/9次,0bit/0次,3bit/3次,3bit/9次,0bit/0次,0bit/0次,4bit/15次,3bit/3次,1bit/1次,2bit/3次,0bit/0次
18,0x1D6,8bit/49次,8bit/70次,7bit/72次,8bit/76次,12bit/93次,6bit/36次,7bit/62次,12bit/82次,8bit/77次,7bit/70次,12bit/87次,5bit/35次,7bit/48次,12bit/97次,5bit/5次
19,0x388,0bit/0次,0bit/0次,37bit/1242次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,38bit/1376次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,39bit/633次,0bit/0次
20,0x257,9bit/286次,9bit/394次,9bit/386次,9bit/387次,21bit/443次,19bit/426次,40bit/557次,35bit/801次,9bit/388次,9bit/389次,34bit/524次,28bit/442次,26bit/474次,35bit/792次,9bit/48次
21,0x132,14bit/703次,20bit/1002次,23bit/970次,21bit/1316次,17bit/1072次,17bit/1020次,43bit/1813次,33bit/1215次,23bit/1038次,21bit/1149次,27bit/1223次,27bit/1214次,15bit/1046次,32bit/995次,19bit/151次
22,0x2B4,9bit/73次,10bit/78次,15bit/129次,11bit/90次,13bit/81次,12bit/104次,13bit/107次,14bit/127次,15bit/115次,12bit/74次,14bit/122次,12bit/121次,14bit/113次,14bit/136次,10bit/11次
23,0x7A8,46bit/410次,46bit/597次,51bit/479次,44bit/548次,45bit/558次,45bit/570次,45bit/556次,44bit/558次,50bit/462次,44bit/561次,44bit/560次,45bit/563次,44bit/581次,51bit/544次,45bit/61次
24,0x228,8bit/50次,8bit/76次,18bit/95次,8bit/76次,8bit/74次,16bit/84次,8bit/74次,10bit/78次,18bit/93次,8bit/76次,8bit/74次,8bit/76次,8bit/74次,21bit/99次,4bit/6次
25,0x2E8,8bit/54次,8bit/74次,19bit/97次,9bit/74次,8bit/76次,9bit/77次,8bit/76次,10bit/77次,19bit/97次,8bit/74次,8bit/76次,8bit/74次,8bit/76次,15bit/85次,4bit/6次
26,0x288,8bit/52次,8bit/76次,18bit/95次,8bit/76次,8bit/74次,16bit/84次,8bit/74次,10bit/76次,18bit/95次,8bit/75次,8bit/75次,8bit/75次,8bit/75次,21bit/97次,5bit/7次
27,0x2A8,8bit/51次,8bit/75次,19bit/95次,9bit/74次,8bit/75次,9bit/82次,8bit/74次,10bit/78次,19bit/97次,8bit/75次,8bit/75次,8bit/76次,8bit/74次,15bit/86次,4bit/6次
28,0x3FE,0bit/0次,4bit/6次,12bit/13次,9bit/12次,4bit/6次,6bit/8次,4bit/6次,4bit/6次,13bit/22次,4bit/6次,6bit/8次,4bit/6次,8bit/10次,4bit/6次,0bit/0次
29,0x108,26bit/160次,26bit/176次,27bit/173次,24bit/172次,44bit/317次,33bit/244次,46bit/302次,48bit/337次,27bit/176次,25bit/144次,44bit/283次,32bit/251次,29bit/221次,42bit/281次,19bit/21次
30,0x1E5,4bit/448次,4bit/600次,12bit/709次,5bit/702次,6bit/680次,5bit/700次,5bit/700次,5bit/700次,12bit/707次,5bit/700次,6bit/662次,5bit/700次,5bit/700次,12bit/707次,4bit/72次
31,0x39B,4bit/6次,11bit/22次,14bit/75次,6bit/14次,8bit/16次,12bit/19次,12bit/22次,7bit/15次,13bit/29次,6bit/14次,7bit/15次,8bit/16次,8bit/16次,16bit/30次,0bit/0次
32,0x3B6,0bit/0次,6bit/8次,5bit/7次,8bit/10次,4bit/6次,16bit/19次,16bit/21次,15bit/17次,7bit/9次,4bit/6次,7bit/9次,12bit/16次,14bit/18次,14bit/18次,0bit/0次
33,0x25B,8bit/53次,8bit/74次,12bit/81次,8bit/74次,8bit/76次,8bit/74次,8bit/76次,8bit/75次,12bit/82次,8bit/75次,8bit/75次,8bit/75次,8bit/75次,12bit/84次,6bit/10次
34,0x328,0bit/0次,0bit/0次,38bit/1231次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,39bit/1260次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,39bit/636次,0bit/0次
35,0x211,10bit/56次,10bit/80次,12bit/85次,10bit/78次,10bit/84次,10bit/78次,10bit/80次,10bit/81次,12bit/85次,10bit/79次,10bit/79次,10bit/81次,10bit/81次,12bit/85次,8bit/10次
36,0x128,0bit/0次,0bit/0次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,1bit/1次,0bit/0次
37,0x344,5bit/5次,5bit/7次,5bit/7次,5bit/7次,18bit/21次,9bit/11次,28bit/38次,5bit/7次,5bit/7次,5bit/7次,17bit/19次,12bit/16次,5bit/7次,5bit/7次,0bit/0次
38,0x2A4,1bit/1次,1bit/1次,2bit/4次,1bit/1次,3bit/5次,4bit/4次,5bit/9次,2bit/3次,7bit/9次,3bit/4次,5bit/10次,4bit/4次,6bit/8次,9bit/14次,0bit/0次
39,0x340,7bit/33次,7bit/45次,8bit/54次,8bit/50次,7bit/47次,7bit/46次,7bit/47次,7bit/45次,8bit/53次,8bit/50次,7bit/45次,7bit/47次,7bit/48次,7bit/45次,4bit/5次
40,0x266,0bit/0次,0bit/0次,0bit/0次,0bit/0次,11bit/50次,2bit/4次,19bit/116次,11bit/97次,0bit/0次,0bit/0次,14bit/134次,7bit/24次,14bit/114次,8bit/41次,0bit/0次
41,0x708,0bit/0次,0bit/0次,7bit/9次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,6bit/9次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,4bit/4次,0bit/0次
42,0x3DD,0bit/0次,30bit/38次,24bit/35次,49bit/61次,35bit/48次,29bit/38次,30bit/38次,48bit/59次,16bit/25次,30bit/39次,30bit/38次,24bit/34次,23bit/30次,29bit/38次,31bit/31次
43,0x3F5,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,4bit/4次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,4bit/4次,0bit/0次
44,0x428,0bit/0次,0bit/0次,6bit/18次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,2bit/2次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次
45,0x448,0bit/0次,0bit/0次,2bit/2次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,2bit/2次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,4bit/8次,0bit/0次
46,0x4E2,41bit/194次,41bit/282次,44bit/310次,40bit/273次,36bit/253次,41bit/275次,37bit/251次,38bit/266次,44bit/299次,38bit/266次,41bit/288次,41bit/282次,41bit/284次,36bit/252次,22bit/26次
47,0x3E2,0bit/0次,0bit/0次,0bit/0次,0bit/0次,9bit/9次,0bit/0次,10bit/12次,16bit/35次,0bit/0次,2bit/2次,11bit/11次,10bit/20次,9bit/19次,8bit/14次,0bit/0次
48,0x666,0bit/0次,0bit/0次,3bit/3次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,3bit/3次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次
