session_id,photo_id,source_file_name,sha256,event_id,claimed_state,visible_ui_facts,recognition_status,duplicate_or_retake,disposition,notes
S0021,E11-P01,E11-P01_关闭HVAC_20260914_104011_356.jpg,f70fdc838759a5862e42fc5392172988dddfaacdb73d93af1fab9ae55e9c5556,E11,S5,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E01-P01,E01-P01_开始采集_20260914_104325_540.jpg,53a2524fdd33be66b4edce3fc10d510ae3b36ff029fa56f589cf9f1786e7581e,E01,S0,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E03-P01,E03-P01_开启仅送风低档_20260914_104425_555.jpg,ef515c9d13227add012fb80fcfa28c976ecdc1cffb4e4d6bf428adbc7d473b07,E03,S1,HVAC面板展开；手动20.0°C；风量2；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E05-P01,E05-P01_调整为仅送风高档_20260914_104515_670.jpg,4bd574c21c31d0316d23ce9bd3bdd4a6c2c400d5aafface6af30c4bfb4310560,E05,S2,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E07-P01,E07-P01_保持高档送风并开启A_C_20260914_104615_590.jpg,551435a016f1f0c31dbad1fc5920c5954704b76bedcbfc1c17dd961d09063bc3,E07,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E09-P01,E09-P01_关闭A_C并保持仅送风高档_20260914_104705_674.jpg,85faa669a26b1b811c8ecc588aff14f6668895a8a7fed75e3ff0606070c502e4,E09,S4,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0022,E11-P01,E11-P01_关闭HVAC_20260914_104805_516.jpg,667fe42710268db302b03ff67b08a3480bb684a3fe5942e7a62e11dc19e00a1b,E11,S5,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E01-P01,E01-P01_开始采集_20260914_105105_809.jpg,419c16e98bfa4decf199f94edc27baf678d9ad7de8e416802ee9d87d07fc72a3,E01,S0,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E03-P01,E03-P01_开启仅送风低档_20260914_105206_412.jpg,a8e69638c8a5b5e2b09d86f71d357b56717f58bceacb07ba7560ab04b324231e,E03,S1,HVAC面板展开；手动20.0°C；风量2；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E05-P01,E05-P01_调整为仅送风高档_20260914_105256_199.jpg,22f343f32e16da9174396b5a230e8370ea1f1483facab1100adda4dd6a1fdb8e,E05,S2,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E07-P01,E07-P01_保持高档送风并开启A_C_20260914_105356_045.jpg,6b6dceaf43e42da30f083522b7d50b78489f09cff085aff1312faa33f129881a,E07,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E08-P01,E08-P01_确认高档送风加A_C并拍照_20260914_105402_976.jpg,93f26f74864f44e796c835eef18e721df34fb29bfd37a418e0be9dcf52534360,E08,S3,HVAC面板展开；手动20.0°C；风量6；A/C蓝色；面部出风图标蓝色；环境显示28°C,CONFIRMED,RETAKE,SUPPLEMENTAL_NOT_USED_TO_CHANGE_WINDOW,same S3 state as original; no analysis-window change
S0023,E09-P01,E09-P01_关闭A_C并保持仅送风高档_20260914_105445_898.jpg,4f675be07d45ca5c437c57ad0cf0f70d9c6ffc06d68a20482b6de87211a3e69c,E09,S4,HVAC面板展开；手动20.0°C；风量6；A/C灰色；面部出风图标蓝色；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
S0023,E11-P01,E11-P01_关闭HVAC_20260914_105546_168.jpg,6dad6bff035382c4b11bbf6ab26649549006ae85ad68b43bdbcfddba59eadb16,E11,S5,HVAC面板未展开；底栏显示手动20.0°C；环境显示28°C,CONFIRMED,ORIGINAL,INCLUDED_UI_CONFIRMATION,no execution-state inference
