session_id,event_id,event_status,event_time_s,used_for_window,window_role,linked_photo_count,source_file_name,source_file_sha256,notes
S0020,E02,triggered,30.09893,True,S0_START_PLUS_5S,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E03,triggered,60.089692,True,S0_END_MINUS_5S;TRANSITION_S0_TO_S1,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E04,triggered,90.050405,True,S1_START,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E05,triggered,110.042161,True,S1_END_MINUS_5S;TRANSITION_S1_TO_S2,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E06,triggered,140.069124,True,S2_START,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E07,triggered,160.091726,True,S2_END_MINUS_5S;TRANSITION_S2_TO_S3,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E08,triggered,200.025707,True,S3_START,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E09,triggered,220.067448,True,S3_END_MINUS_5S;TRANSITION_S3_TO_S4,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E10,triggered,250.00159,True,S4_START,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E11,triggered,270.044763,True,S4_END_MINUS_5S;TRANSITION_S4_TO_S5,1,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E12,triggered,310.05591,True,S5_START,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0020,E13,triggered,330.049226,True,S5_END_MINUS_5S,0,event_timeline.csv,a48515d3981f7de4043e3022d63329ce3ef6587e5d254ea37d80fdffe5a070f9,
S0021,E01,triggered,0.06588,False,NOT_USED,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E02,triggered,30.061021,True,S0_START_PLUS_5S,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E03,triggered,60.031578,True,S0_END_MINUS_5S;TRANSITION_S0_TO_S1,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E04,triggered,90.06221,True,S1_START,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E05,triggered,110.000897,True,S1_END_MINUS_5S;TRANSITION_S1_TO_S2,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E06,triggered,140.052146,True,S2_START,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E07,triggered,160.079408,True,S2_END_MINUS_5S;TRANSITION_S2_TO_S3,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E08,triggered,200.096554,True,S3_START,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E09,triggered,220.008124,True,S3_END_MINUS_5S;TRANSITION_S3_TO_S4,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E10,triggered,250.051015,True,S4_START,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E11,triggered,270.068661,True,S4_END_MINUS_5S;TRANSITION_S4_TO_S5,1,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E12,triggered,310.093291,True,S5_START,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0021,E13,triggered,330.052191,True,S5_END_MINUS_5S,0,event_timeline.csv,7191639e12bebf07e0dfb1e8f76e9d10afb28cdefb5ee6c2057c1aa18fd6711c,
S0022,E01,triggered,0.071563,False,NOT_USED,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E02,triggered,30.034122,True,S0_START_PLUS_5S,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E03,triggered,60.095657,True,S0_END_MINUS_5S;TRANSITION_S0_TO_S1,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E04,triggered,90.058165,True,S1_START,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E05,triggered,110.09582,True,S1_END_MINUS_5S;TRANSITION_S1_TO_S2,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E06,triggered,140.058533,True,S2_START,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E07,triggered,160.061891,True,S2_END_MINUS_5S;TRANSITION_S2_TO_S3,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E08,triggered,200.073362,True,S3_START,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E09,triggered,220.025535,True,S3_END_MINUS_5S;TRANSITION_S3_TO_S4,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E10,triggered,250.054726,True,S4_START,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E11,triggered,270.01341,True,S4_END_MINUS_5S;TRANSITION_S4_TO_S5,1,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E12,triggered,310.069618,True,S5_START,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0022,E13,triggered,330.001371,True,S5_END_MINUS_5S,0,event_timeline.csv,2d4baf8be00b3038a469a4890d9f7dddc31d8e978297e3c7bf8ea3c3efdf02fe,
S0023,E01,triggered,0.06032,False,NOT_USED,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E02,triggered,30.0018,True,S0_START_PLUS_5S,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E03,triggered,60.040562,True,S0_END_MINUS_5S;TRANSITION_S0_TO_S1,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E04,triggered,90.00428,True,S1_START,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E05,triggered,110.05716,True,S1_END_MINUS_5S;TRANSITION_S1_TO_S2,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E06,triggered,140.073025,True,S2_START,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E07,triggered,160.006123,True,S2_END_MINUS_5S;TRANSITION_S2_TO_S3,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E08,triggered,200.001999,True,S3_START,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,retake linked to actual E08; original E07 retained; window unchanged
S0023,E09,triggered,220.008617,True,S3_END_MINUS_5S;TRANSITION_S3_TO_S4,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E10,triggered,250.074264,True,S4_START,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E11,triggered,270.099843,True,S4_END_MINUS_5S;TRANSITION_S4_TO_S5,1,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E12,triggered,310.067884,True,S5_START,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
S0023,E13,triggered,330.08124,True,S5_END_MINUS_5S,0,event_timeline.csv,7717b6b39698715fc20b1167670daa8aad2315e5d10ce1f1a832a23604a35f29,
