session_id,group_id,can_id,byte,event_id,expected_direction,event_s,transition_s,delay_s,direction_match,full_session_masked_transitions
S0019,G10,0x282,B3,E07,0x08->0x08,160.034573,,,False,2
S0019,G10,0x282,B3,E09,0x08->0x08,220.078985,,,False,2
S0019,G10,0x282,B3,E11,0x08->0x00,270.100557,272.9003,2.799743,True,2
S0019,G11,0x2A1,B5,E03,0x00->0x00,60.08596,,,False,2
S0019,G11,0x2A1,B5,E05,0x00->0x00,110.07989,,,False,2
S0019,G11,0x2A1,B5,E07,0x00->0x01,160.034573,161.7514,1.716827,True,2
S0019,G11,0x2A1,B5,E09,0x01->0x00,220.078985,224.655,4.576015,True,2
S0019,G11,0x2A1,B5,E11,0x00->0x00,270.100557,,,False,2
S0019,G12,0x2A7,B7,E03,0x04->0x04,60.08596,,,False,2
S0019,G12,0x2A7,B7,E05,0x04->0x04,110.07989,,,False,2
S0019,G12,0x2A7,B7,E07,0x04->0x01,160.034573,162.2847,2.250127,True,2
S0019,G12,0x2A7,B7,E09,0x01->0x04,220.078985,224.6854,4.606415,True,2
S0019,G12,0x2A7,B7,E11,0x04->0x04,270.100557,,,False,2
S0019,G13,0x2BF,B5,E03,0x00->0x00,60.08596,,,False,2
S0019,G13,0x2BF,B5,E05,0x00->0x00,110.07989,,,False,2
S0019,G13,0x2BF,B5,E07,0x00->0x18,160.034573,161.9409,1.906327,True,2
S0019,G13,0x2BF,B5,E09,0x18->0x00,220.078985,221.7448,1.665815,True,2
S0019,G13,0x2BF,B5,E11,0x00->0x00,270.100557,,,False,2
S0019,G14,0x2F3,B3,E03,0x00->0x04,60.08596,60.4248,0.33884,True,2
S0019,G14,0x2F3,B3,E05,0x04->0x04,110.07989,,,False,2
S0019,G14,0x2F3,B3,E07,0x04->0x04,160.034573,,,False,2
S0019,G14,0x2F3,B3,E09,0x04->0x04,220.078985,,,False,2
S0019,G14,0x2F3,B3,E11,0x04->0x00,270.100557,272.1899,2.089343,True,2
S0019,G15,0x323,B4,E03,0x02->0x04,60.08596,61.6026,1.51664,True,2
S0019,G15,0x323,B4,E05,0x04->0x04,110.07989,,,False,2
S0019,G15,0x323,B4,E07,0x04->0x04,160.034573,,,False,2
S0019,G15,0x323,B4,E09,0x04->0x04,220.078985,,,False,2
S0019,G15,0x323,B4,E11,0x04->0x02,270.100557,273.6172,3.516643,True,2
S0019,G16,0x361,B3,E03,0x02->0x02,60.08596,,,False,2
S0019,G16,0x361,B3,E05,0x02->0x02,110.07989,,,False,2
S0019,G16,0x361,B3,E07,0x02->0x04,160.034573,162.5404,2.505827,True,2
S0019,G16,0x361,B3,E09,0x04->0x02,220.078985,221.5438,1.464815,True,2
S0019,G16,0x361,B3,E11,0x02->0x02,270.100557,,,False,2
S0020,G01,0x1FA,B0,E03,0x00->0x18,60.089692,60.2625,0.172808,True,2
S0020,G01,0x1FA,B0,E05,0x18->0x18,110.042161,,,False,2
S0020,G01,0x1FA,B0,E07,0x18->0x18,160.091726,,,False,2
S0020,G01,0x1FA,B0,E09,0x18->0x18,220.067448,,,False,2
S0020,G01,0x1FA,B0,E11,0x18->0x00,270.044763,270.3765,0.331737,True,2
S0020,G02,0x20C,B1,E03,0x00->0x10,60.089692,60.2036,0.113908,True,4
S0020,G02,0x20C,B1,E05,0x10->0x10,110.042161,,,False,4
S0020,G02,0x20C,B1,E07,0x10->0x18,160.091726,160.7104,0.618674,True,4
S0020,G02,0x20C,B1,E09,0x18->0x10,220.067448,220.2144,0.146952,True,4
S0020,G02,0x20C,B1,E11,0x10->0x00,270.044763,270.3178,0.273037,True,4
S0020,G03,0x20C,B4,E03,0x00->0x00,60.089692,,,False,2
S0020,G03,0x20C,B4,E05,0x00->0x00,110.042161,,,False,2
S0020,G03,0x20C,B4,E07,0x00->0x00,160.091726,,,False,2
S0020,G03,0x20C,B4,E09,0x00->0x00,220.067448,,,False,2
S0020,G03,0x20C,B4,E11,0x00->0x00,270.044763,,,False,2
S0020,G04,0x20C,B5,E03,0x00->0x00,60.089692,,,False,2
S0020,G04,0x20C,B5,E05,0x00->0x01,110.042161,111.3071,1.264939,True,2
S0020,G04,0x20C,B5,E07,0x01->0x01,160.091726,,,False,2
S0020,G04,0x20C,B5,E09,0x01->0x01,220.067448,,,False,2
S0020,G04,0x20C,B5,E11,0x01->0x00,270.044763,270.2177,0.172937,True,2
S0020,G05,0x20C,B7,E03,0x00->0x08,60.089692,61.7037,1.614008,True,4
S0020,G05,0x20C,B7,E05,0x08->0x00,110.042161,112.8071,2.764939,True,4
S0020,G05,0x20C,B7,E07,0x00->0x00,160.091726,,,False,4
S0020,G05,0x20C,B7,E09,0x00->0x00,220.067448,,,False,4
S0020,G05,0x20C,B7,E11,0x00->0x00,270.044763,,,False,4
S0020,G06,0x253,B7,E03,0x10->0x00,60.089692,60.3163,0.226608,True,2
S0020,G06,0x253,B7,E05,0x00->0x00,110.042161,,,False,2
S0020,G06,0x253,B7,E07,0x00->0x00,160.091726,,,False,2
S0020,G06,0x253,B7,E09,0x00->0x00,220.067448,,,False,2
S0020,G06,0x253,B7,E11,0x00->0x10,270.044763,270.3323,0.287537,True,2
S0020,G07,0x282,B0,E03,0x00->0x44,60.089692,,,False,6
S0020,G07,0x282,B0,E05,0x44->0x04,110.042161,113.2081,3.165939,True,6
S0020,G07,0x282,B0,E07,0x04->0x04,160.091726,,,False,6
S0020,G07,0x282,B0,E09,0x04->0x04,220.067448,,,False,6
S0020,G07,0x282,B0,E11,0x04->0x00,270.044763,270.4186,0.373837,True,6
S0020,G08,0x282,B1,E03,0x00->0x04,60.089692,60.7047,0.615008,True,2
S0020,G08,0x282,B1,E05,0x04->0x04,110.042161,,,False,2
S0020,G08,0x282,B1,E07,0x04->0x04,160.091726,,,False,2
S0020,G08,0x282,B1,E09,0x04->0x04,220.067448,,,False,2
S0020,G08,0x282,B1,E11,0x04->0x00,270.044763,270.4186,0.373837,True,2
S0020,G09,0x282,B2,E03,0x00->0x00,60.089692,,,False,2
S0020,G09,0x282,B2,E05,0x00->0x02,110.042161,111.508,1.465839,True,2
S0020,G09,0x282,B2,E07,0x02->0x02,160.091726,,,False,2
S0020,G09,0x282,B2,E09,0x02->0x02,220.067448,,,False,2
S0020,G09,0x282,B2,E11,0x02->0x00,270.044763,270.4186,0.373837,True,2
S0020,G10,0x282,B3,E03,0x00->0x00,60.089692,,,False,2
S0020,G10,0x282,B3,E05,0x00->0x08,110.042161,111.808,1.765839,True,2
S0020,G10,0x282,B3,E07,0x08->0x08,160.091726,,,False,2
S0020,G10,0x282,B3,E09,0x08->0x08,220.067448,,,False,2
S0020,G10,0x282,B3,E11,0x08->0x00,270.044763,270.8186,0.773837,True,2
S0020,G11,0x2A1,B5,E03,0x00->0x00,60.089692,,,False,2
S0020,G11,0x2A1,B5,E05,0x00->0x00,110.042161,,,False,2
S0020,G11,0x2A1,B5,E07,0x00->0x01,160.091726,161.8661,1.774374,True,2
S0020,G11,0x2A1,B5,E09,0x01->0x00,220.067448,223.5698,3.502352,True,2
S0020,G11,0x2A1,B5,E11,0x00->0x00,270.044763,,,False,2
S0020,G12,0x2A7,B7,E03,0x04->0x04,60.089692,,,False,2
S0020,G12,0x2A7,B7,E05,0x04->0x04,110.042161,,,False,2
S0020,G12,0x2A7,B7,E07,0x04->0x01,160.091726,162.3696,2.277874,True,2
S0020,G12,0x2A7,B7,E09,0x01->0x04,220.067448,223.6688,3.601352,True,2
S0020,G12,0x2A7,B7,E11,0x04->0x04,270.044763,,,False,2
S0020,G13,0x2BF,B5,E03,0x00->0x00,60.089692,,,False,2
S0020,G13,0x2BF,B5,E05,0x00->0x00,110.042161,,,False,2
S0020,G13,0x2BF,B5,E07,0x00->0x18,160.091726,161.9555,1.863774,True,2
S0020,G13,0x2BF,B5,E09,0x18->0x00,220.067448,220.9591,0.891652,True,2
S0020,G13,0x2BF,B5,E11,0x00->0x00,270.044763,,,False,2
S0020,G14,0x2F3,B3,E03,0x00->0x04,60.089692,60.0349,-0.054792,True,2
S0020,G14,0x2F3,B3,E05,0x04->0x04,110.042161,,,False,2
S0020,G14,0x2F3,B3,E07,0x04->0x04,160.091726,,,False,2
S0020,G14,0x2F3,B3,E09,0x04->0x04,220.067448,,,False,2
S0020,G14,0x2F3,B3,E11,0x04->0x00,270.044763,270.1634,0.118637,True,2
S0020,G15,0x323,B4,E03,0x02->0x04,60.089692,61.8219,1.732208,True,2
S0020,G15,0x323,B4,E05,0x04->0x04,110.042161,,,False,2
S0020,G15,0x323,B4,E07,0x04->0x04,160.091726,,,False,2
S0020,G15,0x323,B4,E09,0x04->0x04,220.067448,,,False,2
S0020,G15,0x323,B4,E11,0x04->0x02,270.044763,271.8361,1.791337,True,2
S0020,G16,0x361,B3,E03,0x02->0x02,60.089692,,,False,2
S0020,G16,0x361,B3,E05,0x02->0x02,110.042161,,,False,2
S0020,G16,0x361,B3,E07,0x02->0x04,160.091726,162.756,2.664274,True,2
S0020,G16,0x361,B3,E09,0x04->0x02,220.067448,220.7586,0.691152,True,2
S0020,G16,0x361,B3,E11,0x02->0x02,270.044763,,,False,2
S0021,G01,0x1FA,B0,E03,0x00->0x18,60.031578,59.9246,-0.106978,True,2
S0021,G01,0x1FA,B0,E05,0x18->0x18,110.000897,,,False,2
S0021,G01,0x1FA,B0,E07,0x18->0x18,160.079408,,,False,2
S0021,G01,0x1FA,B0,E09,0x18->0x18,220.008124,,,False,2
S0021,G01,0x1FA,B0,E11,0x18->0x00,270.068661,270.3396,0.270939,True,2
S0021,G02,0x20C,B1,E03,0x00->0x10,60.031578,59.866,-0.165578,True,4
S0021,G02,0x20C,B1,E05,0x10->0x10,110.000897,,,False,4
S0021,G02,0x20C,B1,E07,0x10->0x18,160.079408,160.3734,0.293992,True,4
S0021,G02,0x20C,B1,E09,0x18->0x10,220.008124,220.2773,0.269176,True,4
S0021,G02,0x20C,B1,E11,0x10->0x00,270.068661,270.2803,0.211639,True,4
S0021,G03,0x20C,B4,E03,0x00->0x00,60.031578,,,False,2
S0021,G03,0x20C,B4,E05,0x00->0x00,110.000897,,,False,2
S0021,G03,0x20C,B4,E07,0x00->0x00,160.079408,,,False,2
S0021,G03,0x20C,B4,E09,0x00->0x00,220.008124,,,False,2
S0021,G03,0x20C,B4,E11,0x00->0x00,270.068661,,,False,2
S0021,G04,0x20C,B5,E03,0x00->0x00,60.031578,,,False,2
S0021,G04,0x20C,B5,E05,0x00->0x01,110.000897,111.1694,1.168503,True,2
S0021,G04,0x20C,B5,E07,0x01->0x01,160.079408,,,False,2
S0021,G04,0x20C,B5,E09,0x01->0x01,220.008124,,,False,2
S0021,G04,0x20C,B5,E11,0x01->0x00,270.068661,270.1803,0.111639,True,2
S0021,G05,0x20C,B7,E03,0x00->0x08,60.031578,61.3662,1.334622,True,4
S0021,G05,0x20C,B7,E05,0x08->0x00,110.000897,112.8695,2.868603,True,4
S0021,G05,0x20C,B7,E07,0x00->0x00,160.079408,,,False,4
S0021,G05,0x20C,B7,E09,0x00->0x00,220.008124,,,False,4
S0021,G05,0x20C,B7,E11,0x00->0x00,270.068661,,,False,4
S0021,G06,0x253,B7,E03,0x10->0x00,60.031578,59.9776,-0.053978,True,2
S0021,G06,0x253,B7,E05,0x00->0x00,110.000897,,,False,2
S0021,G06,0x253,B7,E07,0x00->0x00,160.079408,,,False,2
S0021,G06,0x253,B7,E09,0x00->0x00,220.008124,,,False,2
S0021,G06,0x253,B7,E11,0x00->0x10,270.068661,270.2921,0.223439,True,2
S0021,G07,0x282,B0,E03,0x00->0x44,60.031578,,,False,8
S0021,G07,0x282,B0,E05,0x44->0x04,110.000897,113.1702,3.169303,True,8
S0021,G07,0x282,B0,E07,0x04->0x04,160.079408,,,False,8
S0021,G07,0x282,B0,E09,0x04->0x04,220.008124,,,False,8
S0021,G07,0x282,B0,E11,0x04->0x00,270.068661,270.3813,0.312639,True,8
S0021,G08,0x282,B1,E03,0x00->0x04,60.031578,60.3672,0.335622,True,2
S0021,G08,0x282,B1,E05,0x04->0x04,110.000897,,,False,2
S0021,G08,0x282,B1,E07,0x04->0x04,160.079408,,,False,2
S0021,G08,0x282,B1,E09,0x04->0x04,220.008124,,,False,2
S0021,G08,0x282,B1,E11,0x04->0x00,270.068661,270.3813,0.312639,True,2
S0021,G09,0x282,B2,E03,0x00->0x00,60.031578,,,False,2
S0021,G09,0x282,B2,E05,0x00->0x02,110.000897,111.3701,1.369203,True,2
S0021,G09,0x282,B2,E07,0x02->0x02,160.079408,,,False,2
S0021,G09,0x282,B2,E09,0x02->0x02,220.008124,,,False,2
S0021,G09,0x282,B2,E11,0x02->0x00,270.068661,270.3813,0.312639,True,2
S0021,G10,0x282,B3,E03,0x00->0x00,60.031578,,,False,2
S0021,G10,0x282,B3,E05,0x00->0x08,110.000897,111.6701,1.669203,True,2
S0021,G10,0x282,B3,E07,0x08->0x08,160.079408,,,False,2
S0021,G10,0x282,B3,E09,0x08->0x08,220.008124,,,False,2
S0021,G10,0x282,B3,E11,0x08->0x00,270.068661,270.7813,0.712639,True,2
S0021,G11,0x2A1,B5,E03,0x00->0x00,60.031578,,,False,2
S0021,G11,0x2A1,B5,E05,0x00->0x00,110.000897,,,False,2
S0021,G11,0x2A1,B5,E07,0x00->0x01,160.079408,160.6253,0.545892,True,2
S0021,G11,0x2A1,B5,E09,0x01->0x00,220.008124,222.8287,2.820576,True,2
S0021,G11,0x2A1,B5,E11,0x00->0x00,270.068661,,,False,2
S0021,G12,0x2A7,B7,E03,0x04->0x04,60.031578,,,False,2
S0021,G12,0x2A7,B7,E05,0x04->0x04,110.000897,,,False,2
S0021,G12,0x2A7,B7,E07,0x04->0x01,160.079408,161.0994,1.019992,True,2
S0021,G12,0x2A7,B7,E09,0x01->0x04,220.008124,222.8986,2.890476,True,2
S0021,G12,0x2A7,B7,E11,0x04->0x04,270.068661,,,False,2
S0021,G13,0x2BF,B5,E03,0x00->0x00,60.031578,,,False,2
S0021,G13,0x2BF,B5,E05,0x00->0x00,110.000897,,,False,2
S0021,G13,0x2BF,B5,E07,0x00->0x18,160.079408,160.7145,0.635092,True,2
S0021,G13,0x2BF,B5,E09,0x18->0x00,220.008124,220.7181,0.709976,True,2
S0021,G13,0x2BF,B5,E11,0x00->0x00,270.068661,,,False,2
S0021,G14,0x2F3,B3,E03,0x00->0x04,60.031578,59.7093,-0.322278,True,2
S0021,G14,0x2F3,B3,E05,0x04->0x04,110.000897,,,False,2
S0021,G14,0x2F3,B3,E07,0x04->0x04,160.079408,,,False,2
S0021,G14,0x2F3,B3,E09,0x04->0x04,220.008124,,,False,2
S0021,G14,0x2F3,B3,E11,0x04->0x00,270.068661,270.091,0.022339,True,2
S0021,G15,0x323,B4,E03,0x02->0x04,60.031578,61.5842,1.552622,True,2
S0021,G15,0x323,B4,E05,0x04->0x04,110.000897,,,False,2
S0021,G15,0x323,B4,E07,0x04->0x04,160.079408,,,False,2
S0021,G15,0x323,B4,E09,0x04->0x04,220.008124,,,False,2
S0021,G15,0x323,B4,E11,0x04->0x02,270.068661,271.5986,1.529939,True,2
S0021,G16,0x361,B3,E03,0x02->0x02,60.031578,,,False,2
S0021,G16,0x361,B3,E05,0x02->0x02,110.000897,,,False,2
S0021,G16,0x361,B3,E07,0x02->0x04,160.079408,161.5141,1.434692,True,2
S0021,G16,0x361,B3,E09,0x04->0x02,220.008124,221.5185,1.510376,True,2
S0021,G16,0x361,B3,E11,0x02->0x02,270.068661,,,False,2
S0022,G01,0x1FA,B0,E03,0x00->0x18,60.095657,60.5357,0.440043,True,2
S0022,G01,0x1FA,B0,E05,0x18->0x18,110.09582,,,False,2
S0022,G01,0x1FA,B0,E07,0x18->0x18,160.061891,,,False,2
S0022,G01,0x1FA,B0,E09,0x18->0x18,220.025535,,,False,2
S0022,G01,0x1FA,B0,E11,0x18->0x00,270.01341,271.451,1.43759,True,2
S0022,G02,0x20C,B1,E03,0x00->0x10,60.095657,60.477,0.381343,True,4
S0022,G02,0x20C,B1,E05,0x10->0x10,110.09582,,,False,4
S0022,G02,0x20C,B1,E07,0x10->0x18,160.061891,160.3833,0.321409,True,4
S0022,G02,0x20C,B1,E09,0x18->0x10,220.025535,220.387,0.361465,True,4
S0022,G02,0x20C,B1,E11,0x10->0x00,270.01341,271.39,1.37659,True,4
S0022,G03,0x20C,B4,E03,0x00->0x00,60.095657,,,False,2
S0022,G03,0x20C,B4,E05,0x00->0x00,110.09582,,,False,2
S0022,G03,0x20C,B4,E07,0x00->0x00,160.061891,,,False,2
S0022,G03,0x20C,B4,E09,0x00->0x00,220.025535,,,False,2
S0022,G03,0x20C,B4,E11,0x00->0x00,270.01341,,,False,2
S0022,G04,0x20C,B5,E03,0x00->0x00,60.095657,,,False,2
S0022,G04,0x20C,B5,E05,0x00->0x01,110.09582,111.5805,1.48468,True,2
S0022,G04,0x20C,B5,E07,0x01->0x01,160.061891,,,False,2
S0022,G04,0x20C,B5,E09,0x01->0x01,220.025535,,,False,2
S0022,G04,0x20C,B5,E11,0x01->0x00,270.01341,271.2903,1.27689,True,2
S0022,G05,0x20C,B7,E03,0x00->0x08,60.095657,61.9771,1.881443,True,4
S0022,G05,0x20C,B7,E05,0x08->0x00,110.09582,113.2803,3.18448,True,4
S0022,G05,0x20C,B7,E07,0x00->0x00,160.061891,,,False,4
S0022,G05,0x20C,B7,E09,0x00->0x00,220.025535,,,False,4
S0022,G05,0x20C,B7,E11,0x00->0x00,270.01341,,,False,4
S0022,G06,0x253,B7,E03,0x10->0x00,60.095657,60.5841,0.488443,True,2
S0022,G06,0x253,B7,E05,0x00->0x00,110.09582,,,False,2
S0022,G06,0x253,B7,E07,0x00->0x00,160.061891,,,False,2
S0022,G06,0x253,B7,E09,0x00->0x00,220.025535,,,False,2
S0022,G06,0x253,B7,E11,0x00->0x10,270.01341,271.4033,1.38989,True,2
S0022,G07,0x282,B0,E03,0x00->0x44,60.095657,,,False,8
S0022,G07,0x282,B0,E05,0x44->0x04,110.09582,113.5817,3.48588,True,8
S0022,G07,0x282,B0,E07,0x04->0x04,160.061891,,,False,8
S0022,G07,0x282,B0,E09,0x04->0x04,220.025535,,,False,8
S0022,G07,0x282,B0,E11,0x04->0x00,270.01341,271.4908,1.47739,True,8
S0022,G08,0x282,B1,E03,0x00->0x04,60.095657,60.9773,0.881643,True,2
S0022,G08,0x282,B1,E05,0x04->0x04,110.09582,,,False,2
S0022,G08,0x282,B1,E07,0x04->0x04,160.061891,,,False,2
S0022,G08,0x282,B1,E09,0x04->0x04,220.025535,,,False,2
S0022,G08,0x282,B1,E11,0x04->0x00,270.01341,271.4908,1.47739,True,2
S0022,G09,0x282,B2,E03,0x00->0x00,60.095657,,,False,2
S0022,G09,0x282,B2,E05,0x00->0x02,110.09582,111.7808,1.68498,True,2
S0022,G09,0x282,B2,E07,0x02->0x02,160.061891,,,False,2
S0022,G09,0x282,B2,E09,0x02->0x02,220.025535,,,False,2
S0022,G09,0x282,B2,E11,0x02->0x00,270.01341,271.4908,1.47739,True,2
S0022,G10,0x282,B3,E03,0x00->0x00,60.095657,,,False,2
S0022,G10,0x282,B3,E05,0x00->0x08,110.09582,112.0805,1.98468,True,2
S0022,G10,0x282,B3,E07,0x08->0x08,160.061891,,,False,2
S0022,G10,0x282,B3,E09,0x08->0x08,220.025535,,,False,2
S0022,G10,0x282,B3,E11,0x08->0x00,270.01341,271.8905,1.87709,True,2
S0022,G11,0x2A1,B5,E03,0x00->0x00,60.095657,,,False,2
S0022,G11,0x2A1,B5,E05,0x00->0x00,110.09582,,,False,2
S0022,G11,0x2A1,B5,E07,0x00->0x01,160.061891,160.8336,0.771709,True,2
S0022,G11,0x2A1,B5,E09,0x01->0x00,220.025535,222.8376,2.812065,True,2
S0022,G11,0x2A1,B5,E11,0x00->0x00,270.01341,,,False,2
S0022,G12,0x2A7,B7,E03,0x04->0x04,60.095657,,,False,2
S0022,G12,0x2A7,B7,E05,0x04->0x04,110.09582,,,False,2
S0022,G12,0x2A7,B7,E07,0x04->0x01,160.061891,161.3703,1.308409,True,2
S0022,G12,0x2A7,B7,E09,0x01->0x04,220.025535,222.8708,2.845265,True,2
S0022,G12,0x2A7,B7,E11,0x04->0x04,270.01341,,,False,2
S0022,G13,0x2BF,B5,E03,0x00->0x00,60.095657,,,False,2
S0022,G13,0x2BF,B5,E05,0x00->0x00,110.09582,,,False,2
S0022,G13,0x2BF,B5,E07,0x00->0x18,160.061891,160.9209,0.859009,True,2
S0022,G13,0x2BF,B5,E09,0x18->0x00,220.025535,220.925,0.899465,True,2
S0022,G13,0x2BF,B5,E11,0x00->0x00,270.01341,,,False,2
S0022,G14,0x2F3,B3,E03,0x00->0x04,60.095657,60.2598,0.164143,True,2
S0022,G14,0x2F3,B3,E05,0x04->0x04,110.09582,,,False,2
S0022,G14,0x2F3,B3,E07,0x04->0x04,160.061891,,,False,2
S0022,G14,0x2F3,B3,E09,0x04->0x04,220.025535,,,False,2
S0022,G14,0x2F3,B3,E11,0x04->0x00,270.01341,271.2187,1.20529,True,2
S0022,G15,0x323,B4,E03,0x02->0x04,60.095657,61.7968,1.701143,True,2
S0022,G15,0x323,B4,E05,0x04->0x04,110.09582,,,False,2
S0022,G15,0x323,B4,E07,0x04->0x04,160.061891,,,False,2
S0022,G15,0x323,B4,E09,0x04->0x04,220.025535,,,False,2
S0022,G15,0x323,B4,E11,0x04->0x02,270.01341,272.8085,2.79509,True,2
S0022,G16,0x361,B3,E03,0x02->0x02,60.095657,,,False,2
S0022,G16,0x361,B3,E05,0x02->0x02,110.09582,,,False,2
S0022,G16,0x361,B3,E07,0x02->0x04,160.061891,161.7198,1.657909,True,2
S0022,G16,0x361,B3,E09,0x04->0x02,220.025535,221.7239,1.698365,True,2
S0022,G16,0x361,B3,E11,0x02->0x02,270.01341,,,False,2
S0023,G01,0x1FA,B0,E03,0x00->0x18,60.040562,60.3529,0.312338,True,2
S0023,G01,0x1FA,B0,E05,0x18->0x18,110.05716,,,False,2
S0023,G01,0x1FA,B0,E07,0x18->0x18,160.006123,,,False,2
S0023,G01,0x1FA,B0,E09,0x18->0x18,220.008617,,,False,2
S0023,G01,0x1FA,B0,E11,0x18->0x00,270.099843,270.8666,0.766757,True,2
S0023,G02,0x20C,B1,E03,0x00->0x10,60.040562,60.2933,0.252738,True,4
S0023,G02,0x20C,B1,E05,0x10->0x10,110.05716,,,False,4
S0023,G02,0x20C,B1,E07,0x10->0x18,160.006123,160.8009,0.794777,True,4
S0023,G02,0x20C,B1,E09,0x18->0x10,220.008617,220.9041,0.895483,True,4
S0023,G02,0x20C,B1,E11,0x10->0x00,270.099843,270.8088,0.708957,True,4
S0023,G03,0x20C,B4,E03,0x00->0x00,60.040562,,,False,2
S0023,G03,0x20C,B4,E05,0x00->0x00,110.05716,,,False,2
S0023,G03,0x20C,B4,E07,0x00->0x00,160.006123,,,False,2
S0023,G03,0x20C,B4,E09,0x00->0x00,220.008617,,,False,2
S0023,G03,0x20C,B4,E11,0x00->0x00,270.099843,,,False,2
S0023,G04,0x20C,B5,E03,0x00->0x00,60.040562,,,False,2
S0023,G04,0x20C,B5,E05,0x00->0x01,110.05716,112.697,2.63984,True,2
S0023,G04,0x20C,B5,E07,0x01->0x01,160.006123,,,False,2
S0023,G04,0x20C,B5,E09,0x01->0x01,220.008617,,,False,2
S0023,G04,0x20C,B5,E11,0x01->0x00,270.099843,270.7077,0.607857,True,2
S0023,G05,0x20C,B7,E03,0x00->0x08,60.040562,61.7934,1.752838,True,4
S0023,G05,0x20C,B7,E05,0x08->0x00,110.05716,114.3972,4.34004,True,4
S0023,G05,0x20C,B7,E07,0x00->0x00,160.006123,,,False,4
S0023,G05,0x20C,B7,E09,0x00->0x00,220.008617,,,False,4
S0023,G05,0x20C,B7,E11,0x00->0x00,270.099843,,,False,4
S0023,G06,0x253,B7,E03,0x10->0x00,60.040562,60.3957,0.355138,True,2
