can_id,field,pattern,classification,sessions_passed,sessions_total,min_window_purity,evidence_boundary
0x22A,B2.b7,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x22A,B3.b0,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x22A,B3.b1,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x241,B0.b7,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x241,B1.b7,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x241,B3.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x241,B4.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x253,B7.b4,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B0.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B0.b6,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B0.b7,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B1.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B1.b3,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B1.b4,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B1.b5,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B1.b7,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B2.b0,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B2.b1,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B2.b5,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B2.b6,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B2.b7,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B3.b1,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B3.b2,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B3.b3,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B4.b5,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B4.b6,1->0->1->1->1->1,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x282,B4.b7,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B5.b0,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B5.b1,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x282,B5.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x289,B1.b3,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x289,B1.b5,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x289,B2.b2,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x289,B2.b4,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x289,B3.b1,0->1->0->0->0->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x289,B3.b3,0->0->1->1->1->0,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x2A1,B5.b0,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B1.b1,0->0->0->1->0->0,ac_state_related_reversible,5,5,0.993333,raw_association_only
0x2A7,B5.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B5.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B5.b6,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B5.b7,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B7.b0,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2A7,B7.b2,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2B4,B2.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2B4,B2.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2B4,B2.b6,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2B4,B5.b0,0->0->0->1->0->0,ac_state_related_reversible,5,5,0.993377,raw_association_only
0x2BF,B5.b3,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2BF,B5.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2F3,B2.b2,0->0->1->1->1->1,fan_level_sensitive_s3_same,5,5,1.0,raw_association_only
0x2F3,B2.b6,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x2F3,B3.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x323,B3.b0,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x323,B4.b1,1->0->0->0->0->1,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x323,B4.b2,0->1->1->1->1->0,hvac_ventilation_on_related,5,5,1.0,raw_association_only
0x32A,B1.b2,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x361,B3.b0,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x361,B3.b1,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x361,B3.b2,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x364,B0.b2,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x364,B0.b3,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x364,B0.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x364,B0.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x401,B2.b7,1->1->1->0->1->1,ac_state_related_reversible,5,5,1.0,raw_association_only
0x401,B4.b7,1->1->1->0->1->1,ac_state_related_reversible,5,5,0.972015,raw_association_only
0x401,B6.b7,1->1->1->0->1->1,ac_state_related_reversible,5,5,0.972015,raw_association_only
0x421,B0.b4,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x421,B0.b5,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
0x421,B0.b7,0->0->0->1->0->0,ac_state_related_reversible,5,5,1.0,raw_association_only
