====================================================================================================
DBC / ASC CAN ID 匹配统计
====================================================================================================

[MATCHED] 已命中 ID：145
----------------------------------------------------------------------------------------------------
CAN_ID    DEC_ID    COUNT       ASC_DLC         DBC_DLC   MESSAGE_NAME
0x552     1362      4327        8:4327
0x682     1666      4327        8:4327
0x78A     1930      4327        8:4327
0x7F4     2036      4327        1:4327
0x1FA     506       4326        3:4326
0x242     578       4326        4:4326
0x2A1     673       4326        6:4326
0x2AA     682       4326        3:4326
0x2BD     701       4326        4:4326
0x2C3     707       4326        8:4326
0x2EC     748       4326        3:4326
0x2F9     761       4326        8:4326
0x343     835       4326        8:4326
0x38A     906       4326        8:4326
0x39A     922       4326        8:4326
0x3C3     963       4326        8:4326
0x41D     1053      4326        1:4326
0x422     1058      4326        6:4326
0x423     1059      4326        7:4326
0x43D     1085      4326        6:4326
0x49D     1181      4326        7:4326
0x553     1363      4326        8:4326
0x788     1928      4326        8:4326
0x789     1929      4326        4:4326
0x797     1943      4326        4:4326
0x798     1944      4326        8:4326
0x7A8     1960      4326        8:4326
0x7B8     1976      4326        8:4326
0x23E     574       3008        8:3008
0x712     1810      2595        8:2595
0x419     1049      2335        1:2335
0x420     1056      2335        8:2335
0x400     1024      2293        7:2293
0x409     1033      2292        1:2292
0x2E3     739       2164        7:2164
0x40A     1034      2164        8:2164
0x2BF     703       2163        7:2163
0x2E2     738       2163        8:2163
0x3A8     936       2163        8:2163
0x718     1816      2163        7:2163
0x414     1044      1731        8:1731
0x43B     1083      1731        8:1731
0x55A     1370      1731        8:1731
0x666     1638      1731        4:1731
0x623     1571      1680        8:1680
0x2A6     678       1525        8:1525
0x2C7     711       1525        8:1525
0x709     1801      1401        8:1401
0x3B2     946       1337        8:1337
0x295     661       1044        8:1044
0x1BB     443       868         1:868
0x294     660       868         8:868
0x3DF     991       868         8:868
0x61D     1565      867         8:867
0x3DB     987       866         8:866
0x443     1091      866         6:866
0x4F3     1267      866         4:866
0x77A     1914      866         8:866
0x34A     842       865         8:865
0x334     820       864         8:864
0x3CC     972       474         8:474
0x39B     923       472         8:472
0x407     1031      467         8:467
0x3F6     1014      454         8:454
0x232     562       433         8:433
0x323     803       433         5:433
0x355     853       433         7:433
0x35F     863       433         1:433
0x361     865       433         5:433
0x362     866       433         3:433
0x364     868       433         4:433
0x37D     893       433         8:433
0x382     898       433         5:433
0x390     912       433         2:433
0x3DD     989       433         8:433
0x3ED     1005      433         1:433
0x42E     1070      433         8:433
0x42F     1071      433         7:433
0x452     1106      433         3:433
0x453     1107      433         4:433
0x472     1138      433         8:433
0x492     1170      433         7:433
0x52F     1327      433         8:433
0x6E8     1768      433         8:433
0x708     1800      433         5:433
0x726     1830      433         3:433
0x737     1847      433         7:433
0x739     1849      433         5:433
0x23A     570       432         8:432
0x2D7     727       432         4:432
0x324     804       432         8:432
0x3BB     955       432         3:432
0x3BC     956       432         4:432
0x3BD     957       432         8:432
0x6C8     1736      432         8:432
0x70B     1803      432         8:432
0x724     1828      432         3:432
0x727     1831      432         2:432
0x748     1864      432         5:432
0x752     1874      432         8:432
0x38B     907       230         8:230
0x7B1     1969      225         8:225
0x482     1154      156         3:8,
0x782     1922      155         8:155
0x366     870       153         8:153
0x1DA     474       133         2:3,
0x608     1544      117         8:117
0x1FB     507       87          8:87
0x72A     1834      87          8:87
0x550     1360      54          8:54
0x518     1304      52          2:52
0x45B     1115      44          2:44
0x509     1289      44          5:44
0x70A     1802      44          5:44
0x720     1824      44          5:44
0x672     1650      43          8:43
0x7BC     1980      43          8:43
0x622     1570      33          8:33
0x55D     1373      20          8:20
0x522     1314      19          2:19
0x601     1537      12          8:12
0x60B     1547      12          8:12
0x534     1332      9           8:9
0x600     1536      6           8:6
0x60A     1546      6           8:6
0x60E     1550      6           8:6
0x61E     1566      6           8:6
0x624     1572      6           8:6
0x625     1573      6           8:6
0x626     1574      6           8:6
0x627     1575      6           8:6
0x515     1301      5           2:5
0x605     1541      3           8:3
0x606     1542      3           8:3
0x628     1576      3           8:3
0x629     1577      3           8:3
0x6BB     1723      3           8:3
0x529     1321      1           8:1
0x5A8     1448      1           8:1
0x5C8     1480      1           8:1
0x634     1588      1           8:1

====================================================================================================
统计汇总
----------------------------------------------------------------------------------------------------
DBC Message数量 : 316
ASC CAN ID数量  : 308
DBC命中数量     : 145
DBC未命中数量   : 163
DBC覆盖率       : 47.08%
====================================================================================================
