rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
6,17.860,0x228,EPBR_internalStatus,EPBR_12VFilt,V,25.000,打开驾驶门,yes,25.188500,+0.188500,16.7448,17.2674
6,17.860,0x228,EPBR_internalStatus,EPBR_12VFilt,V,45.000,关闭驾驶门,yes,45.790000,+0.790000,17.2674,16.7448
6,17.860,0x228,EPBR_internalStatus,EPBR_12VFilt,V,65.000,再次打开驾驶门,yes,64.891500,-0.108500,16.7448,17.2674
6,17.860,0x228,EPBR_internalStatus,EPBR_12VFilt,V,85.000,再次关闭驾驶门,yes,86.193000,+1.193000,17.2674,16.7448
7,17.856,0x288,EPBL_internalStatus,EPBL_12VFilt,V,25.000,打开驾驶门,yes,25.242300,+0.242300,16.7448,17.2674
7,17.856,0x288,EPBL_internalStatus,EPBL_12VFilt,V,45.000,关闭驾驶门,yes,45.743800,+0.743800,17.2674,16.7448
7,17.856,0x288,EPBL_internalStatus,EPBL_12VFilt,V,65.000,再次打开驾驶门,yes,64.845500,-0.154500,16.7448,17.2674
7,17.856,0x288,EPBL_internalStatus,EPBL_12VFilt,V,85.000,再次关闭驾驶门,yes,86.147000,+1.147000,17.2674,16.7448
8,17.794,0x2A8,CMPD_state,CMPD_speedRPM,RPM,25.000,打开驾驶门,yes,25.154000,+0.154000,20,1940
8,17.794,0x2A8,CMPD_state,CMPD_speedRPM,RPM,45.000,关闭驾驶门,yes,45.855900,+0.855900,1940,20
8,17.794,0x2A8,CMPD_state,CMPD_speedRPM,RPM,65.000,再次打开驾驶门,yes,64.857300,-0.142700,20,1940
8,17.794,0x2A8,CMPD_state,CMPD_speedRPM,RPM,85.000,再次关闭驾驶门,yes,86.259000,+1.259000,1940,20
9,14.003,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_5v,V,25.000,打开驾驶门,yes,25.227900,+0.227900,5.00819,5.01363
9,14.003,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_5v,V,45.000,关闭驾驶门,yes,44.228600,-0.771400,5.00819,5.01363
9,14.003,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_5v,V,65.000,再次打开驾驶门,yes,65.129900,+0.129900,5.01363,5.00819
9,14.003,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_5v,V,85.000,再次关闭驾驶门,yes,86.031400,+1.031400,5.00819,5.01363
10,13.973,0x330,SCCM_info,SCCM_infoIndex,,25.000,打开驾驶门,yes,25.076200,+0.076200,APP_SVNHASH,BOOTLOADER_SVNHASH
10,13.973,0x330,SCCM_info,SCCM_infoIndex,,45.000,关闭驾驶门,yes,45.077300,+0.077300,APP_SVNHASH,BOOTLOADER_SVNHASH
10,13.973,0x330,SCCM_info,SCCM_infoIndex,,65.000,再次打开驾驶门,yes,65.078000,+0.078000,APP_SVNHASH,BOOTLOADER_SVNHASH
10,13.973,0x330,SCCM_info,SCCM_infoIndex,,85.000,再次关闭驾驶门,yes,85.078400,+0.078400,APP_SVNHASH,BOOTLOADER_SVNHASH
