dbc_source,source_format,vehicle_family,bus_name,message_id_dec,message_id_hex,message_name,message_sender,message_length,message_cycle_time,message_send_type,signal_name,signal_name_cn,business_domain,signal_role,signal_receivers,start_bit,signal_length,byte_order,signedness,factor,offset,minimum,maximum,unit,enum_values,is_multiplexed,multiplexer_value,comment
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,MC_STW_ANGL_STAT,,,,NEO,55,4,big_endian,unsigned,1,0,0,15,,,false,,
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,CRC_STW_ANGL_STAT,,,,NEO,63,8,big_endian,unsigned,1,0,0,255,,,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_Angl,,,,NEO,5,14,big_endian,unsigned,0.5,-2048,,,deg,16383=SNA,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSpd,,,,NEO,21,14,big_endian,unsigned,0.5,-2048,,,/s,16383=SNA,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Stat,,,,NEO,33,2,big_endian,unsigned,1,0,-1,4,,0=OK|1=INI|2=ERR|3=ERR_INI,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Id,,,,NEO,35,2,big_endian,unsigned,1,0,3,3,,0=PSBL|1=SELF|2=MUST,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,MC_STW_ANGL_STAT,,,,NEO,55,4,big_endian,unsigned,1,0,0,15,,,false,,
tesla_can.dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,CRC_STW_ANGL_STAT,,,,NEO,63,8,big_endian,unsigned,1,0,0,255,,,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_Angl,,,,NEO,5,14,big_endian,unsigned,0.5,-2048,,,deg,16383=SNA,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSpd,,,,NEO,21,14,big_endian,unsigned,0.5,-2048,,,/s,16383=SNA,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Stat,,,,NEO,33,2,big_endian,unsigned,1,0,-1,4,,0=OK|1=INI|2=ERR|3=ERR_INI,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Id,,,,NEO,35,2,big_endian,unsigned,1,0,3,3,,0=PSBL|1=SELF|2=MUST,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,MC_STW_ANGL_STAT,,,,NEO,55,4,big_endian,unsigned,1,0,0,15,,,false,,
tesla_can.dbc.txt,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,CRC_STW_ANGL_STAT,,,,NEO,63,8,big_endian,unsigned,1,0,0,255,,,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,4,0x4,DI_torque2,gtw,6,100,Cyclic,DI_gear,,,,MCU,12,3,LITTLE,UNSIGNED,1,0,0,0,,DI_GEAR_D=4|DI_GEAR_INVALID=0|DI_GEAR_N=3|DI_GEAR_P=1|DI_GEAR_R=2|DI_GEAR_SNA=7,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,4,0x4,DI_torque2,gtw,6,100,Cyclic,DI_gear,,,,MCU,12,3,LITTLE,UNSIGNED,1,0,0,0,,DI_GEAR_D=4|DI_GEAR_INVALID=0|DI_GEAR_N=3|DI_GEAR_P=1|DI_GEAR_R=2|DI_GEAR_SNA=7,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickVoltageMax,,,,MCU,0,12,LITTLE,UNSIGNED,0.002,0,0,5,V,SNA=4095,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickNumVoltageMax,,,,MCU,16,7,LITTLE,UNSIGNED,1,1,1,128,,,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_moduleTMax,,,,MCU,24,8,LITTLE,UNSIGNED,0.5,-40,-40,87.5,DegC,SNA=255,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickVoltageMin,,,,MCU,32,12,LITTLE,UNSIGNED,0.002,0,0,5,V,SNA=4095,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickNumVoltageMin,,,,MCU,48,7,LITTLE,UNSIGNED,1,1,1,128,,,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_moduleTMin,,,,MCU,56,8,LITTLE,UNSIGNED,0.5,-40,-40,87.5,DegC,SNA=255,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickVoltageMax,,,,MCU,0,12,LITTLE,UNSIGNED,0.002,0,0,5,V,SNA=4095,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickNumVoltageMax,,,,MCU,16,7,LITTLE,UNSIGNED,1,1,1,128,,,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_moduleTMax,,,,MCU,24,8,LITTLE,UNSIGNED,0.5,-40,-40,87.5,DegC,SNA=255,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickVoltageMin,,,,MCU,32,12,LITTLE,UNSIGNED,0.002,0,0,5,V,SNA=4095,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_brickNumVoltageMin,,,,MCU,48,7,LITTLE,UNSIGNED,1,1,1,128,,,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,6,0x6,BMS_bmbMinMax,gtw,8,0,NoMsgSendType,BMS_moduleTMin,,,,MCU,56,8,LITTLE,UNSIGNED,0.5,-40,-40,87.5,DegC,SNA=255,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureState,,,,GTW,7,8,BIG,UNSIGNED,1,0,0,0,,,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureBus,,,,GTW,15,8,BIG,UNSIGNED,1,0,0,0,,,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureMessage,,,,GTW,23,16,BIG,UNSIGNED,1,0,0,0,,,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureState,,,,GTW,7,8,BIG,UNSIGNED,1,0,0,0,,,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureBus,,,,GTW,15,8,BIG,UNSIGNED,1,0,0,0,,,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,11,0xB,MCU_captureControl,mcu,4,0,NoMsgSendType,MCU_captureMessage,,,,GTW,23,16,BIG,UNSIGNED,1,0,0,0,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_touchActive,,,,Receiver,0,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_audioActive,,,,Receiver,1,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_bluetoothActive,,,,Receiver,2,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellActive,,,,Receiver,3,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_displayReady,,,,Receiver,4,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_displayOn,,,,Receiver,5,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_wifiActive,,,,Receiver,6,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_wifiConnected,,,,Receiver,7,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_systemActive,,,,Receiver,8,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_readyForDrive,,,,Receiver,9,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellConnected,,,,Receiver,10,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_vpnActive,,,,Receiver,11,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_autopilotTrial,,,,Receiver,12,2,little_endian,unsigned,1,0,0,3,,0=NONE|1=START|2=STOP|3=ACTIVE,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_factoryReset,,,,Receiver,14,2,little_endian,unsigned,1,0,0,3,,0=NONE_SNA|1=DEVELOPER|2=DIAGNOSTIC|3=CUSTOMER,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_gpsActive,,,,Receiver,16,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_screenshotActive,,,,Receiver,17,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_radioActive,,,,Receiver,18,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellNetworkTechnology,,,,Receiver,19,4,little_endian,unsigned,1,0,0,15,,0=CELL_NETWORK_NONE|1=CELL_NETWORK_GPRS|10=CELL_NETWORK_WCDMA|15=CELL_NETWORK_SNA|2=CELL_NETWORK_EDGE|3=CELL_NETWORK_UMTS|4=CELL_NETWORK_HSDPA|5=CELL_NETWORK_HSUPA|6=CELL_NETWORK_HSPA|7=CELL_NETWORK_LTE|8=CELL_NETWORK_GSM|9=CELL_NETWORK_CDMA,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellReceiverPower,,,,Receiver,24,8,little_endian,unsigned,1,-128,-128,127,dB,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_falseTouchCounter,,,,Receiver,32,8,little_endian,unsigned,1,0,0,255,1,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_developmentCar,,,,Receiver,40,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cameraActive,,,,Receiver,41,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellSignalBars,,,,Receiver,42,3,little_endian,unsigned,1,0,0,7,,0=ZERO|1=ONE|2=TWO|3=THREE|4=FOUR|5=FIVE|7=SNA,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_pcbTemperature,,,,Receiver,48,8,little_endian,signed,1,40,-20,100,C,,false,,
Model3CAN.dbc,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cpuTemperature,,,,Receiver,56,8,little_endian,signed,1,40,-20,100,C,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_touchActive,,,,Receiver,0,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_audioActive,,,,Receiver,1,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_bluetoothActive,,,,Receiver,2,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellActive,,,,Receiver,3,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_displayReady,,,,Receiver,4,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_displayOn,,,,Receiver,5,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_wifiActive,,,,Receiver,6,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_wifiConnected,,,,Receiver,7,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_systemActive,,,,Receiver,8,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_readyForDrive,,,,Receiver,9,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellConnected,,,,Receiver,10,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_vpnActive,,,,Receiver,11,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_autopilotTrial,,,,Receiver,12,2,little_endian,unsigned,1,0,0,3,,0=NONE|1=START|2=STOP|3=ACTIVE,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_factoryReset,,,,Receiver,14,2,little_endian,unsigned,1,0,0,3,,0=NONE_SNA|1=DEVELOPER|2=DIAGNOSTIC|3=CUSTOMER,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_gpsActive,,,,Receiver,16,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_screenshotActive,,,,Receiver,17,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_radioActive,,,,Receiver,18,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellNetworkTechnology,,,,Receiver,19,4,little_endian,unsigned,1,0,0,15,,0=CELL_NETWORK_NONE|1=CELL_NETWORK_GPRS|10=CELL_NETWORK_WCDMA|15=CELL_NETWORK_SNA|2=CELL_NETWORK_EDGE|3=CELL_NETWORK_UMTS|4=CELL_NETWORK_HSDPA|5=CELL_NETWORK_HSUPA|6=CELL_NETWORK_HSPA|7=CELL_NETWORK_LTE|8=CELL_NETWORK_GSM|9=CELL_NETWORK_CDMA,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellReceiverPower,,,,Receiver,24,8,little_endian,unsigned,1,-128,-128,127,dB,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_falseTouchCounter,,,,Receiver,32,8,little_endian,unsigned,1,0,0,255,1,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_developmentCar,,,,Receiver,40,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cameraActive,,,,Receiver,41,1,little_endian,unsigned,1,0,0,1,,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cellSignalBars,,,,Receiver,42,3,little_endian,unsigned,1,0,0,7,,0=ZERO|1=ONE|2=TWO|3=THREE|4=FOUR|5=FIVE|7=SNA,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_pcbTemperature,,,,Receiver,48,8,little_endian,signed,1,40,-20,100,C,,false,,
Model3CAN.dbc.txt,DBC,,,12,0xC,ID00CUI_status,VehicleBus,8,,,UI_cpuTemperature,,,,Receiver,56,8,little_endian,signed,1,40,-20,100,C,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_touchActive,,,,X,0,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_audioActive,,,,X,1,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_bluetoothActive,,,,X,2,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cellActive,,,,X,3,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_displayReady,,,,X,4,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_displayOn,,,,X,5,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_wifiActive,,,,X,6,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_wifiConnected,,,,X,7,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_systemActive,,,,X,8,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_readyForDrive,,,,X,9,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cellConnected,,,,X,10,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_vpnActive,,,,X,11,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_autopilotTrial,,,,X,12,2,little_endian,unsigned,1,0,,,,0=NONE|1=START|2=STOP|3=ACTIVE,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_factoryReset,,,,X,14,2,little_endian,unsigned,1,0,,,,0=NONE_SNA|1=DEVELOPER|2=DIAGNOSTIC|3=CUSTOMER,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_gpsActive,,,,X,16,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_screenshotActive,,,,X,17,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_radioActive,,,,X,18,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cellNetworkTechnology,,,,X,19,4,little_endian,unsigned,1,0,,,,0=NONE|1=GPRS|15=SNA|2=EDGE|3=UMTS|4=HSDPA|5=HSUPA|6=HSPA|7=LTE,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cellSignalBars,,,,X,24,3,little_endian,unsigned,1,0,,,,0=ZERO|1=ONE|2=TWO|3=THREE|4=FOUR|5=FIVE|7=SNA,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cellReceiverPower,,,,X,32,8,little_endian,unsigned,1,-128,,,dB,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_falseTouchCounter,,,,X,40,8,little_endian,unsigned,1,0,,,1,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_developmentCar,,,,X,48,1,little_endian,unsigned,1,0,,,,,false,,
tesla_model3.dbc,DBC,,,12,0xC,UI_status,ETH,7,1000,Cyclic,UI_cameraActive,,,,X,49,1,little_endian,unsigned,1,0,,,,,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP,,,,NEO,5,14,big_endian,unsigned,0.1,-819.2,-819.2,819,deg,16383=SNA,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Spd,,,,NEO,21,14,big_endian,unsigned,0.5,-4096,-4096,4095.5,deg/s,16383=SNA,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Sens_Stat,,,,NEO,33,2,big_endian,unsigned,1,0,,,,0=OK|1=INI|2=ERR|3=SNA,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Sens_Id,,,,NEO,35,2,big_endian,unsigned,1,0,,,,0=TEST|1=DELPHI|2=KOSTAL|3=SNA,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,MC_STW_ANGLHP_STAT,,,,NEO,55,4,big_endian,unsigned,1,0,0,15,,,false,,
tesla_can (1).dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,CRC_STW_ANGLHP_STAT,,,,NEO,63,8,big_endian,unsigned,1,0,,,,,false,,
tesla_can.dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP,,,,NEO,5,14,big_endian,unsigned,0.1,-819.2,-819.2,819,deg,16383=SNA,false,,
tesla_can.dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Spd,,,,NEO,21,14,big_endian,unsigned,0.5,-4096,-4096,4095.5,deg/s,16383=SNA,false,,
tesla_can.dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Sens_Stat,,,,NEO,33,2,big_endian,unsigned,1,0,,,,0=OK|1=INI|2=ERR|3=SNA,false,,
tesla_can.dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,StW_AnglHP_Sens_Id,,,,NEO,35,2,big_endian,unsigned,1,0,,,,0=TEST|1=DELPHI|2=KOSTAL|3=SNA,false,,
tesla_can.dbc,DBC,,,14,0xE,STW_ANGLHP_STAT,STW,8,,,MC_STW_ANGLHP_STAT,,,,NEO,55,4,big_endian,unsigned,1,0,0,15,,,false,,
