can_id,byte,session_id,off_pre_mode_hex,off_pre_purity,off_pre_unique_values,on_mode_hex,on_purity,on_unique_values,off_post_mode_hex,off_post_purity,off_post_unique_values
0x282,B2,S0017,0x00,1.0,1,0x72,1.0,1,0x00,1.0,1
0x282,B2,S0018,0x00,1.0,1,0x72,1.0,1,0x00,1.0,1
0x282,B3,S0014,0x00,1.0,1,0x08,1.0,1,0x00,1.0,1
0x282,B3,S0015,0x00,1.0,1,0x08,1.0,1,0x00,1.0,1
0x282,B3,S0016,0x00,1.0,1,0x08,1.0,1,0x00,1.0,1
0x282,B3,S0017,0x00,1.0,1,0x08,1.0,1,0x00,1.0,1
0x282,B3,S0018,0x00,1.0,1,0x08,1.0,1,0x00,1.0,1
0x282,B4,S0014,0xEC,1.0,1,0x18,0.725455,5,0xF0,1.0,1
0x282,B4,S0015,0xF0,1.0,1,0x24,0.594545,3,0xE8,1.0,1
0x282,B4,S0016,0xE8,1.0,1,0x24,0.592727,3,0xEC,1.0,1
0x282,B4,S0017,0xEC,1.0,1,0x20,0.758182,3,0xE8,1.0,1
0x282,B4,S0018,0xE8,1.0,1,0x20,0.76588,3,0xEC,1.0,1
0x282,B5,S0014,0xF3,1.0,1,0x04,1.0,1,0x03,1.0,1
0x282,B5,S0015,0x03,1.0,1,0x14,1.0,1,0x13,0.98008,2
0x282,B5,S0016,0x03,1.0,1,0x14,1.0,1,0x13,1.0,1
0x282,B5,S0017,0x13,1.0,1,0x14,0.587273,2,0x13,1.0,1
0x282,B5,S0018,0x13,1.0,1,0x24,0.932849,2,0x13,1.0,1
0x282,B6,S0014,0x0A,1.0,1,0x13,1.0,1,0x0B,1.0,1
0x282,B6,S0015,0x0B,1.0,1,0x13,1.0,1,0x0B,1.0,1
0x282,B6,S0016,0x0B,1.0,1,0x13,1.0,1,0x0B,1.0,1
0x282,B6,S0017,0x0B,1.0,1,0x13,1.0,1,0x0B,1.0,1
0x282,B6,S0018,0x0B,1.0,1,0x13,1.0,1,0x0B,1.0,1
0x289,B1,S0014,0x02,1.0,1,0x10,0.943636,2,0x04,1.0,1
0x289,B1,S0015,0x04,1.0,1,0x14,0.785455,2,0x00,1.0,1
0x289,B1,S0016,0x00,1.0,1,0x14,0.709091,2,0x02,1.0,1
0x289,B1,S0017,0x02,1.0,1,0x12,1.0,1,0x00,1.0,1
0x289,B1,S0018,0x00,1.0,1,0x12,1.0,1,0x02,1.0,1
0x289,B2,S0014,0x80,1.0,1,0x08,0.901818,4,0x80,1.0,1
0x289,B2,S0015,0x80,1.0,1,0x8A,1.0,1,0x00,1.0,1
0x289,B2,S0016,0x00,1.0,1,0x8A,1.0,1,0x00,1.0,1
0x289,B2,S0017,0x00,1.0,1,0x89,0.990909,2,0x00,1.0,1
0x289,B2,S0018,0x00,1.0,1,0x89,0.998185,2,0x01,1.0,1
0x289,B3,S0014,0x00,0.3,4,0x04,0.296364,8,0x00,0.3,4
0x289,B3,S0015,0x00,0.303483,4,0x04,0.3,4,0x00,0.3,4
0x289,B3,S0016,0x40,0.3,4,0x44,0.3,4,0x40,0.3,4
0x289,B3,S0017,0x40,0.303483,4,0x44,0.3,4,0x00,0.301205,4
0x289,B3,S0018,0x40,0.3,4,0x44,0.30127,4,0x00,0.301205,4
0x2A1,B5,S0014,0x00,1.0,1,0x01,1.0,1,0x00,1.0,1
0x2A1,B5,S0015,0x00,1.0,1,0x01,1.0,1,0x00,1.0,1
0x2A1,B5,S0016,0x00,1.0,1,0x01,1.0,1,0x00,1.0,1
0x2A1,B5,S0017,0x00,1.0,1,0x01,1.0,1,0x00,1.0,1
0x2A1,B5,S0018,0x00,1.0,1,0x01,1.0,1,0x00,1.0,1
0x2A6,B0,S0014,0x00,1.0,1,0x60,0.081818,42,0x00,1.0,1
0x2A6,B0,S0015,0x00,1.0,1,0x4C,0.074545,35,0x00,1.0,1
0x2A6,B0,S0016,0x00,1.0,1,0x47,0.065455,43,0x00,1.0,1
0x2A6,B0,S0017,0x00,1.0,1,0x4D,0.103448,39,0x00,1.0,1
0x2A6,B0,S0018,0x00,1.0,1,0x43,0.078182,41,0x00,1.0,1
0x2A7,B7,S0014,0x84,1.0,1,0x81,1.0,1,0x84,1.0,1
0x2A7,B7,S0015,0x84,1.0,1,0x81,1.0,1,0x84,1.0,1
0x2A7,B7,S0016,0x84,1.0,1,0x81,1.0,1,0x84,1.0,1
0x2A7,B7,S0017,0x84,1.0,1,0x81,1.0,1,0x84,1.0,1
0x2A7,B7,S0018,0x84,1.0,1,0x81,1.0,1,0x84,1.0,1
0x2BF,B5,S0014,0x00,1.0,1,0x18,1.0,1,0x00,1.0,1
0x2BF,B5,S0015,0x00,1.0,1,0x18,1.0,1,0x00,1.0,1
0x2BF,B5,S0016,0x00,1.0,1,0x18,1.0,1,0x00,1.0,1
0x2BF,B5,S0017,0x00,1.0,1,0x18,1.0,1,0x00,1.0,1
0x2BF,B5,S0018,0x00,1.0,1,0x18,1.0,1,0x00,1.0,1
0x2F3,B3,S0014,0x80,1.0,1,0x84,1.0,1,0x80,1.0,1
0x2F3,B3,S0015,0x80,1.0,1,0x84,1.0,1,0x80,1.0,1
0x2F3,B3,S0016,0x80,1.0,1,0x84,1.0,1,0x80,1.0,1
0x2F3,B3,S0017,0x80,1.0,1,0x84,1.0,1,0x80,1.0,1
0x2F3,B3,S0018,0x80,1.0,1,0x84,1.0,1,0x80,1.0,1
0x323,B4,S0014,0x02,1.0,1,0x04,1.0,1,0x02,1.0,1
0x323,B4,S0015,0x02,1.0,1,0x04,1.0,1,0x02,1.0,1
0x323,B4,S0016,0x02,1.0,1,0x04,1.0,1,0x02,1.0,1
0x323,B4,S0017,0x02,1.0,1,0x04,1.0,1,0x02,1.0,1
0x323,B4,S0018,0x02,1.0,1,0x04,1.0,1,0x02,1.0,1
0x361,B3,S0014,0x03,1.0,1,0x04,1.0,1,0x03,1.0,1
0x361,B3,S0015,0x03,1.0,1,0x04,1.0,1,0x03,1.0,1
0x361,B3,S0016,0x03,1.0,1,0x04,1.0,1,0x03,1.0,1
0x361,B3,S0017,0x03,1.0,1,0x04,0.927273,2,0x03,1.0,1
0x361,B3,S0018,0x03,1.0,1,0x04,0.963636,2,0x03,1.0,1
0x361,B4,S0014,0x01,1.0,1,0x02,0.981818,2,0x01,1.0,1
0x361,B4,S0015,0x01,1.0,1,0x02,1.0,1,0x01,1.0,1
0x361,B4,S0016,0x01,1.0,1,0x02,1.0,1,0x01,1.0,1
0x361,B4,S0017,0x01,1.0,1,0x02,0.981818,2,0x01,1.0,1
0x361,B4,S0018,0x01,1.0,1,0x02,1.0,1,0x01,1.0,1
0x421,B0,S0014,0x00,1.0,1,0xB0,1.0,1,0x00,1.0,1
0x421,B0,S0015,0x00,1.0,1,0xB0,1.0,1,0x00,1.0,1
0x421,B0,S0016,0x00,1.0,1,0xB0,1.0,1,0x00,1.0,1
0x421,B0,S0017,0x00,1.0,1,0xB0,1.0,1,0x00,1.0,1
0x421,B0,S0018,0x00,1.0,1,0xB0,1.0,1,0x00,1.0,1
0x782,B0,S0014,0x0D,0.142857,7,0x25,0.05,20,0x4A,0.111111,9
0x782,B0,S0015,0x0C,0.142857,7,0x24,0.05,20,0x49,0.111111,9
0x782,B0,S0016,0x0D,0.142857,7,0x25,0.05,20,0x4A,0.111111,9
0x782,B0,S0017,0x07,0.125,8,0x1F,0.047619,21,0x45,0.111111,9
0x782,B0,S0018,0x10,0.125,8,0x28,0.047619,21,0x4D,0.111111,9
