message,can_id,signal,json_start_position,dbc_start_bit,json_endianness,dbc_byte_order,bit_length,conversion_policy,reference_source,mux_id
CMPD_udsResponse,0x617,CMPD_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
CMP_udsResponse,0x613,CMP_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
CP_evseStatus,0x21D,CP_evseChargeType_UI,38,38,LITTLE,little_endian,2,JSON_DIRECT,,
CP_evseStatus,0x21D,CP_gbState,42,42,LITTLE,little_endian,4,JSON_DIRECT,,
CP_evseStatus,0x21D,CP_proximity,2,2,LITTLE,little_endian,2,JSON_DIRECT,,
CP_loggingFast,0x75D,CP_chargeCablePresent,61,61,LITTLE,little_endian,1,JSON_DIRECT,,0
CP_loggingFast,0x75D,CP_loggingFastSelect,0,0,LITTLE,little_endian,4,JSON_DIRECT,,
CP_status,0x210,CP_chargeCableState,14,14,LITTLE,little_endian,2,JSON_DIRECT,,
CP_udsResponse,0x61E,CP_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
DAS_udsResponse,0x659,DAS_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
DIF_alertMatrix3,0x35A,DIF_a154_resolver,25,25,LITTLE,little_endian,1,JSON_DIRECT,,
DIF_lvStatus,0x27A,DIF_hvilCmVoltage,20,20,LITTLE,little_endian,8,JSON_DIRECT,,
DIF_lvStatus,0x27A,DIF_hvilCurrent,12,12,LITTLE,little_endian,8,JSON_DIRECT,,
DIF_lvStatus,0x27A,DIF_hvilStatus,28,28,LITTLE,little_endian,2,JSON_DIRECT,,
DIF_status,0x2D5,DIF_wasteState,32,32,LITTLE,little_endian,2,JSON_DIRECT,,
DIF_udsResponse,0x615,DIF_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
DIR_alertMatrix3,0x3C5,DIR_a154_resolver,25,25,LITTLE,little_endian,1,JSON_DIRECT,,
DIR_lvStatus,0x279,DIR_hvilCmVoltage,20,20,LITTLE,little_endian,8,JSON_DIRECT,,
DIR_lvStatus,0x279,DIR_hvilCurrent,12,12,LITTLE,little_endian,8,JSON_DIRECT,,
DIR_lvStatus,0x279,DIR_hvilStatus,28,28,LITTLE,little_endian,2,JSON_DIRECT,,
DIR_status,0x256,DIR_state,12,12,LITTLE,little_endian,3,JSON_DIRECT,,
DIR_status,0x256,DIR_wasteState,32,32,LITTLE,little_endian,2,JSON_DIRECT,,
DIR_udsResponse,0x616,DIR_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
DI_speed,0x257,DI_vehicleSpeed,43,43,LITTLE,little_endian,13,JSON_DIRECT,,
DI_systemStatus,0x118,DI_brakePedalState,19,19,LITTLE,little_endian,2,JSON_DIRECT,,
DI_systemStatus,0x118,DI_gear,21,21,LITTLE,little_endian,3,JSON_DIRECT,,
DI_systemStatus,0x118,DI_hvilSystemStatus,27,27,LITTLE,little_endian,2,JSON_DIRECT,,
DI_vehicleEstimates,0x267,DI_steeringAngleOffset,56,56,LITTLE,little_endian,8,JSON_DIRECT,,
EPAS3P_angleCalibration,0x3D1,EPAS3P_appliedAngleOffset,0,0,LITTLE,little_endian,8,JSON_DIRECT,,
EPAS3P_sysStatus,0x373,EPAS3P_internalSAS,37,32,BIG,big_endian,14,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPAS3P_sysStatus,0x373,EPAS3P_torsionBarTorque,19,16,BIG,big_endian,12,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPAS3P_udsResponseCH,0x638,EPAS3P_udsResponseDataCH,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPAS3S_sysStatus,0x372,EPAS3S_torsionBarTorque,19,16,BIG,big_endian,12,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPAS3S_udsResponse,0x738,EPAS3S_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPBL_status,0x2A9,EPBL_systemStatus,0,0,LITTLE,little_endian,4,JSON_DIRECT,,
EPBL_udsResponse,0x625,EPBL_udsResponseData_H,7,0,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPBL_udsResponse,0x625,EPBL_udsResponseData_L,39,32,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPBR_status,0x2E8,EPBR_systemStatus,0,0,LITTLE,little_endian,4,JSON_DIRECT,,
EPBR_udsResponse,0x627,EPBR_udsResponseData_H,7,0,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
EPBR_udsResponse,0x627,EPBR_udsResponseData_L,39,32,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ESP_status,0x145,ESP_stabilityControlSts2,14,14,LITTLE,little_endian,2,JSON_DIRECT,,
ESP_udsResponse,0x655,ESP_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ESP_wheelSpeeds,0x175,ESP_wheelSpeedFrL,0,0,LITTLE,little_endian,13,JSON_DIRECT,,
ESP_wheelSpeeds,0x175,ESP_wheelSpeedFrR,13,13,LITTLE,little_endian,13,JSON_DIRECT,,
ESP_wheelSpeeds,0x175,ESP_wheelSpeedReL,26,26,LITTLE,little_endian,13,JSON_DIRECT,,
ESP_wheelSpeeds,0x175,ESP_wheelSpeedReR,39,39,LITTLE,little_endian,13,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_CH_canBusActivity,2,2,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_CH_faultConfinement,13,13,LITTLE,little_endian,2,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_PARTY_canBusActivity,1,1,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_PARTY_faultConfinement,11,11,LITTLE,little_endian,2,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_VEH_canBusActivity,0,0,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_canStatus,0x388,GTW_VEH_faultConfinement,9,9,LITTLE,little_endian,2,JSON_DIRECT,,
GTW_carConfig,0x7FF,GTW_carConfigMultiplexer,0,0,LITTLE,little_endian,8,JSON_DIRECT,,
GTW_carConfig,0x7FF,GTW_chassisType,18,18,LITTLE,little_endian,3,JSON_DIRECT,,3
GTW_carConfig,0x7FF,GTW_deliveryStatus,8,8,LITTLE,little_endian,1,JSON_DIRECT,,1
GTW_carConfig,0x7FF,GTW_drivetrainType,56,56,LITTLE,little_endian,4,JSON_DIRECT,,1
GTW_carConfig,0x7FF,GTW_epasType,33,33,LITTLE,little_endian,3,JSON_DIRECT,,6
GTW_carConfig,0x7FF,GTW_headlightLevelerType,59,59,LITTLE,little_endian,2,JSON_DIRECT,,2
GTW_carConfig,0x7FF,GTW_mapRegion,8,8,LITTLE,little_endian,4,JSON_DIRECT,,3
GTW_carConfig,0x7FF,GTW_numberHVILNodes,62,62,LITTLE,little_endian,2,JSON_DIRECT,,2
GTW_diagSession,0x666,GTW_diagLevel,17,17,LITTLE,little_endian,7,JSON_DIRECT,,
GTW_diagSession,0x666,GTW_diagRemainingSeconds,0,0,LITTLE,little_endian,16,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_BMSpresent,3,3,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_CMPpresent,20,20,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_CPpresent,4,4,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_DASpresent,21,21,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_DIFpresent,28,28,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_DIRpresent,27,27,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_EPAS3Ppresent,8,8,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_EPAS3Spresent,19,19,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_EPBLpresent,9,9,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_EPBRpresent,10,10,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_ESPpresent,11,11,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_HVPpresent,2,2,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_IBSTpresent,12,12,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_OCS1Ppresent,0,0,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_PARKpresent,13,13,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_PCSpresent,1,1,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_PMFpresent,26,26,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_PMRpresent,25,25,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_PTCpresent,22,22,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_RADCpresent,14,14,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_RCMpresent,5,5,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_SCCMpresent,6,6,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_SWCpresent,23,23,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_TPMSpresent,15,15,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_VCFRONTpresent,16,16,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_VCLEFTpresent,17,17,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_VCRIGHTpresent,18,18,LITTLE,little_endian,1,JSON_DIRECT,,
GTW_factoryEcuPresent,0x560,GTW_VCSECpresent,7,7,LITTLE,little_endian,1,JSON_DIRECT,,
HVP_contactorState,0x20A,HVP_hvilDiag,40,40,LITTLE,little_endian,4,JSON_DIRECT,,
HVP_debugMessage,0x7AA,HVP_debugMessageMultiplexer,0,0,LITTLE,little_endian,4,JSON_DIRECT,,
HVP_debugMessage,0x7AA,HVP_ecuLogUploadRequest,46,46,LITTLE,little_endian,2,JSON_DIRECT,,0
HVP_debugMessage,0x7AA,HVP_hvilInVoltage,28,28,LITTLE,little_endian,12,JSON_DIRECT,,4
HVP_debugMessage,0x7AA,HVP_hvilOutVoltage,40,40,LITTLE,little_endian,12,JSON_DIRECT,,4
HVP_hvpFaults,0x682,HVP_fcContactorHwFault,18,18,LITTLE,little_endian,1,JSON_DIRECT,,
HVP_hvpFaults,0x682,HVP_hvilStatus,30,30,LITTLE,little_endian,2,JSON_DIRECT,,
HVP_hvpFaults,0x682,HVP_packContactorHwFault,17,17,LITTLE,little_endian,1,JSON_DIRECT,,
HVP_udsResponse,0x611,HVP_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
IBST_status,0x39D,IBST_driverBrakeApply,16,16,LITTLE,little_endian,2,JSON_DIRECT,,
IBST_status,0x39D,IBST_iBoosterStatus,12,12,LITTLE,little_endian,3,JSON_DIRECT,,
IBST_udsResponse,0x65D,IBST_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ICR_udsResponse,0x658,ICR_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
OCS1P_status,0x303,OCS1P_occupiedState,9,9,LITTLE,little_endian,2,JSON_DIRECT,,
OCS1P_udsResponse,0x653,OCS1P_udsResponseData,0,0,LITTLE,little_endian,64,JSON_DIRECT,,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC0,7,0,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC1,15,8,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC2,23,16,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC3,31,24,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC4,39,32,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC5,47,40,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC6,55,48,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
ODIN_IsoTpPipeVCSEC,0x480,ODIN_IsoTpPipeVCSEC7,63,56,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
PARK_status2,0x30E,PARK_sdiActive,24,24,LITTLE,little_endian,1,JSON_DIRECT,,
PARK_udsResponse,0x65E,PARK_udsResponseData,0,0,LITTLE,little_endian,64,JSON_DIRECT,,
PCS_dcdcRailStatus,0x2B4,PCS_dcdcLvBusVolt,0,0,LITTLE,little_endian,13,JSON_DIRECT,,
PCS_dcdcRailStatus,0x2B4,PCS_dcdcLvOutputCurrent,32,32,LITTLE,little_endian,13,JSON_DIRECT,,
PCS_dcdcStatus,0x224,PCS_dcdcLvSupportStatus,2,2,LITTLE,little_endian,2,JSON_DIRECT,,
PCS_dcdcStatus,0x224,PCS_ecuLogUploadRequest,54,54,LITTLE,little_endian,2,JSON_DIRECT,,
PCS_udsResponse,0x629,PCS_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
PLG_udsResponse,0x663,PLG_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
PMF_state4,0x1D5,PMF_hvilStatus,37,37,LITTLE,little_endian,2,JSON_DIRECT,,
PMF_udsResponse,0x654,PMF_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
PMR_state4,0x1D8,PMR_hvilStatus,37,37,LITTLE,little_endian,2,JSON_DIRECT,,
PMR_udsResponse,0x614,PMR_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
PM_systemState,0x1CF,PM_hvilSystemStatus,24,24,LITTLE,little_endian,2,JSON_DIRECT,,
PM_udsResponse,0x640,PM_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
PTC_udsResponse,0x6D6,PTC_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
RADC_udsResponse,0x681,RADC_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
RCM_inertial1,0x101,RCM_pitchRate,16,16,LITTLE,little_endian,15,JSON_DIRECT,,
RCM_inertial1,0x101,RCM_rollRate,31,31,LITTLE,little_endian,15,JSON_DIRECT,,
RCM_inertial1,0x101,RCM_yawRate,0,0,LITTLE,little_endian,16,JSON_DIRECT,,
RCM_inertial2,0x116,RCM_lateralAccel,16,16,LITTLE,little_endian,16,JSON_DIRECT,,
RCM_inertial2,0x116,RCM_longitudinalAccel,0,0,LITTLE,little_endian,16,JSON_DIRECT,,
RCM_inertial2,0x116,RCM_verticalAccel,32,32,LITTLE,little_endian,16,JSON_DIRECT,,
RCM_status,0x211,RCM_armStatus,12,12,LITTLE,little_endian,2,JSON_DIRECT,,
RCM_udsResponse,0x651,RCM_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_steeringAngleSensor,0x129,SCCM_steeringAngle,16,16,LITTLE,little_endian,14,JSON_DIRECT,,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_0,7,0,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_1,15,8,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_2,23,16,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_3,31,24,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_4,39,32,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_5,47,40,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_6,55,48,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SCCM_udsResponse,0x690,SCCM_functionalResponseData_7,63,56,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
SDCR_udsResponse,0x6FB,SDCR_udsResponseData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
TAS_udsResponse,0x65B,TAS_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
TPMS_udsResponse,0x65F,TPMS_udsResponseData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_KOSTIAsccmRequest,0x669,UDS_KOSTIAsccmRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_bmsRequest,0x602,UDS_bmsRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_ccRequest,0x62B,UDS_ccRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_cmpRequest,0x603,UDS_cmpRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_cmpdRequest,0x607,UDS_cmpdRequestData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_cpRequest,0x60E,UDS_cpRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_dasRequest,0x649,UDS_dasRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_diRequest,0x635,UDS_diRequestData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_difRequest,0x605,UDS_difRequestData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_dirRequest,0x606,UDS_dirRequestData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_epas3pRequest,0x630,UDS_epas3pRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_epas3sRequest,0x730,UDS_epas3sRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_epblRequest,0x624,UDS_epblRequestData_H,7,0,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_epblRequest,0x624,UDS_epblRequestData_L,39,32,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_epbrRequest,0x626,UDS_epbrRequestData_H,7,0,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_epbrRequest,0x626,UDS_epbrRequestData_L,39,32,BIG,big_endian,32,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_espRequest,0x645,UDS_espRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_0,7,0,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_1,15,8,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_2,23,16,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_3,31,24,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_4,39,32,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_5,47,40,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_6,55,48,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest,0x7DF,UDS_functionalRequestData_7,63,56,BIG,little_endian,8,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_functionalRequest_CH,0x7DE,UDS_functionalRequestDataCH,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_hvpRequest,0x610,UDS_hvpRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_ibstRequest,0x64D,UDS_ibstRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_icrRequest,0x618,UDS_icrRequestData,7,7,BIG,big_endian,64,JSON_BIG_ENDIAN_UNVERIFIED_START,,
UDS_ocs1pRequest,0x643,UDS_ocs1pRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
UDS_parkRequest,0x64E,UDS_parkRequestData,7,0,BIG,big_endian,64,LOCAL_DBC_START_BIT_ADAPTATION,dbc/tesla_model3.dbc,
