can_id,dlc,start_byte,width_bytes,endian,signed,unique_values,range,charge_contrast_score,smoothness,connected_idle_median,charging_median,stopped_connected_median,unplugged_median,unplug_contrast
0x32A,5,3,2,big,False,54,4018,1.854903,0.999502,3959.0,195.0,3884,3890,6
0x32A,5,3,2,big,True,54,4018,1.854903,0.999502,3959.0,195.0,3884,3890,6
0x132,6,3,2,little,True,36,40447,1.727841,0.987341,10495.0,-24576,10239.0,10239,0.0
0x132,6,4,2,big,True,36,40191,1.726108,0.987261,10304.0,-24511,10048.0,10048,0.0
0x132,6,4,2,big,False,36,36353,1.697191,0.985916,10304.0,41025,10048.0,10048,0.0
0x132,6,4,1,little,False,36,142,1.697183,0.985915,40.0,160,39.0,39,0.0
0x132,6,3,2,little,False,36,36097,1.695044,0.985816,10495.0,40960,10239.0,10239,0.0
0x241,7,2,2,little,False,14,1162,1.669535,0.944923,2828.0,3798.0,2828.0,2828.0,0.0
0x241,7,2,2,little,True,14,1162,1.669535,0.944923,2828.0,3798.0,2828.0,2828.0,0.0
0x241,7,0,2,big,False,14,4624,1.66782,0.944637,11308.0,15164.0,11308.0,11308.0,0.0
0x241,7,0,2,big,True,14,4624,1.66782,0.944637,11308.0,15164.0,11308.0,11308.0,0.0
0x241,7,0,1,little,False,13,18,1.666667,0.944444,44.0,59.0,44.0,44.0,0.0
0x2D2,8,0,1,little,False,9,14,1.571429,1.0,109.0,121.0,111.0,109.0,2.0
0x2D2,8,0,2,little,False,9,14,1.571429,1.0,10605.0,10617.0,10607.0,10605.0,2.0
0x2D2,8,0,2,little,True,9,14,1.571429,1.0,10605.0,10617.0,10607.0,10605.0,2.0
0x2D2,8,0,2,big,False,9,3584,1.571429,1.0,27945.0,31017.0,28457.0,27945.0,512.0
0x2D2,8,0,2,big,True,9,3584,1.571429,1.0,27945.0,31017.0,28457.0,27945.0,512.0
0x132,6,1,2,big,False,10,257,1.466926,1.0,35576.0,35764,35575.0,35575,0.0
0x132,6,1,2,big,True,10,257,1.466926,1.0,-29960.0,-29772,-29961.0,-29961,0.0
0x42F,7,0,1,little,False,18,180,1.411111,1.0,156.0,76.0,250,251,1
0x42F,7,0,2,big,False,18,46080,1.411089,1.0,40106.0,19627.0,64171,64427,256
0x42F,7,0,2,big,True,18,45825,1.407812,1.0,-25430.0,18859.0,-1365,-1109,256
0x241,7,2,2,big,False,14,51715,1.366373,0.366393,3083.0,38414.0,3083.0,3083.0,0.0
0x2B4,6,1,2,little,True,28,11008,1.348837,1.0,-10491.0,-1019.0,-6395.0,-7931.0,1536.0
0x2B4,6,2,2,little,False,28,43,1.348837,1.0,3543.0,3580.0,3559.0,3553.0,6.0
0x2B4,6,2,2,little,True,28,43,1.348837,1.0,3543.0,3580.0,3559.0,3553.0,6.0
0x2B4,6,2,2,big,True,28,11009,1.348715,1.0,-10483.0,-1011.0,-6387.0,-7923.0,1536.0
0x132,6,0,2,little,False,337,433,1.30254,0.993072,35386.0,35746,35542.0,35485,57.0
0x132,6,0,2,little,True,337,433,1.30254,0.993072,-30150.0,-29790,-29994.0,-30051,57.0
0x401,8,2,2,little,False,296,393,1.234097,0.987277,33396.0,33713.0,33545.0,33489.0,56.0
0x401,8,2,2,little,True,296,393,1.234097,0.987277,-32140.0,-31823.0,-31991.0,-32047.0,56.0
0x528,4,3,1,little,False,230,255,1.154902,0.996078,39.5,195.5,57,146,89
0x528,4,2,2,little,False,352,65280,1.154887,0.996078,10260.0,50196.0,14741,37525,22784
0x401,8,2,2,big,True,296,65281,1.062714,0.980392,29826.0,-18557.0,2435.0,-11902.0,14337.0
0x401,8,1,2,little,True,348,65320,1.062094,0.980404,29738.0,-18646.0,2346.0,-11990.0,14336.0
0x32A,5,3,2,little,True,54,65024,1.059516,0.992126,28431.0,-14592.0,11279,12815,1536
0x2A4,8,0,2,big,True,152,28545,1.058539,0.99972,-26681.0,-2825.0,-9185,-19113,9928
0x401,8,3,2,little,True,319,65281,1.043106,0.976471,29826.0,-18045.0,2179.0,-11646.0,13825.0
0x401,8,4,2,big,True,294,65281,1.043106,0.976471,29826.0,-18045.0,2179.0,-11646.0,13825.0
0x401,8,5,2,little,True,309,65281,1.035263,0.976471,29826.0,-17789.0,2179.0,-11646.0,13825.0
0x401,8,6,2,big,True,287,65281,1.035263,0.976471,29826.0,-17789.0,2179.0,-11646.0,13825.0
0x292,8,0,2,little,True,8,62464,1.032787,1.0,28481.0,30532.0,-31929.0,-31929.0,0.0
0x292,8,1,2,big,True,10,62704,1.025517,1.0,28605.0,30477.0,-31955.0,-31955.0,0.0
0x292,8,3,2,big,True,8,49409,1.00002,1.0,-2608.0,14034.0,-18734.0,30418.0,49152.0
0x204,8,3,2,big,False,8,65280,1.0,1.0,65280.0,18080.0,0.0,65280.0,65280.0
0x22B,8,0,1,little,False,20,255,1.0,1.0,0.0,255.0,255,244.0,11.0
0x292,8,0,2,little,False,8,5126,1.0,1.0,28481.0,30533.0,33607.0,33607.0,0.0
0x292,8,0,2,big,False,8,1556,1.0,1.0,16751.0,17783.0,18307.0,18307.0,0.0
0x292,8,0,2,big,True,8,1556,1.0,1.0,16751.0,17783.0,18307.0,18307.0,0.0
0x292,8,1,2,little,True,10,28692,1.0,1.0,-17041.0,-649.0,11651.0,11651.0,0.0
0x292,8,1,2,big,False,10,4976,1.0,1.0,28605.0,30717.0,33581.0,33581.0,0.0
0x292,8,2,2,big,True,13,28609,1.0,1.0,-16907.0,-523.0,11702.0,11638.0,64.0
0x292,8,3,2,little,False,8,449,1.0,1.0,53493.0,53749.0,53942.0,53878.0,64.0
0x292,8,3,2,little,True,8,449,1.0,1.0,-12043.0,-11787.0,-11594.0,-11658.0,64.0
0x321,8,0,2,little,False,13,3078,1.0,1.0,38438.0,39466.0,41516,41515,1
0x321,8,0,2,little,True,13,3078,1.0,1.0,-27098.0,-26070.0,-24020,-24021,1
0x321,8,0,2,big,False,13,1548,1.0,1.0,9878.0,10906.0,11426,11170,256
0x321,8,0,2,big,True,13,1548,1.0,1.0,9878.0,10906.0,11426,11170,256
0x32A,5,1,2,big,False,8,512,1.0,1.0,32511.0,32350.0,31999,32511,512
0x32A,5,1,2,big,True,8,512,1.0,1.0,32511.0,32350.0,31999,32511,512
0x3D2,8,4,2,little,False,98,338,1.0,1.0,46628.0,46838.0,46966,46966,0
0x3D2,8,4,2,little,True,98,338,1.0,1.0,-18908.0,-18698.0,-18570,-18570,0
0x38B,8,5,2,big,True,9,49153,0.999878,1.0,-32726.0,-16347.0,16421,16421,0
0x292,8,2,2,little,True,13,49216,0.999675,1.0,-2627.0,13837.0,-18899.0,30253.0,49152.0
0x22B,8,0,2,big,False,71,65535,0.998535,1.0,224.0,65535.0,65407,62719.0,2688.0
0x292,8,2,2,little,False,13,49152,0.998372,1.0,62909.0,30237.0,46637.0,30253.0,16384.0
0x2A4,8,5,2,little,True,50,65456,0.996578,1.0,-673.0,32255.0,-49,-33,16
0x38B,8,4,2,little,True,115,49209,0.996464,0.999837,-32611.0,-16152.0,16424,16456,32
0x292,8,3,2,big,False,8,49151,0.994771,1.0,62928.0,30418.0,46802.0,30418.0,16384.0
0x42F,7,0,2,little,False,18,355,0.985915,1.0,43676.0,43850.0,44026,44027,1
0x42F,7,0,2,little,True,18,355,0.985915,1.0,-21860.0,-21686.0,-21510,-21509,1
0x2A4,8,3,2,big,False,35,562,0.975089,1.0,58421.0,58715.0,58969,58953,16
0x2A4,8,3,2,big,True,35,562,0.975089,1.0,-7115.0,-6821.0,-6567,-6583,16
0x22B,8,7,1,little,False,15,255,0.972549,1.0,7.0,255.0,255,255.0,0.0
0x25D,8,5,2,big,False,12,264,0.969697,1.0,61656.0,61912.0,61912.0,61656.0,256.0
0x25D,8,5,2,big,True,12,264,0.969697,1.0,-3880.0,-3624.0,-3624.0,-3880.0,256.0
0x22B,8,6,2,little,False,37,65535,0.968765,1.0,2047.0,65535.0,65535,65535.0,0.0
0x32A,5,4,1,little,False,52,238,0.953782,0.991597,119.0,195.0,44,50,6
0x32A,5,3,2,little,False,54,60928,0.953289,0.991597,30479.0,49920.0,11279,12815,1536
0x401,8,3,2,big,False,319,511,0.941292,0.988258,33397.0,33712.0,33546.0,33489.0,57.0
0x401,8,3,2,big,True,319,511,0.941292,0.988258,-32139.0,-31824.0,-31990.0,-32047.0,57.0
0x38B,8,5,2,little,False,9,1472,0.913043,1.0,10880.0,9664.0,9536,9536,0
0x38B,8,5,2,little,True,9,1472,0.913043,1.0,10880.0,9664.0,9536,9536,0
0x32A,5,0,2,little,False,44,664,0.871988,0.996988,32335.0,32335.0,31756,32266,510
0x32A,5,0,2,little,True,44,664,0.871988,0.996988,32335.0,32335.0,31756,32266,510
0x292,8,2,1,little,False,8,240,0.866667,1.0,189.0,221.0,45.0,45.0,0.0
0x401,8,6,1,little,False,206,255,0.866667,0.980392,116.0,178.0,19.0,209.0,190.0
0x292,8,1,2,little,False,10,61440,0.866341,1.0,48495.0,56687.0,11651.0,11651.0,0.0
0x401,8,6,2,big,False,287,65410,0.864959,0.980431,29826.0,45699.0,4995.0,53634.0,48639.0
0x401,8,5,2,little,False,309,65411,0.864946,0.980431,29826.0,45699.0,4995.0,53634.0,48639.0
0x292,8,2,2,big,False,13,61631,0.860849,1.0,48629.0,56693.0,11702.0,11638.0,64.0
0x401,8,2,2,big,False,296,65279,0.858852,0.980392,29826.0,45443.0,4995.0,53634.0,48639.0
0x401,8,2,1,little,False,210,255,0.858824,0.980392,116.0,177.0,19.0,209.0,190.0
0x401,8,1,2,little,False,348,65280,0.858824,0.980392,29738.0,45354.0,4906.0,53546.0,48640.0
0x401,8,3,2,little,False,319,65281,0.847061,0.980377,30082.0,45187.0,4995.0,53634.0,48639.0
0x401,8,4,1,little,False,210,255,0.847059,0.980392,117.0,176.0,19.0,209.0,190.0
0x401,8,4,2,big,False,294,65410,0.845391,0.980431,30082.0,45187.0,4995.0,53634.0,48639.0
0x332,6,5,1,little,False,9,95,0.821053,0.084211,7.0,42.5,0,0,0
0x332,6,4,2,little,False,21,24289,0.820618,0.085965,1892.0,10980.0,136,136,0
0x332,6,4,2,little,True,21,24289,0.820618,0.085965,1892.0,10980.0,136,136,0
0x2A4,8,4,1,little,False,20,50,0.8,1.0,53.0,91.0,89,73,16
0x2A4,8,3,2,little,False,35,12802,0.799875,1.0,13796.0,23525.0,23014,18918,4096
0x2A4,8,3,2,little,True,35,12802,0.799875,1.0,13796.0,23525.0,23014,18918,4096
0x312,8,5,2,little,False,8,5316,0.785553,0.00301,2791.0,4883.0,2799.0,2799.0,0.0
0x312,8,5,2,little,True,8,5316,0.785553,0.00301,2791.0,4883.0,2799.0,2799.0,0.0
0x39A,8,3,2,little,False,52,389,0.77635,0.154242,65164.0,65021,65180.0,65021.0,159.0
0x39A,8,3,2,little,True,52,389,0.77635,0.154242,-372.0,-515,-356.0,-515.0,159.0
0x2A4,8,4,2,big,False,116,12992,0.770936,0.998768,13663.0,23327.0,22975,18911,4064
0x2A4,8,4,2,big,True,116,12992,0.770936,0.998768,13663.0,23327.0,22975,18911,4064
0x348,8,4,1,little,False,230,255,0.762745,0.996078,211.5,155.5,17,96,79
0x348,8,4,2,little,False,230,255,0.762745,0.996078,2259.5,2203.5,2065,2144,79
0x348,8,4,2,little,True,230,255,0.762745,0.996078,2259.5,2203.5,2065,2144,79
0x348,8,4,2,big,False,230,65280,0.762745,0.996078,54152.0,39816.0,4360,24584,20224
0x348,8,3,2,little,False,352,65279,0.762726,0.996078,54148.0,39813.0,4358,24582,20224
0x2A4,8,2,2,little,False,19,515,0.749515,1.0,58556.0,58750.0,58942,59005,63
0x2A4,8,2,2,little,True,19,515,0.749515,1.0,-6980.0,-6786.0,-6594,-6531,63
0x3D2,8,4,2,big,True,98,59905,0.743594,1.0,9398.0,-2378.0,30391,30391,0
0x3D2,8,3,2,little,True,97,59904,0.74359,1.0,9216.0,-2560.0,30208,30208,0
0x3DD,8,1,1,little,False,24,222,0.738739,0.301802,81.0,163.0,81,81,0
0x3DD,8,0,2,little,False,54,57025,0.72989,0.302744,20949.0,41760.0,20949,20949,0
0x3DD,8,1,2,big,False,50,56986,0.729583,0.303618,20960.0,41748.0,20960,20960,0
0x782,8,0,1,little,False,96,101,0.727723,0.990099,55.5,20,58,91.5,33.5
0x3DD,8,0,2,little,True,54,46705,0.727588,0.602591,6.0,-16985.0,6,6,0
0x3DD,8,1,2,big,True,50,46812,0.726224,0.604396,0.0,-16998.0,0,0,0
0x782,8,0,2,big,False,96,26022,0.72529,0.989567,14324.5,5241,15031,23564.5,8533.5
0x782,8,0,2,big,True,96,26022,0.72529,0.989567,14324.5,5241,15031,23564.5,8533.5
0x132,6,0,2,big,True,337,65281,0.713684,0.988235,14986.0,-21109,-10614.0,-24950,14336.0
0x782,8,1,2,big,True,85,65024,0.704747,0.72637,-6076.5,13635,-12479,-1086.0,11393.0
0x782,8,0,2,little,True,96,65050,0.703251,0.726487,-6085.5,13586,-12489,-1067.0,11422.0
0x37D,8,5,2,little,False,14,65528,0.687706,0.624832,28672.0,0.0,16392,8,16384
0x2A4,8,1,2,little,True,113,49793,0.671902,0.999839,-17209.0,16071.0,15895,32063,16168
0x77A,8,0,2,big,True,15,24536,0.668283,0.007907,-12144.0,-3945.5,-12144.0,-12144.0,0.0
0x2A4,8,2,2,big,True,19,49922,0.66668,1.0,-17180.0,16101.0,16102,32230,16128
0x2A4,8,1,2,little,False,113,49649,0.653065,0.999839,48327.0,32560.0,15903,32063,16160
0x39A,8,0,2,big,False,286,62742,0.652354,0.192535,46856.0,65021,42256.0,64893.0,22637.0
0x2A4,8,2,1,little,False,13,194,0.649485,1.0,188.0,127.0,62,125,63
0x2A4,8,2,2,big,False,19,49663,0.649457,1.0,48356.0,32741.0,16102,32230,16128
0x39A,8,0,1,little,False,29,245,0.64898,0.195918,182.5,253,164.5,252.5,88.0
0x528,4,2,2,little,True,352,65280,0.641192,0.996078,1556.0,-12780.0,14741,-25707,40448
0x332,6,0,1,little,False,16,89,0.634831,0.719101,24.5,52.5,24,24,0
0x332,6,0,2,big,False,17,22800,0.634737,0.718596,6290.0,13458.0,6154,6154,0
0x332,6,0,2,big,True,17,22800,0.634737,0.718596,6290.0,13458.0,6154,6154,0
0x332,6,1,2,little,False,14,4096,0.628052,0.816406,34573.5,35986.0,34826,34826,0
0x332,6,1,2,little,True,14,4096,0.628052,0.816406,-30962.5,-29550.0,-30710,-30710,0
0x332,6,2,1,little,False,13,16,0.625,0.8125,135.0,140.5,136,136,0
0x364,4,2,1,little,False,52,252,0.619048,1.0,86.0,126.0,242,244,2
0x364,4,1,2,little,False,60,64512,0.619048,1.0,22146.0,32376.0,62082,62594,512
0x364,4,2,2,big,False,52,64543,0.61875,1.0,22047.0,32287.0,61983,62495,512
0x132,6,0,2,big,False,337,65279,0.611774,0.988235,14986.0,41611,54922.0,40330,14592.0
0x132,6,0,1,little,False,239,255,0.611765,0.988235,58.0,162,214.0,157,57.0
0x332,6,2,2,big,False,13,4096,0.609253,0.781006,34630.5,36038.5,34951,34951,0
0x332,6,2,2,big,True,13,4096,0.609253,0.781006,-30905.5,-29497.5,-30585,-30585,0
0x383,8,6,2,little,False,37,1312,0.585366,1.0,25056.0,24544.0,24288,24096.0,192.0
0x383,8,6,2,little,True,37,1312,0.585366,1.0,25056.0,24544.0,24288,24096.0,192.0
0x324,8,1,2,little,True,352,2065,0.583051,0.998063,-1484.0,-699.5,-280,68,348
0x52F,8,4,2,big,False,352,8057,0.582413,0.998138,33120.5,36172.5,37813,39171,1358
0x348,8,3,2,big,False,352,528,0.582386,0.998106,1235.5,1435.5,1543,1632,89
0x348,8,3,2,big,True,352,528,0.582386,0.998106,1235.5,1435.5,1543,1632,89
0x528,4,2,2,big,False,352,528,0.582386,0.998106,37893.5,38093.5,38201,38290,89
0x528,4,2,2,big,True,352,528,0.582386,0.998106,-27642.5,-27442.5,-27335,-27246,89
0x52F,8,4,1,little,False,26,31,0.580645,1.0,129.0,141.0,147,153,6
0x52F,8,3,2,little,False,26,7936,0.580645,1.0,33070.0,36142.0,37678,39214,1536
0x52F,8,3,2,big,False,26,31,0.580645,1.0,11905.0,11917.0,11923,11929,6
0x52F,8,3,2,big,True,26,31,0.580645,1.0,11905.0,11917.0,11923,11929,6
0x2C4,8,1,1,little,False,59,255,0.580392,0.8,34.0,123.0,64.0,54.0,10.0
0x201,8,1,2,big,False,12,62793,0.578886,0.750131,53248,35073.0,53248.0,53248,0.0
0x2C4,8,0,2,little,False,153,65527,0.57822,0.802631,8741.0,31513.0,16396.0,13928.0,2468.0
0x2C4,8,1,2,big,False,178,65535,0.578073,0.800778,8770.0,31519.0,16384.0,13952.0,2432.0
0x201,8,1,1,little,False,12,246,0.577236,0.747967,208,137.0,208.0,208,0.0
0x383,8,6,1,little,False,11,224,0.575893,1.0,129.0,96.0,192,32.0,160.0
0x383,8,6,2,big,False,37,57348,0.575835,1.0,33121.0,24672.0,49246,8286.0,40960.0
0x383,8,5,2,little,False,47,57440,0.575487,1.0,33168.0,24688.0,49264,8320.0,40944.0
0x201,8,0,2,little,False,25,63023,0.575441,0.746775,53250,35117.0,53250.0,53250,0.0
0x20C,8,1,2,big,True,21,57346,0.571444,1.0,-24507.0,-16314.0,8263.0,-24505.0,32768.0
0x20C,8,1,1,little,False,8,224,0.571429,1.0,160.0,160.0,32.0,160.0,128.0
0x20C,8,0,2,little,False,8,57344,0.571429,1.0,40960.0,40960.0,8192.0,40960.0,32768.0
0x20C,8,0,2,little,True,8,57344,0.571429,1.0,-24576.0,-16384.0,8192.0,-24576.0,32768.0
0x20C,8,0,2,big,False,8,224,0.571429,1.0,160.0,160.0,32.0,160.0,128.0
0x20C,8,0,2,big,True,8,224,0.571429,1.0,160.0,160.0,32.0,160.0,128.0
0x20C,8,1,2,big,False,21,57345,0.571419,1.0,41029.0,41030.0,8263.0,41031.0,32768.0
0x241,7,2,2,big,True,14,49156,0.562332,0.666673,3083.0,-10738.0,3083.0,3083.0,0.0
0x3D2,8,4,1,little,False,97,254,0.559055,1.0,36.0,148.0,118,118,0
0x3D2,8,3,2,little,False,97,65024,0.559055,1.0,9216.0,37888.0,30208,30208,0
0x3D2,8,3,2,big,False,97,254,0.559055,1.0,36.0,148.0,118,118,0
0x3D2,8,3,2,big,True,97,254,0.559055,1.0,36.0,148.0,118,118,0
0x3D2,8,4,2,big,False,98,65023,0.559048,1.0,9398.0,38070.0,30391,30391,0
0x318,8,5,1,little,False,9,9,0.555556,1.0,39.0,42.0,44.0,45.0,1.0
0x318,8,4,2,little,False,9,2304,0.555556,1.0,9995.0,10763.0,11275.0,11531.0,256.0
0x318,8,4,2,little,True,9,2304,0.555556,1.0,9995.0,10763.0,11275.0,11531.0,256.0
0x318,8,4,2,big,False,9,9,0.555556,1.0,2855.0,2858.0,2860.0,2861.0,1.0
0x318,8,4,2,big,True,9,9,0.555556,1.0,2855.0,2858.0,2860.0,2861.0,1.0
0x61D,8,0,1,little,False,9,9,0.555556,1.0,12.0,15.0,17.0,18.0,1.0
0x61D,8,0,2,little,False,9,9,0.555556,1.0,3340.0,3343.0,3345.0,3346.0,1.0
0x61D,8,0,2,little,True,9,9,0.555556,1.0,3340.0,3343.0,3345.0,3346.0,1.0
0x61D,8,0,2,big,False,9,2304,0.555556,1.0,3085.0,3853.0,4365.0,4621.0,256.0
0x61D,8,0,2,big,True,9,2304,0.555556,1.0,3085.0,3853.0,4365.0,4621.0,256.0
0x318,8,5,2,big,False,144,2334,0.550985,0.999143,10025.0,10803.0,11311.0,11579.0,268.0
0x318,8,5,2,big,True,144,2334,0.550985,0.999143,10025.0,10803.0,11311.0,11579.0,268.0
0x2E3,7,3,1,little,False,16,102,0.54902,0.392157,56,29.0,0,62,62
0x39A,8,3,1,little,False,52,250,0.548,0.316,191.5,253,177.5,253.0,75.5
0x39A,8,3,2,big,False,52,63998,0.547986,0.31601,49278.0,65021,45694.0,65021.0,19327.0
0x2E3,7,3,2,big,False,29,26114,0.547982,0.382821,14338,7439.0,28,15874,15846
0x2E3,7,3,2,big,True,29,26114,0.547982,0.382821,14338,7439.0,28,15874,15846
0x2B4,6,4,1,little,False,43,42,0.547619,0.928571,183.0,203.0,200.0,198.0,2.0
0x2B4,6,3,2,little,False,46,10752,0.547619,0.928571,46861.0,51981.0,51213.0,50701.0,512.0
0x2B4,6,3,2,little,True,46,10752,0.547619,0.928571,-18675.0,-13555.0,-14323.0,-14835.0,512.0
0x2B4,6,4,2,little,False,43,42,0.547619,0.928571,183.0,203.0,200.0,198.0,2.0
0x2B4,6,4,2,little,True,43,42,0.547619,0.928571,183.0,203.0,200.0,198.0,2.0
0x2B4,6,4,2,big,False,43,10752,0.547619,0.928571,46848.0,51968.0,51200.0,50688.0,512.0
0x2B4,6,4,2,big,True,43,10752,0.547619,0.928571,-18688.0,-13568.0,-14336.0,-14848.0,512.0
0x39A,8,2,2,little,False,312,64250,0.545899,0.318444,49274.0,65021,45694.0,65021.0,19327.0
0x2E3,7,2,2,little,False,25,26112,0.545267,0.389131,14336,7473.0,98,15872,15774
0x2E3,7,2,2,little,True,25,26112,0.545267,0.389131,14336,7473.0,98,15872,15774
0x2A4,8,4,2,little,True,116,61486,0.532381,0.999967,20277.0,1888.0,-12457,-8375,4082
0x2A4,8,5,2,big,True,50,61568,0.532192,1.0,20477.0,1918.0,-12289,-8193,4096
0x332,6,3,2,little,True,9,57471,0.531181,0.173722,-14137.5,-7097.5,-30585,-30585,0
0x332,6,4,2,big,True,21,57695,0.531008,0.173187,-14167.5,-7125.5,-30720,-30720,0
0x20C,8,1,2,little,False,21,736,0.521739,1.0,17824.0,18080.0,18208.0,18336.0,128.0
0x20C,8,1,2,little,True,21,736,0.521739,1.0,17824.0,18080.0,18208.0,18336.0,128.0
0x37D,8,2,2,big,False,8,28528,0.508974,0.018087,41762.0,41890.5,56282,56282,0
0x332,6,3,2,big,True,9,32481,0.500216,0.001201,-14647.5,-14620.0,-30840,-30840,0
0x332,6,2,2,little,True,13,32525,0.500123,0.000338,-14585.5,-14579.5,-30840,-30840,0
0x37D,8,2,2,little,False,8,28783,0.500035,0.035646,41634.5,41763.0,56027,56027,0
0x324,8,2,2,little,False,8,8,0.5,1.0,36602.0,36605.0,36606,36608,2
0x324,8,2,2,little,True,8,8,0.5,1.0,-28934.0,-28931.0,-28930,-28928,2
0x332,6,2,2,little,False,13,33027,0.499985,0.000151,18183.0,18190.5,34696,34696,0
0x37D,8,3,2,big,False,10,28674,0.499965,0.026923,41472.0,41600.0,55808,55808,0
0x45A,8,5,2,big,False,21,19452,0.499923,0.026732,18944,9348.5,9219.5,9347.5,128.0
0x45A,8,5,2,big,True,21,19452,0.499923,0.026732,18944,9348.5,9219.5,9347.5,128.0
0x324,8,2,2,big,True,8,2049,0.499756,1.0,-1394.0,-626.0,-370,143,513
0x332,6,3,2,big,False,9,33150,0.499336,0.001719,18154.0,18148.5,34696,34696,0
0x3A1,8,2,2,big,False,49,13255,0.497359,0.005281,9930.5,9909.5,3338,9915.5,6577.5
0x3A1,8,2,2,big,True,49,13255,0.497359,0.005281,9930.5,9909.5,3338,9915.5,6577.5
0x37D,8,2,2,big,True,8,37782,0.496586,0.006829,8994.0,9251.0,-9254,-9252,2
0x3A1,8,3,2,little,False,50,16071,0.495209,0.019663,8010.5,8117.5,266,8123.5,7857.5
0x3A1,8,3,2,little,True,50,16071,0.495209,0.019663,8010.5,8117.5,266,8123.5,7857.5
0x319,8,4,1,little,False,8,255,0.494118,1.0,129.0,192.0,255,255,0
0x319,8,3,2,little,False,8,65280,0.494118,1.0,33024.0,49152.0,65280,65280,0
0x37D,8,2,2,little,True,8,38292,0.493301,0.013397,8866.5,9123.5,-9509,-8997,512
0x319,8,4,2,big,False,8,65535,0.492378,1.0,33267.0,49401.0,65535,65535,0
0x77A,8,2,2,big,True,10,37027,0.490885,0.587679,430.5,9518.5,430.5,430.5,0.0
0x37D,8,3,2,big,True,10,38400,0.489974,0.019948,8831.0,8960.0,-9726,-9214,512
