can_id,dlc,byte,bit,pattern,min_stage_purity,baseline,door_open,connected_idle,charging,stopped_connected,unlocked_connected,unplugged
0x212,8,5,5,1110111,1.0,1,1,1,0,1,1,1
0x212,8,5,6,1110111,1.0,1,1,1,0,1,1,1
0x212,8,5,7,1110111,1.0,1,1,1,0,1,1,1
0x212,8,6,0,1110111,1.0,1,1,1,0,1,1,1
0x212,8,6,1,1110111,1.0,1,1,1,0,1,1,1
0x212,8,6,2,1110111,1.0,1,1,1,0,1,1,1
0x212,8,6,6,1110001,1.0,1,1,1,0,0,0,1
0x212,8,7,0,0001000,1.0,0,0,0,1,0,0,0
0x212,8,7,5,1110111,1.0,1,1,1,0,1,1,1
0x21D,8,0,0,0001000,1.0,0,0,0,1,0,0,0
0x21D,8,0,1,0001000,1.0,0,0,0,1,0,0,0
0x21D,8,0,3,0011110,1.0,0,0,1,1,1,1,0
0x21D,8,0,5,0001000,1.0,0,0,0,1,0,0,0
0x21D,8,0,6,0010110,1.0,0,0,1,0,1,1,0
0x21D,8,1,6,0001000,1.0,0,0,0,1,0,0,0
0x21D,8,2,0,1100001,1.0,1,1,0,0,0,0,1
0x21D,8,2,1,0011110,1.0,0,0,1,1,1,1,0
0x21D,8,2,2,1100001,1.0,1,1,0,0,0,0,1
0x21D,8,2,4,1100001,1.0,1,1,0,0,0,0,1
0x21D,8,2,5,1101001,1.0,1,1,0,1,0,0,1
0x21D,8,3,5,0011110,1.0,0,0,1,1,1,1,0
0x21D,8,4,7,0001110,1.0,0,0,0,1,1,1,0
0x21D,8,6,4,0011110,1.0,0,0,1,1,1,1,0
0x21D,8,6,5,0001000,1.0,0,0,0,1,0,0,0
0x228,8,3,0,0011110,1.0,0,0,1,1,1,1,0
0x228,8,3,1,0011110,1.0,0,0,1,1,1,1,0
0x228,8,5,7,1100001,1.0,1,1,0,0,0,0,1
0x228,8,7,0,0011110,1.0,0,0,1,1,1,1,0
0x228,8,7,1,0011110,1.0,0,0,1,1,1,1,0
0x22A,4,2,2,0001000,1.0,0,0,0,1,0,0,0
0x232,8,0,6,1110111,1.0,1,1,1,0,1,1,1
0x232,8,1,1,0001000,1.0,0,0,0,1,0,0,0
0x24A,1,0,1,1110111,1.0,1,1,1,0,1,1,1
0x252,8,1,1,0001000,1.0,0,0,0,1,0,0,0
0x252,8,1,2,0001000,1.0,0,0,0,1,0,0,0
0x252,8,1,4,0001000,1.0,0,0,0,1,0,0,0
0x252,8,2,2,1110000,1.0,1,1,1,0,0,0,0
0x252,8,2,3,1111000,1.0,1,1,1,1,0,0,0
0x252,8,2,4,0000111,1.0,0,0,0,0,1,1,1
0x252,8,2,6,0001000,1.0,0,0,0,1,0,0,0
0x252,8,3,0,0001000,1.0,0,0,0,1,0,0,0
0x252,8,3,1,1110111,1.0,1,1,1,0,1,1,1
0x252,8,4,2,0001000,1.0,0,0,0,1,0,0,0
0x252,8,4,4,0001000,1.0,0,0,0,1,0,0,0
0x252,8,4,5,0001000,1.0,0,0,0,1,0,0,0
0x252,8,4,6,0001000,1.0,0,0,0,1,0,0,0
0x252,8,4,7,0001000,1.0,0,0,0,1,0,0,0
0x252,8,5,0,0001000,1.0,0,0,0,1,0,0,0
0x252,8,5,5,1111000,1.0,1,1,1,1,0,0,0
0x252,8,6,0,1111000,1.0,1,1,1,1,0,0,0
0x252,8,6,1,1110000,1.0,1,1,1,0,0,0,0
0x252,8,6,2,1110000,1.0,1,1,1,0,0,0,0
0x252,8,6,3,0001111,1.0,0,0,0,1,1,1,1
0x25D,8,0,2,1110111,1.0,1,1,1,0,1,1,1
0x25D,8,0,3,0100110,1.0,0,1,0,0,1,1,0
0x25D,8,0,4,1011001,1.0,1,0,1,1,0,0,1
0x25D,8,0,6,0111110,1.0,0,1,1,1,1,1,0
0x25D,8,1,6,1100001,1.0,1,1,0,0,0,0,1
0x25D,8,1,7,0011110,1.0,0,0,1,1,1,1,0
0x25D,8,2,0,1011001,1.0,1,0,1,1,0,0,1
0x25D,8,2,2,0100110,1.0,0,1,0,0,1,1,0
0x25D,8,2,3,0011000,1.0,0,0,1,1,0,0,0
0x25D,8,2,4,0010000,1.0,0,0,1,0,0,0,0
0x25D,8,2,5,0101110,1.0,0,1,0,1,1,1,0
0x25D,8,3,1,1000001,1.0,1,0,0,0,0,0,1
0x25D,8,3,2,1011111,1.0,1,0,1,1,1,1,1
0x25D,8,3,3,0111110,1.0,0,1,1,1,1,1,0
0x25D,8,3,4,1100001,1.0,1,1,0,0,0,0,1
0x25D,8,3,5,0011110,1.0,0,0,1,1,1,1,0
0x25D,8,3,7,0111110,1.0,0,1,1,1,1,1,0
0x25D,8,4,2,1011001,1.0,1,0,1,1,0,0,1
0x25D,8,5,0,0001110,1.0,0,0,0,1,1,1,0
0x264,6,1,3,0001000,1.0,0,0,0,1,0,0,0
0x264,6,1,4,0001000,1.0,0,0,0,1,0,0,0
0x264,6,2,4,0001000,1.0,0,0,0,1,0,0,0
0x264,6,2,6,0001000,1.0,0,0,0,1,0,0,0
0x264,6,2,7,0001000,1.0,0,0,0,1,0,0,0
0x264,6,3,6,0001000,1.0,0,0,0,1,0,0,0
0x264,6,4,5,1110001,1.0,1,1,1,0,0,0,1
0x264,6,4,6,0001000,1.0,0,0,0,1,0,0,0
0x264,6,4,7,1110001,1.0,1,1,1,0,0,0,1
0x264,6,5,0,0001000,1.0,0,0,0,1,0,0,0
0x273,8,4,2,1111000,1.0,1,1,1,1,0,0,0
0x273,8,4,4,1111000,1.0,1,1,1,1,0,0,0
0x273,8,4,5,1111000,1.0,1,1,1,1,0,0,0
0x273,8,4,6,0000111,1.0,0,0,0,0,1,1,1
0x282,8,5,4,0001111,1.0,0,0,0,1,1,1,1
0x288,8,3,0,0011110,1.0,0,0,1,1,1,1,0
0x288,8,3,1,0011110,1.0,0,0,1,1,1,1,0
0x288,8,5,7,1100001,1.0,1,1,0,0,0,0,1
0x288,8,7,0,0011110,1.0,0,0,1,1,1,1,0
0x288,8,7,1,0011110,1.0,0,0,1,1,1,1,0
0x292,8,6,7,0001000,1.0,0,0,0,1,0,0,0
0x2A4,8,4,6,0001111,1.0,0,0,0,1,1,1,1
0x2A8,8,5,7,0011110,1.0,0,0,1,1,1,1,0
0x2AA,3,0,3,1100001,1.0,1,1,0,0,0,0,1
0x2AA,3,0,6,0011110,1.0,0,0,1,1,1,1,0
0x2AA,3,2,3,1100001,1.0,1,1,0,0,0,0,1
0x2C7,8,6,0,1110000,1.0,1,1,1,0,0,0,0
0x2C7,8,6,1,0001111,1.0,0,0,0,1,1,1,1
0x2D2,8,2,0,1110000,1.0,1,1,1,0,0,0,0
0x2D2,8,2,1,1110000,1.0,1,1,1,0,0,0,0
0x2D2,8,2,2,0001111,1.0,0,0,0,1,1,1,1
0x2D2,8,2,3,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,4,4,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,4,6,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,5,1,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,5,2,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,6,1,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,6,2,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,6,3,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,6,6,0001000,1.0,0,0,0,1,0,0,0
0x2D2,8,6,7,1110111,1.0,1,1,1,0,1,1,1
0x2D3,8,0,2,0001111,1.0,0,0,0,1,1,1,1
0x2D3,8,6,0,1111000,1.0,1,1,1,1,0,0,0
0x2D3,8,7,0,1110000,1.0,1,1,1,0,0,0,0
0x2E8,8,5,7,0011110,1.0,0,0,1,1,1,1,0
0x2EC,3,0,3,1100001,1.0,1,1,0,0,0,0,1
0x2EC,3,0,6,0011110,1.0,0,0,1,1,1,1,0
0x2EC,3,2,3,1100001,1.0,1,1,0,0,0,0,1
0x318,8,5,2,1110111,1.0,1,1,1,0,1,1,1
0x318,8,5,3,0001111,1.0,0,0,0,1,1,1,1
0x321,8,1,4,1111000,1.0,1,1,1,1,0,0,0
0x321,8,1,5,0000111,1.0,0,0,0,0,1,1,1
0x32A,5,2,7,1110111,1.0,1,1,1,0,1,1,1
0x32A,5,3,0,1110111,1.0,1,1,1,0,1,1,1
0x32A,5,3,1,1110111,1.0,1,1,1,0,1,1,1
0x32A,5,3,2,1110111,1.0,1,1,1,0,1,1,1
0x32A,5,3,3,1110111,1.0,1,1,1,0,1,1,1
0x333,5,1,0,0000110,1.0,0,0,0,0,1,1,0
0x333,5,1,2,0000110,1.0,0,0,0,0,1,1,0
0x333,5,1,4,1110001,1.0,1,1,1,0,0,0,1
0x333,5,1,5,0001000,1.0,0,0,0,1,0,0,0
0x33A,8,0,1,1111000,1.0,1,1,1,1,0,0,0
0x33A,8,0,2,1111000,1.0,1,1,1,1,0,0,0
0x33A,8,0,3,1111000,1.0,1,1,1,1,0,0,0
0x33A,8,0,4,0000111,1.0,0,0,0,0,1,1,1
0x364,4,1,1,1110111,1.0,1,1,1,0,1,1,1
0x364,4,1,3,0001000,1.0,0,0,0,1,0,0,0
0x364,4,1,4,0001000,1.0,0,0,0,1,0,0,0
0x364,4,1,5,0001000,1.0,0,0,0,1,0,0,0
0x364,4,1,6,0001000,1.0,0,0,0,1,0,0,0
0x364,4,1,7,1110111,1.0,1,1,1,0,1,1,1
0x364,4,2,1,0011100,1.0,0,0,1,1,1,0,0
0x383,8,2,3,1110000,1.0,1,1,1,0,0,0,0
0x38B,8,6,2,1101111,1.0,1,1,0,1,1,1,1
0x38B,8,6,3,0010000,1.0,0,0,1,0,0,0,0
0x38D,8,0,6,0010000,1.0,0,0,1,0,0,0,0
0x38D,8,0,7,1101111,1.0,1,1,0,1,1,1,1
0x3F5,8,2,2,1111000,1.0,1,1,1,1,0,0,0
0x3F5,8,2,4,1111000,1.0,1,1,1,1,0,0,0
0x3F5,8,2,5,1111000,1.0,1,1,1,1,0,0,0
0x3F5,8,2,6,0000111,1.0,0,0,0,0,1,1,1
0x43D,6,0,0,0011110,1.0,0,0,1,1,1,1,0
0x43D,6,0,2,0001000,1.0,0,0,0,1,0,0,0
0x43D,6,0,5,0001110,1.0,0,0,0,1,1,1,0
0x43D,6,1,6,0001000,1.0,0,0,0,1,0,0,0
0x43D,6,4,5,0000110,1.0,0,0,0,0,1,1,0
0x43D,6,4,6,1111001,1.0,1,1,1,1,0,0,1
0x43D,6,5,1,0001110,1.0,0,0,0,1,1,1,0
0x43D,6,5,2,0000110,1.0,0,0,0,0,1,1,0
0x43D,6,5,5,0111110,1.0,0,1,1,1,1,1,0
0x43D,6,5,6,0100000,1.0,0,1,0,0,0,0,0
0x472,8,4,4,0001000,1.0,0,0,0,1,0,0,0
0x49D,7,6,5,0001110,1.0,0,0,0,1,1,1,0
0x2B4,6,2,4,1111000,0.9975,1,1,1,1,0,0,0
0x2B4,6,2,5,0001111,0.9975,0,0,0,1,1,1,1
0x132,6,1,0,0001000,0.997429,0,0,0,1,0,0,0
0x292,8,6,2,0001000,0.9675,0,0,0,1,0,0,0
0x264,6,3,2,0001000,0.966667,0,0,0,1,0,0,0
0x264,6,3,1,0001000,0.965833,0,0,0,1,0,0,0
0x40A,8,0,0,0001101,0.952727,0,0,0,1,1,0,1
0x40A,8,7,0,1110010,0.952727,1,1,1,0,0,1,0
0x40A,8,7,1,1110010,0.952727,1,1,1,0,0,1,0
0x40A,8,7,2,1110010,0.952727,1,1,1,0,0,1,0
0x40A,8,7,3,1110010,0.952727,1,1,1,0,0,1,0
0x473,8,2,2,1110010,0.947368,1,1,1,0,0,1,0
0x473,8,2,3,1110010,0.947368,1,1,1,0,0,1,0
0x364,4,0,2,0001000,0.942857,0,0,0,1,0,0,0
0x364,4,0,3,0001000,0.942857,0,0,0,1,0,0,0
0x364,4,0,4,0001000,0.942857,0,0,0,1,0,0,0
0x364,4,0,5,0001000,0.942857,0,0,0,1,0,0,0
0x2D2,8,0,2,1110111,0.937143,1,1,1,0,1,1,1
0x2D2,8,0,4,0001000,0.937143,0,0,0,1,0,0,0
0x2A4,8,3,1,0000111,0.933333,0,0,0,0,1,1,1
0x383,8,2,2,0001000,0.927778,0,0,0,1,0,0,0
0x3E2,7,3,4,0001101,0.926667,0,0,0,1,1,0,1
0x3E2,7,3,5,1110010,0.926667,1,1,1,0,0,1,0
0x2B4,6,4,5,0010000,0.925455,0,0,1,0,0,0,0
0x2B4,6,4,6,1101111,0.925455,1,1,0,1,1,1,1
0x252,8,2,1,1111000,0.92,1,1,1,1,0,0,0
0x2D3,8,4,0,1111000,0.916667,1,1,1,1,0,0,0
0x241,7,1,4,0001000,0.914286,0,0,0,1,0,0,0
0x241,7,2,1,0001000,0.914286,0,0,0,1,0,0,0
0x241,7,2,3,1110111,0.914286,1,1,1,0,1,1,1
0x241,7,2,4,0001000,0.914286,0,0,0,1,0,0,0
0x241,7,4,2,0001000,0.914286,0,0,0,1,0,0,0
0x241,7,4,7,0001000,0.914286,0,0,0,1,0,0,0
0x241,7,5,1,1110111,0.914286,1,1,1,0,1,1,1
0x241,7,5,2,0001000,0.914286,0,0,0,1,0,0,0
0x252,8,5,3,1110000,0.910833,1,1,1,0,0,0,0
0x252,8,5,4,0001000,0.910833,0,0,0,1,0,0,0
0x2D3,8,5,2,1111110,0.900901,1,1,1,1,1,1,0
0x2D3,8,5,3,1111110,0.900901,1,1,1,1,1,1,0
0x2D3,8,5,4,1111110,0.900901,1,1,1,1,1,1,0
0x2D3,8,5,5,1111110,0.900901,1,1,1,1,1,1,0
0x2D3,8,5,6,1111110,0.900901,1,1,1,1,1,1,0
0x2D3,8,5,7,1111110,0.900901,1,1,1,1,1,1,0
0x321,8,0,3,0001111,0.9,0,0,0,1,1,1,1
