can_id,byte,bit,event,event_t_s,transition_t_s,delay_s,new_value,nearby_transition_count
0x292,6,2,STOP,380.1,381.733,1.633,0,15
0x25D,2,5,STOP,380.1,381.7679,1.6679,0,2
0x333,1,5,STOP,380.1,381.8137,1.7137,0,1
0x264,2,4,STOP,380.1,381.8227,1.7227,0,1
0x264,2,6,STOP,380.1,381.8227,1.7227,0,1
0x232,0,6,STOP,380.1,381.8593,1.7593,1,1
0x204,0,1,STOP,380.1,382.1224,2.0224,0,1
0x204,0,2,STOP,380.1,382.1224,2.0224,0,1
0x204,0,5,STOP,380.1,382.1224,2.0224,0,1
0x21D,0,0,STOP,380.1,382.168,2.068,0,1
0x21D,0,1,STOP,380.1,382.168,2.068,0,1
0x25D,0,2,STOP,380.1,382.1684,2.0684,1,1
0x43D,0,2,STOP,380.1,382.1686,2.0686,0,1
0x22A,2,2,STOP,380.1,382.1734,2.0734,0,1
0x472,4,4,STOP,380.1,382.1946,2.0946,0,1
0x204,7,0,STOP,380.1,382.4222,2.3222,0,1
0x264,1,3,STOP,380.1,382.4225,2.3225,0,3
0x20A,5,4,STOP,380.1,382.4304,2.3304,0,1
0x264,1,4,STOP,380.1,382.6226,2.5226,0,1
0x24A,0,1,STOP,380.1,382.7977,2.6977,1,1
0x264,2,7,STOP,380.1,382.8225,2.7225,0,1
0x232,1,1,STOP,380.1,382.8592,2.7592,0,1
0x364,1,1,STOP,380.1,383.9268,3.8268,1,1
0x364,1,3,STOP,380.1,383.9268,3.8268,0,1
0x364,1,4,STOP,380.1,383.9268,3.8268,0,1
0x364,1,5,STOP,380.1,383.9268,3.8268,0,1
0x364,1,6,STOP,380.1,383.9268,3.8268,0,1
0x364,1,7,STOP,380.1,383.9268,3.8268,1,1
0x32A,2,7,STOP,380.1,385.3339,5.2339,1,1
0x32A,3,0,STOP,380.1,385.3339,5.2339,1,1
0x32A,3,1,STOP,380.1,385.3339,5.2339,1,1
0x32A,3,2,STOP,380.1,385.3339,5.2339,1,1
0x32A,3,3,STOP,380.1,385.3339,5.2339,1,1
0x132,1,0,STOP,380.1,386.3907,6.2907,0,349
0x383,2,2,STOP,380.1,373.4977,-6.6023,0,11
0x318,5,2,STOP,380.1,392.8604,12.7604,1,1
0x2D2,0,2,STOP,380.1,395.1342,15.0342,1,12
0x2D2,0,4,STOP,380.1,395.1342,15.0342,0,12
0x383,2,2,UNLOCK,440.06,441.2011,1.1411,1,40
0x364,2,1,UNLOCK,440.06,441.922,1.862,0,1
0x21D,3,5,UNPLUG,470.1,470.8023,0.7023,0,1
0x21D,0,3,UNPLUG,470.1,471.1018,1.0018,0,1
0x21D,0,6,UNPLUG,470.1,471.1018,1.0018,0,1
0x21D,2,0,UNPLUG,470.1,471.1018,1.0018,1,1
0x21D,2,1,UNPLUG,470.1,471.1018,1.0018,0,1
0x21D,2,2,UNPLUG,470.1,471.1018,1.0018,1,1
0x21D,4,7,UNPLUG,470.1,471.1018,1.0018,0,1
0x21D,6,4,UNPLUG,470.1,471.1018,1.0018,0,1
0x25D,3,1,UNPLUG,470.1,471.1022,1.0022,1,3
0x25D,3,3,UNPLUG,470.1,471.1022,1.0022,0,3
0x25D,3,5,UNPLUG,470.1,471.1022,1.0022,0,3
0x43D,0,0,UNPLUG,470.1,471.1032,1.0032,0,1
0x43D,0,5,UNPLUG,470.1,471.1032,1.0032,0,1
0x43D,5,1,UNPLUG,470.1,471.1032,1.0032,0,1
0x49D,6,5,UNPLUG,470.1,471.107,1.007,0,1
0x264,4,6,UNPLUG,470.1,471.1461,1.0461,1,2
0x264,5,0,UNPLUG,470.1,471.1461,1.0461,1,2
0x212,1,3,UNPLUG,470.1,471.1661,1.0661,0,1
0x212,6,6,UNPLUG,470.1,471.1661,1.0661,1,1
0x21D,2,4,UNPLUG,470.1,471.2016,1.1016,1,1
0x21D,2,5,UNPLUG,470.1,471.2016,1.1016,1,1
0x25D,3,4,UNPLUG,470.1,471.202,1.102,1,3
0x25D,5,0,UNPLUG,470.1,471.202,1.102,0,1
0x333,1,5,UNPLUG,470.1,471.35,1.25,1,2
0x25D,1,6,UNPLUG,470.1,471.5018,1.4018,1,1
0x25D,1,7,UNPLUG,470.1,471.5018,1.4018,0,1
0x2E8,5,7,UNPLUG,470.1,471.5187,1.4187,0,1
0x204,0,6,UNPLUG,470.1,471.5453,1.4453,0,1
0x204,3,3,UNPLUG,470.1,471.5453,1.4453,1,1
0x204,3,4,UNPLUG,470.1,471.5453,1.4453,1,1
0x204,3,5,UNPLUG,470.1,471.5453,1.4453,1,1
0x204,3,7,UNPLUG,470.1,471.5453,1.4453,1,1
0x264,4,5,UNPLUG,470.1,471.5455,1.4455,1,1
0x264,4,7,UNPLUG,470.1,471.5455,1.4455,1,1
0x2AA,0,3,UNPLUG,470.1,471.5506,1.4506,1,1
0x2AA,0,6,UNPLUG,470.1,471.5506,1.4506,0,1
0x2AA,2,3,UNPLUG,470.1,471.5506,1.4506,1,1
0x288,3,0,UNPLUG,470.1,471.564,1.464,0,1
0x288,3,1,UNPLUG,470.1,471.564,1.464,0,1
0x288,5,7,UNPLUG,470.1,471.564,1.464,1,1
0x288,7,0,UNPLUG,470.1,471.564,1.464,0,1
0x288,7,1,UNPLUG,470.1,471.564,1.464,0,1
0x2A8,5,7,UNPLUG,470.1,471.5769,1.4769,0,1
0x2EC,0,3,UNPLUG,470.1,471.5939,1.4939,1,1
0x2EC,0,6,UNPLUG,470.1,471.5939,1.4939,0,1
0x2EC,2,3,UNPLUG,470.1,471.5939,1.4939,1,1
0x228,3,0,UNPLUG,470.1,471.6062,1.5062,0,1
0x228,3,1,UNPLUG,470.1,471.6062,1.5062,0,1
0x228,5,7,UNPLUG,470.1,471.6062,1.5062,1,1
0x228,7,0,UNPLUG,470.1,471.6062,1.5062,0,1
0x228,7,1,UNPLUG,470.1,471.6062,1.5062,0,1
0x333,1,4,UNPLUG,470.1,471.8667,1.7667,1,1
0x25D,3,7,UNPLUG,470.1,474.6027,4.5027,0,1
0x25D,2,5,UNPLUG,470.1,474.803,4.703,0,1
0x25D,0,6,UNPLUG,470.1,476.0031,5.9031,0,1
0x43D,5,5,UNPLUG,470.1,476.0034,5.9034,0,1
