case,contrast,can_id,field,a_mode,b_mode,a_purity,b_purity,a_unique,b_unique,a_median,b_median,effect_size,a_samples,b_samples,score
hvac,on_vs_off_pre,0x20C,B4,252,0,0.35691,1.0,30,1,114,0.0,1.71582,2799,400,45.334
hvac,on_vs_off_pre,0x38B,B6,37,37,0.5089,0.975,3,2,37,37.0,1.00682,281,40,45.295
hvac,on_vs_off_post,0x289,B1,16,4,0.35571,1.0,17,1,24.0,4.0,1.63887,2800,1200,45.287
hvac,on_vs_off_pre,0x20C,B2,57,72,0.21865,0.715,11,2,57,72.0,2.61542,2799,400,45.202
hvac,on_vs_off_post,0x318,B5,52,58,0.21436,0.50042,5,3,53,58,1.91915,2799,1199,44.653
hvac,on_vs_off_post,0x61D,B0,25,31,0.21429,0.5,5,3,26.0,31.0,1.91921,560,240,44.65
hvac,on_vs_off_pre,0x3F5,B2,85,72,0.56221,1.0,25,1,85,72.0,1.03667,2821,400,44.579
hvac,on_vs_off_pre,0x321,B1,78,162,0.21429,1.0,17,1,54.0,162.0,2.68411,280,40,44.024
hvac,on_vs_off_post,0x282,B4,24,240,0.2283,1.0,25,1,48,240.0,2.11418,2799,1200,43.81
hvac,on_vs_off_pre,0x282,B4,24,240,0.2283,1.0,25,1,48,240.0,2.81134,2799,400,43.81
hvac,on_vs_off_pre,0x20C,B5,161,160,0.54519,0.98,4,2,161,160.0,0.8449,2799,400,43.772
hvac,on_vs_off_pre,0x400,B1,224,224,0.86571,0.5775,3,7,224.0,224.0,0.81336,2800,400,43.724
hvac,on_vs_off_post,0x20C,B4,252,0,0.35691,1.0,30,1,114,0.0,1.59266,2799,1200,42.871
hvac,on_vs_off_post,0x2F3,B1,75,80,0.61194,1.0,7,1,75,80.0,0.59144,603,240,41.954
hvac,on_vs_off_pre,0x273,B4,85,72,0.52288,1.0,27,1,85.0,72.0,0.96599,612,80,40.59
hvac,on_vs_off_pre,0x282,B2,225,0,0.35298,1.0,28,1,146,0.0,1.47962,2799,400,40.568
hvac,on_vs_off_post,0x20C,B2,57,66,0.21865,0.405,11,5,57,65.0,1.76894,2799,1200,39.998
hvac,on_vs_off_post,0x282,B2,225,0,0.35298,1.0,28,1,146,0.0,1.43163,2799,1200,39.608
hvac,on_vs_off_pre,0x2A4,B4,117,61,0.14643,0.65,22,2,137.0,61.0,2.74452,280,40,39.129
hvac,on_vs_off_pre,0x241,B5,87,83,0.63737,1.0,3,1,87,83.0,0.25881,2799,400,38.59
hvac,on_vs_off_post,0x343,B4,159,158,0.57179,0.655,2,2,159.0,158.0,0.45358,2800,1200,38.551
hvac,on_vs_off_pre,0x2C1,B7,0,0,0.41803,0.4,32,4,1,7.0,1.26107,13999,2000,38.389
hvac,on_vs_off_pre,0x708,B0,49,48,0.56071,0.675,2,2,49.0,48.0,0.47235,280,40,38.262
hvac,on_vs_off_pre,0x383,B2,49,67,0.20071,1.0,10,1,55.0,67.0,1.67185,2800,400,38.025
hvac,on_vs_off_pre,0x2A4,B6,125,254,0.36786,1.0,4,1,126.0,254.0,1.0655,280,40,38.006
hvac,on_vs_off_pre,0x2A4,B0,189,159,0.12143,0.5,22,4,187.0,159.0,2.54687,280,40,37.398
hvac,on_vs_off_pre,0x2F3,B1,75,78,0.61194,1.0,7,1,75,78.0,0.35974,603,80,37.319
hvac,on_vs_off_pre,0x321,B0,104,42,0.13571,0.75,47,2,103.0,42.0,2.56448,280,40,36.407
hvac,on_vs_off_post,0x3A1,B3,138,138,0.5,0.5,73,31,138.0,138.0,1.0005,5600,2400,36.048
hvac,on_vs_off_pre,0x3A1,B0,232,43,0.5,0.5,5,2,232.0,137.5,0.59412,5600,800,35.644
hvac,on_vs_off_post,0x23E,B3,192,224,0.53686,0.69133,9,4,192.0,224.0,0.55735,7000,3000,35.441
hvac,on_vs_off_pre,0x2A7,B3,7,0,0.17036,1.0,16,1,6.0,0.0,1.67951,2800,400,35.141
hvac,on_vs_off_post,0x263,B5,0,0,0.40003,0.40007,10,5,20,36,0.96295,13999,5999,34.943
hvac,on_vs_off_post,0x289,B2,136,1,0.3425,1.0,30,1,136.0,1.0,1.21775,2800,1200,34.508
hvac,on_vs_off_pre,0x52F,B4,173,164,0.06071,0.425,17,4,180.0,164.0,2.26906,280,40,34.37
hvac,on_vs_off_post,0x364,B2,140,148,0.18929,0.85,12,3,124.0,148.0,1.5655,280,120,34.349
hvac,on_vs_off_post,0x20C,B3,30,30,0.36049,1.0,21,1,23,30.0,1.08188,2799,1200,33.86
hvac,on_vs_off_post,0x383,B5,144,64,0.30536,0.83583,16,7,144.0,64.0,1.23653,2800,1200,33.518
hvac,on_vs_off_pre,0x292,B3,54,118,0.56393,1.0,3,1,54.0,118.0,0.21815,2800,400,33.37
hvac,on_vs_off_pre,0x3D2,B0,196,96,0.07143,0.675,36,3,172.0,96.0,2.36888,280,40,33.219
hvac,on_vs_off_post,0x2F3,B2,6,4,0.5141,1.0,6,1,6,4.0,0.41686,603,240,32.945
hvac,on_vs_off_post,0x2A7,B3,7,0,0.17036,1.0,16,1,6.0,0.0,1.5692,2800,1200,32.934
hvac,on_vs_off_pre,0x3A1,B3,138,138,0.5,0.5,73,29,138.0,138.0,0.8298,5600,800,32.692
hvac,on_vs_off_post,0x45A,B0,253,160,0.50009,0.5,4,2,253,206.5,0.41643,5599,2400,32.491
hvac,on_vs_off_post,0x383,B4,59,27,0.31607,0.87583,22,6,59.0,27.0,1.18104,2800,1200,32.483
hvac,on_vs_off_post,0x52F,B4,173,195,0.06071,0.14167,17,8,180.0,197.0,1.92902,280,120,32.449
hvac,on_vs_off_post,0x241,B4,19,10,0.16577,1.0,16,1,18,10,1.55635,2799,1199,32.402
hvac,on_vs_off_post,0x45A,B1,7,197,0.50009,0.5,4,2,7,102.0,0.3868,5599,2400,31.898
hvac,on_vs_off_post,0x2A6,B0,90,0,0.0475,1.0,40,1,84.0,0.0,2.13902,2800,1200,31.637
hvac,on_vs_off_pre,0x2A6,B0,90,0,0.0475,1.0,40,1,84.0,0.0,2.88584,2800,400,31.637
hvac,on_vs_off_pre,0x401,B2,85,165,0.0753,0.08819,53,24,85.0,161.0,2.82727,10080,1440,31.448
hvac,on_vs_off_post,0x45A,B2,248,69,0.50009,0.5,4,2,248,158.5,0.35483,5599,2400,31.259
hvac,on_vs_off_post,0x2C1,B7,0,0,0.41803,0.4,32,4,1,7.0,0.89512,13999,6000,31.07
hvac,on_vs_off_pre,0x241,B4,19,11,0.16577,1.0,16,1,18,11.0,1.48567,2799,400,30.989
hvac,on_vs_off_pre,0x3A1,B2,13,64,0.50536,0.5,54,2,13.0,38.5,0.64249,5600,800,30.721
hvac,on_vs_off_pre,0x401,B6,85,160,0.06101,0.11389,55,25,85.0,161.0,2.36973,10080,1440,30.477
hvac,on_vs_off_pre,0x401,B4,89,160,0.06151,0.09514,56,25,86.0,162.0,2.36358,10080,1440,30.47
hvac,on_vs_off_post,0x3A1,B2,13,64,0.50536,0.5,54,2,13.0,38.5,0.59194,5600,2400,29.71
hvac,on_vs_off_pre,0x2A7,B4,6,0,0.08679,1.0,35,1,15.0,0.0,1.76669,2800,400,29.708
hvac,on_vs_off_post,0x45A,B7,0,88,0.50009,0.5,15,2,0,44.0,0.38486,5599,2400,29.026
hvac,on_vs_off_pre,0x132,B2,240,247,0.08357,0.62791,39,4,231.0,247,1.7621,28000,3999,28.904
hvac,on_vs_off_pre,0x712,B7,11,10,0.54464,0.63333,3,3,11.0,10.0,0.10091,1680,240,28.859
hvac,on_vs_off_pre,0x364,B2,140,148,0.18929,0.25,12,5,124.0,140.0,1.3037,280,40,28.76
hvac,on_vs_off_post,0x383,B2,49,49,0.20071,0.94833,10,2,55.0,49.0,1.20822,2800,1200,28.512
hvac,on_vs_off_pre,0x2A4,B2,61,252,0.22857,0.75,8,3,125.0,252.0,1.08269,280,40,27.913
hvac,on_vs_off_post,0x3D2,B0,196,216,0.07143,0.225,36,6,172.0,220.0,1.7367,280,120,27.736
hvac,on_vs_off_pre,0x712,B6,0,0,0.3369,0.35833,140,22,21.0,216.5,1.1372,1680,240,27.677
hvac,on_vs_off_post,0x3A1,B0,232,107,0.5,0.5,5,2,232.0,169.5,0.19059,5600,2400,27.573
hvac,on_vs_off_post,0x241,B1,74,40,0.10504,1.0,32,1,74,40,1.58201,2799,1199,27.363
hvac,on_vs_off_pre,0x241,B2,92,12,0.2776,0.7775,8,4,92,12.0,0.91926,2799,400,27.346
hvac,on_vs_off_pre,0x332,B2,132,137,0.38214,0.5,6,3,135.0,136.5,0.56301,280,40,27.281
hvac,on_vs_off_post,0x45A,B6,99,0,0.26808,0.5,32,7,23,2.0,1.1048,5599,2400,27.114
hvac,on_vs_off_pre,0x352,B6,88,0,0.20476,0.33333,9,4,90.0,82.0,1.1296,420,60,26.961
hvac,on_vs_off_post,0x2A7,B4,6,0,0.08679,1.0,35,1,15.0,0.0,1.62475,2800,1200,26.869
hvac,on_vs_off_pre,0x132,B0,21,106,0.03186,0.04026,106,69,26.0,107,2.10971,28000,3999,26.4
hvac,on_vs_off_pre,0x241,B1,74,44,0.10504,1.0,32,1,74,44.0,1.53022,2799,400,26.328
hvac,on_vs_off_post,0x132,B2,240,247,0.08357,0.51892,39,4,231.0,247.0,1.62661,28000,12000,26.194
hvac,on_vs_off_pre,0x20C,B0,151,0,0.07896,1.0,254,1,152,0.0,1.90267,2799,400,26.155
hvac,on_vs_off_pre,0x232,B4,224,223,0.525,0.45,5,6,224.0,223.0,0.32668,280,40,26.079
hvac,on_vs_off_pre,0x45A,B6,99,0,0.26808,0.5,32,4,23,3.5,1.03335,5599,800,25.919
hvac,on_vs_off_pre,0x289,B2,136,129,0.3425,1.0,30,1,136.0,129.0,0.78548,2800,400,25.862
hvac,on_vs_off_pre,0x332,B4,77,136,0.41071,0.5,7,4,106.5,108.0,0.42502,280,40,25.688
hvac,on_vs_off_pre,0x42F,B0,251,250,0.16786,0.45,14,4,77.5,250.0,1.22119,280,40,25.662
hvac,on_vs_off_post,0x321,B0,104,72,0.13571,0.3,47,22,103.0,72.0,1.50126,280,120,25.423
hvac,on_vs_off_pre,0x3A1,B1,66,144,0.5,0.5,43,2,80.0,105.0,0.33932,5600,800,25.3
hvac,on_vs_off_post,0x3C2,B0,41,0,0.50009,0.5,2,2,41,20.5,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x3C2,B2,0,85,0.50009,0.5,2,2,0,42.5,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x3C2,B3,0,85,0.50009,0.5,2,2,0,42.5,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x3C2,B6,0,89,0.50009,0.5,2,2,0,44.5,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x3C2,B7,128,69,0.50009,0.5,2,2,128,98.5,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x45A,B4,3,95,0.50009,0.5,2,2,3,49.0,0.00018,5599,2400,25.175
hvac,on_vs_off_post,0x672,B0,0,1,0.5,0.5,2,2,0.5,0.5,0.0,28,12,25.172
hvac,on_vs_off_post,0x672,B5,0,1,0.5,0.5,2,2,0.5,0.5,0.0,28,12,25.172
hvac,on_vs_off_post,0x7BC,B0,1,0,0.5,0.5,2,2,0.5,0.5,0.0,28,12,25.172
hvac,on_vs_off_post,0x7BC,B5,1,0,0.5,0.5,2,2,0.5,0.5,0.0,28,12,25.172
hvac,on_vs_off_post,0x7F1,B0,1,2,0.5,0.5,2,2,1.5,1.5,0.0,140,60,25.172
hvac,on_vs_off_post,0x7F1,B3,0,15,0.5,0.5,2,2,7.5,7.5,0.0,140,60,25.172
hvac,on_vs_off_post,0x7F1,B5,8,0,0.5,0.5,2,2,4.0,4.0,0.0,140,60,25.172
hvac,on_vs_off_pre,0x221,B0,64,65,0.5,0.5,2,2,64.5,64.5,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x221,B1,65,1,0.5,0.5,2,2,33.0,33.0,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x221,B2,5,85,0.5,0.5,2,2,45.0,45.0,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x221,B3,5,81,0.5,0.5,2,2,43.0,43.0,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x221,B4,0,1,0.5,0.5,2,2,0.5,0.5,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x221,B5,80,2,0.5,0.5,2,2,41.0,41.0,0.0,5600,800,25.172
hvac,on_vs_off_pre,0x312,B4,28,77,0.5,0.5,5,2,53.0,52.5,0.06004,560,80,24.962
hvac,on_vs_off_pre,0x37D,B0,216,1,0.5,0.5,2,3,108.5,107.5,0.00791,280,40,24.783
hvac,on_vs_off_post,0x45A,B3,255,197,0.50009,0.5,3,2,255,226.0,0.00212,5599,2400,24.667
hvac,on_vs_off_post,0x3A1,B1,66,143,0.5,0.5,43,2,80.0,104.5,0.30589,5600,2400,24.632
hvac,on_vs_off_pre,0x332,B3,6,135,0.5,0.5,4,2,70.5,70.5,0.00944,280,40,24.351
hvac,on_vs_off_pre,0x2A7,B0,158,0,0.03286,1.0,216,1,120.0,0.0,1.91617,2800,400,24.141
hvac,on_vs_off_post,0x312,B4,28,81,0.5,0.5,5,2,53.0,54.5,0.01704,560,240,24.103
hvac,on_vs_off_pre,0x2C7,B6,70,71,0.36214,1.0,4,1,71.0,71.0,0.38162,2800,400,23.986
hvac,on_vs_off_post,0x2BF,B0,9,10,0.19429,1.0,15,1,15.0,10.0,1.01689,1400,600,23.495
hvac,on_vs_off_post,0x241,B0,73,39,0.06217,0.48707,64,5,73,39,1.62175,2799,1199,23.419
hvac,on_vs_off_pre,0x20C,B3,30,26,0.36049,1.0,21,1,23,26.0,0.5565,2799,400,23.353
hvac,on_vs_off_pre,0x2BF,B0,9,10,0.19429,1.0,15,1,15.0,10.0,0.97327,1400,200,22.623
hvac,on_vs_off_post,0x241,B2,92,212,0.2776,0.48707,8,4,92,148,0.68001,2799,1199,22.561
hvac,on_vs_off_post,0x20C,B0,151,0,0.07896,1.0,254,1,152,0.0,1.70627,2799,1200,22.227
