experiment_id,plan_status,scope,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,review_decision,effective_role,effective_priority,effective_report_position,effective_order,decision_source,human_reason,reviewer,reviewed_at,chinese_semantic
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_chargeRequest,BMS_chargeRequest,BMS_status,0x212,enum,ER-03,车辆充电请求,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,130,BMS请求节点,强候选,HIGH,CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,车辆充电请求,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,130,HUMAN,接受Draft建议；进入Approved不升级车型语义,用户,2026-09-01,BMS充电请求状态（车型语义仍需本次验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_uiChargeStatus,BMS_uiChargeStatus,BMS_status,0x212,enum,ER-03/ER-06,车辆状态反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,140,车辆充电UI状态,强候选,MEDIUM,DBC_VERSION_CONFLICT,YES,ACCEPT,车辆状态反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,140,HUMAN,接受Draft建议；DBC冲突仍须复核,用户,2026-09-01,BMS面向车辆显示的充电状态（本地DBC位段冲突待复核）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_hvState,BMS_hvState,BMS_status,0x212,enum,ER-03/ER-06,高压状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,150,直流充电高压状态,强候选,HIGH,CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,高压状态门,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE,150,HUMAN,接受Draft建议；直流充电枚举仍须验证,用户,2026-09-01,BMS高压系统状态（含直流充电状态枚举，待本次验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_contactorState,BMS_contactorState,BMS_status,0x212,enum,ER-03,安全状态门,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,160,高压建立部分证据,强候选,HIGH,PROXY_OBSERVATION,YES,ACCEPT,安全状态门,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE,160,HUMAN,接受Draft建议；仅为安全条件部分证据,用户,2026-09-01,Pack主接触器状态（仅作为高压建立的部分证据）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_evseOutputDcCurrent,CP_evseOutputDcCurrent,CP_dcChargeStatus,0x29D,A,ER-04/ER-05/ER-06,执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,170,定义电流建立与退出,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,ACCEPT,执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,170,HUMAN,保持P0；作为直流电流建立与退出核心证据,用户,2026-09-01,车辆侧可见的EVSE直流输出电流候选（待与桩端和Pack交叉验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_evseOutputDcVoltage,CP_evseOutputDcVoltage,CP_dcChargeStatus,0x29D,V,ER-04/ER-05,执行反馈,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,180,电压不定义充电开始,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,OVERRIDE,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,180,HUMAN,电压存在本身不能定义充电开始,用户,2026-09-01,车辆侧可见的EVSE直流输出电压候选（不能单独定义充电开始）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_dcPower_derived,CP直流输出功率(同帧V×I派生),CP_dcChargeStatus,0x29D,kW,ER-04/ER-05,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,190,同帧派生且非原生Signal,派生候选,MEDIUM,PROXY_OBSERVATION+BOUNDARY_CROSSING,YES,ACCEPT,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,190,HUMAN,保持P1；作为能源交叉验证,用户,2026-09-01,由CP侧同帧电压与电流计算的直流输出功率候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_packVoltage,BMS_packVoltage,BMS_hvBusStatus,0x132,V,ER-04/ER-05/ER-06,能源交叉验证,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,200,用于功率及电压对应,已确认,MEDIUM,DBC_VERSION_CONFLICT+CROSS_MAINLINE_EVIDENCE,YES,OVERRIDE,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,200,HUMAN,Pack实际充电建立以电流为核心；电压用于交叉验证和功率计算,用户,2026-09-01,Pack端电压（用于能源交叉验证和功率计算）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_packCurrent,BMS_packCurrent,BMS_hvBusStatus,0x132,A,ER-04/ER-05/ER-06,能源响应,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,210,Pack实际充电核心证据,已确认,MEDIUM,DBC_VERSION_CONFLICT+CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,能源响应,P0,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,210,HUMAN,保持P0；Pack实际充电建立核心证据,用户,2026-09-01,Pack净电流（实际充电建立核心证据，符号/偏置待审计）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,PackPower_derived,Pack功率(同帧V×I派生),BMS_hvBusStatus,0x132,kW,ER-04/ER-05/ER-06,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,220,同帧派生并明确符号,派生量,HIGH,CROSS_MAINLINE_EVIDENCE,YES,ACCEPT,能源交叉验证,P1,CORE_TIMELINE+ANALYSIS_WINDOW,220,HUMAN,保持P1；符号约定须明确,用户,2026-09-01,由Pack同帧电压与电流计算的净功率（展示符号待明确）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_chgPowerAvailable,BMS_chgPowerAvailable,BMS_status,0x212,kW,ER-05/ER-08,能力背景,P1,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,230,Available非Request或Actual,强候选,MEDIUM,DBC_VERSION_CONFLICT+PROXY_OBSERVATION,YES,ACCEPT,能力背景,P1,CAPABILITY_SUMMARY+CORE_SIGNAL_TABLE,230,HUMAN,保持P1；Available不等于Request或Actual,用户,2026-09-01,BMS可用充电功率候选（Available不等于Request或Actual）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_socUI,BMS_socUI,BMS_socStatus,0x292,%,ER-05/ER-08,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,240,限定SOC条件,已确认,HIGH,,NO,ACCEPT,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,240,HUMAN,接受Draft建议,用户,2026-09-01,车辆显示SOC（仅限定本次充电条件，不用于容量或SOH判断）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_minPackTemperature,BMS_minPackTemperature,BMS_status,0x212,degC,ER-05/ER-08,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,250,仅最低温度代理,强候选,MEDIUM,PROXY_OBSERVATION+DBC_VERSION_CONFLICT,YES,ACCEPT,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,250,HUMAN,接受Draft建议；热状态覆盖后续单独补审,用户,2026-09-01,Pack最低温度候选（不能代表完整温度范围）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcLvBusVolt,PCS_dcdcLvBusVolt,PCS_dcdcBusStatus,0x2B4,V,ER-08,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,260,低压供电背景,DBC定义候选,MEDIUM,SEMANTIC_CANDIDATE,YES,ACCEPT,状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,260,HUMAN,接受Draft建议；仅作为低压条件背景,用户,2026-09-01,DCDC低压母线电压候选（充电期间低压供电背景）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_numAlertsSet,CP_numAlertsSet,CP_status,0x25D,count,ER-08,异常分支筛查,P3,SPECIAL_TABLE+AUDIT_ONLY,270,仅触发告警下钻,DBC定义候选,LOW,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,异常分支筛查,P3,SPECIAL_TABLE+AUDIT_ONLY,270,HUMAN,接受Draft建议；不单独形成故障语义,用户,2026-09-01,充电口控制器告警数量候选（计数本身不构成故障语义）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_evseInstantDcCurrentLimit,CP_evseInstantDcCurrentLimit,CP_dcChargeLimits,0x27D,A,ER-05/ER-08,能力背景,P2,CAPABILITY_SUMMARY+SPECIAL_TABLE,280,同ID节点冲突,节点绑定冲突候选,LOW,DBC_VERSION_CONFLICT+NODE_BINDING_UNCERTAIN+PHYSICAL_MEANING_UNCONFIRMED,YES,EXCLUDE,能力背景,P2,EXCLUDE,280,HUMAN,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01,EVSE瞬时直流电流能力候选（节点冲突，仅允许DBC审计）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_evseMaxDcCurrentLimit,CP_evseMaxDcCurrentLimit,CP_dcChargeLimits,0x27D,A,ER-05/ER-08,能力背景,P2,CAPABILITY_SUMMARY+SPECIAL_TABLE,290,同ID节点冲突,节点绑定冲突候选,LOW,DBC_VERSION_CONFLICT+NODE_BINDING_UNCERTAIN+PHYSICAL_MEANING_UNCONFIRMED,YES,EXCLUDE,能力背景,P2,EXCLUDE,290,HUMAN,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01,EVSE最大直流电流能力候选（节点冲突，仅允许DBC审计）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_evseInstantDcPowerLimit,CP_evseInstantDcPowerLimit,CP_dcPowerLimits,0x2BD,kW,ER-05/ER-08,能力背景,P2,CAPABILITY_SUMMARY+SPECIAL_TABLE,300,车型适配未知,节点绑定冲突候选,LOW,DBC_VERSION_CONFLICT+NODE_BINDING_UNCERTAIN+PHYSICAL_MEANING_UNCONFIRMED,YES,EXCLUDE,能力背景,P2,EXCLUDE,300,HUMAN,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01,EVSE瞬时直流功率能力候选（车型适配未知，仅允许DBC审计）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,DI_gear,DI_gear,DI_systemStatus,0x118,enum,ER-09,整车状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,310,只记录本次条件,已确认,HIGH,STATE_APPLICABILITY_UNCERTAIN,YES,ACCEPT,整车状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,310,HUMAN,P2整车状态条件背景；只陈述与充电过程共存不反推OEM完整许可逻辑,用户,2026-09-01,挡位状态（充电许可条件背景，不代表OEM完整许可规则）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,DI_systemState,DI_systemState,DI_systemStatus,0x118,enum,ER-09,整车系统状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,320,电驱系统状态背景,已确认,HIGH,STATE_APPLICABILITY_UNCERTAIN,YES,ACCEPT,整车系统状态条件,P2,CONDITION_SUMMARY+CORE_SIGNAL_TABLE,320,HUMAN,P2整车系统状态条件背景；只陈述与充电过程共存不反推OEM完整许可逻辑,用户,2026-09-01,电驱系统状态（是否参与充电许可待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_modelTMax,BMS_modelTMax,BMS_bmbMinMax,0x332,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,Pack热状态,P1,CONDITION_SUMMARY+SPECIAL_TABLE,410,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=m0,DBC定义候选,MEDIUM,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,Pack热状态,P1,CONDITION_SUMMARY+SPECIAL_TABLE,410,HUMAN,接受为P1 Pack热状态主干候选；保持候选语义和置信度,用户,2026-09-01,Pack模型最高温度候选（是否代表实测单体/模组最高温度待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_modelTMin,BMS_modelTMin,BMS_bmbMinMax,0x332,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,Pack热状态,P1,CONDITION_SUMMARY+SPECIAL_TABLE,420,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=m0,DBC定义候选,MEDIUM,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,Pack热状态,P1,CONDITION_SUMMARY+SPECIAL_TABLE,420,HUMAN,接受为P1 Pack热状态主干候选；保持候选语义和置信度,用户,2026-09-01,Pack模型最低温度候选（是否代表实测单体/模组最低温度待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_pinTemperature1,CP_pinTemperature1,CP_sensorData,0x75D,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,接口热状态,P2,SPECIAL_TABLE,440,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=m1,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,接口热状态,P2,SPECIAL_TABLE,440,HUMAN,接受为P2充电接口热状态专项候选；与Pack热管理副线区分,用户,2026-09-01,充电接口针脚温度1候选（具体针脚对应关系待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_pinTemperature2,CP_pinTemperature2,CP_sensorData,0x75D,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,接口热状态,P2,SPECIAL_TABLE,450,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=m1,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,接口热状态,P2,SPECIAL_TABLE,450,HUMAN,接受为P2充电接口热状态专项候选；与Pack热管理副线区分,用户,2026-09-01,充电接口针脚温度2候选（具体针脚对应关系待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,CP_pinTemperature3,CP_pinTemperature3,CP_sensorData,0x75D,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,接口热状态,P2,SPECIAL_TABLE,460,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=m1,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,接口热状态,P2,SPECIAL_TABLE,460,HUMAN,接受为P2充电接口热状态专项候选；与Pack热管理副线区分,用户,2026-09-01,充电接口针脚温度3候选（具体针脚对应关系待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_activeHeatingWorthwhile,BMS_activeHeatingWorthwhile,BMS_status,0x212,enum,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理条件/决策,P2,SPECIAL_TABLE,470,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,LOW,PHYSICAL_MEANING_UNCONFIRMED+MULTIPLE_POSSIBLE_ROLES,YES,ACCEPT,热管理条件/决策,P2,SPECIAL_TABLE,470,HUMAN,维持P2热管理条件决策候选,用户,2026-09-01,BMS判断主动加热是否值得的候选状态（不是加热执行反馈）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_hvacPowerRequest,BMS_hvacPowerRequest,BMS_status,0x212,enum,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理请求,P2,SPECIAL_TABLE,480,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,LOW,NODE_BINDING_UNCERTAIN+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,热管理请求,P2,SPECIAL_TABLE,480,HUMAN,维持P2热管理请求候选,用户,2026-09-01,BMS向热管理系统提出功率请求的候选状态（具体请求内容待验证）
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_flowRequest,BMS_flowRequest,BMS_thermalStatus,0x312,LPM,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理请求,P1,CONDITION_SUMMARY+SPECIAL_TABLE,490,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,热管理请求,P1,CONDITION_SUMMARY+SPECIAL_TABLE,490,HUMAN,接受为P1 BMS热管理请求主干候选,用户,2026-09-01,BMS电池回路冷却液流量请求候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_inletActiveCoolTargetT,BMS_inletActiveCoolTargetT,BMS_thermalStatus,0x312,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,500,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,热管理目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,500,HUMAN,接受为P1 BMS主动冷却目标候选,用户,2026-09-01,BMS电池入口主动冷却目标温度候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,BMS_inletActiveHeatTargetT,BMS_inletActiveHeatTargetT,BMS_thermalStatus,0x312,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,510,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,热管理目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,510,HUMAN,接受为P1 BMS主动加热目标候选,用户,2026-09-01,BMS电池入口主动加热目标温度候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_tempCoolantBatInlet,VCFRONT_tempCoolantBatInlet,VCFRONT_sensors,0x321,degC,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,热管理反馈,P1,CONDITION_SUMMARY+SPECIAL_TABLE,520,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,热管理反馈,P1,CONDITION_SUMMARY+SPECIAL_TABLE,520,HUMAN,接受为P1电池回路温度反馈候选,用户,2026-09-01,电池回路冷却液入口温度候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_coolantFlowBatTarget,VCFRONT_coolantFlowBatTarget,VCFRONT_coolant,0x241,LPM,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,执行目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,530,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,执行目标,P1,CONDITION_SUMMARY+SPECIAL_TABLE,530,HUMAN,接受为P1电池回路流量目标候选,用户,2026-09-01,电池回路冷却液目标流量候选
TM3-015,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_coolantFlowBatActual,VCFRONT_coolantFlowBatActual,VCFRONT_coolant,0x241,LPM,ER-10 Pack热状态—充电能力条件—热管理请求/目标—执行反馈—温度响应,执行反馈,P1,CONDITION_SUMMARY+SPECIAL_TABLE,540,人工审核的热管理副线候选；DBC来源=input/tesla_model3_ONYX.dbc；mux=无,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,执行反馈,P1,CONDITION_SUMMARY+SPECIAL_TABLE,540,HUMAN,接受为P1电池回路流量反馈候选,用户,2026-09-01,电池回路冷却液实际流量候选
