signal_key,signal,chinese_semantic,role,priority,can_id,message,dbc_source,dbc_dlc,signal_required_dlc,asc_dlc,frame_count,decoded_count,distinct_count,first_time_s,last_time_s,min_value,max_value,readability,semantic_validation
BMS_chargeRequest,BMS_chargeRequest,BMS充电请求状态（车型语义仍需本次验证）,车辆充电请求,P0,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,4,8,2997,2997,1,0.090000,299.696500,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
BMS_uiChargeStatus,BMS_uiChargeStatus,BMS面向车辆显示的充电状态（本地DBC位段冲突待复核）,车辆状态反馈,P0,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,5,8,2997,2997,2,0.090000,299.696500,2.0,3.0,READABLE,PENDING_EVENT_VALIDATION
BMS_hvState,BMS_hvState,BMS高压系统状态（含直流充电状态枚举，待本次验证）,高压状态门,P0,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,3,8,2997,2997,8,0.090000,299.696500,0.0,7.0,READABLE,PENDING_EVENT_VALIDATION
BMS_contactorState,BMS_contactorState,Pack主接触器状态（仅作为高压建立的部分证据）,安全状态门,P1,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,2,8,2997,2997,4,0.090000,299.696500,1.0,4.0,READABLE,PENDING_EVENT_VALIDATION
CP_evseOutputDcCurrent,CP_evseOutputDcCurrent,车辆侧可见的EVSE直流输出电流候选（待与桩端和Pack交叉验证）,执行反馈,P0,0x29D,CP_dcChargeStatus,input/tesla_model3_ONYX.dbc,4,2,5,2997,2997,11,0.016400,299.636800,0.0,133.0892539,READABLE,PENDING_EVENT_VALIDATION
CP_evseOutputDcVoltage,CP_evseOutputDcVoltage,车辆侧可见的EVSE直流输出电压候选（不能单独定义充电开始）,能源交叉验证,P1,0x29D,CP_dcChargeStatus,input/tesla_model3_ONYX.dbc,4,4,5,2997,2997,19,0.016400,299.636800,0.0,365.47857799999997,READABLE,PENDING_EVENT_VALIDATION
CP_dcPower_derived,CP直流输出功率(同帧V×I派生),由CP侧同帧电压与电流计算的直流输出功率候选,能源交叉验证,P1,0x29D,CP_dcChargeStatus,DERIVED,,,5,2997,0,0,,,,,DERIVED_AFTER_INPUT_VALIDATION,PENDING_INPUT_VALIDATION
BMS_packVoltage,BMS_packVoltage,Pack端电压（用于能源交叉验证和功率计算）,能源交叉验证,P1,0x132,BMS_hvBusStatus,input/tesla_model3_ONYX.dbc,8,2,6,29973,29973,1566,0.002100,299.728500,8.17,365.25,READABLE,PENDING_EVENT_VALIDATION
BMS_packCurrent,BMS_packCurrent,Pack净电流（实际充电建立核心证据，符号/偏置待审计）,能源响应,P0,0x132,BMS_hvBusStatus,input/tesla_model3_ONYX.dbc,8,4,6,29973,29973,957,0.002100,299.728500,-219.60000000000002,27.8,READABLE,PENDING_EVENT_VALIDATION
PackPower_derived,Pack功率(同帧V×I派生),由Pack同帧电压与电流计算的净功率（展示符号待明确）,能源交叉验证,P1,0x132,BMS_hvBusStatus,DERIVED,,,6,29973,0,0,,,,,DERIVED_AFTER_INPUT_VALIDATION,PENDING_INPUT_VALIDATION
BMS_chgPowerAvailable,BMS_chgPowerAvailable,BMS可用充电功率候选（Available不等于Request或Actual）,能力背景,P1,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,7,8,2997,2997,54,0.090000,299.696500,21.5,255.75,READABLE,PENDING_EVENT_VALIDATION
BMS_socUI,BMS_socUI,车辆显示SOC（仅限定本次充电条件，不用于容量或SOH判断）,状态条件,P2,0x292,BMS_socStatus,input/tesla_model3_ONYX.dbc,8,3,8,2997,2997,15,0.090700,299.697000,27.5,31.0,READABLE,PENDING_EVENT_VALIDATION
BMS_minPackTemperature,BMS_minPackTemperature,Pack最低温度候选（不能代表完整温度范围）,状态条件,P2,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,8,8,2997,2997,6,0.090000,299.696500,-38.5,9.0,READABLE,PENDING_EVENT_VALIDATION
PCS_dcdcLvBusVolt,PCS_dcdcLvBusVolt,DCDC低压母线电压候选（充电期间低压供电背景）,状态条件,P2,0x2B4,PCS_dcdcBusStatus,input/tesla_model3_ONYX.dbc,5,2,6,2998,2998,93,0.030600,299.713100,8.2421875,13.0859375,READABLE,PENDING_EVENT_VALIDATION
CP_numAlertsSet,CP_numAlertsSet,充电口控制器告警数量候选（计数本身不构成故障语义）,异常分支筛查,P3,0x25D,CP_status,input/tesla_model3_ONYX.dbc,8,8,8,2997,2997,1,0.015500,299.636000,30.0,30.0,READABLE,PENDING_EVENT_VALIDATION
DI_gear,DI_gear,挡位状态（充电许可条件背景，不代表OEM完整许可规则）,整车状态条件,P2,0x118,DI_systemStatus,input/tesla_model3_ONYX.dbc,8,3,8,10683,10683,1,141.533600,248.346000,7.0,7.0,READABLE,PENDING_EVENT_VALIDATION
DI_systemState,DI_systemState,电驱系统状态（是否参与充电许可待验证）,整车系统状态条件,P2,0x118,DI_systemStatus,input/tesla_model3_ONYX.dbc,8,3,8,10683,10683,2,141.533600,248.346000,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
BMS_modelTMax,BMS_modelTMax,Pack模型最高温度候选（是否代表实测单体/模组最高温度待验证）,Pack热状态,P1,0x332,BMS_bmbMinMax,input/tesla_model3_ONYX.dbc,6,5,6,299,149,4,1.843300,297.849600,33.5,35.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
BMS_modelTMin,BMS_modelTMin,Pack模型最低温度候选（是否代表实测单体/模组最低温度待验证）,Pack热状态,P1,0x332,BMS_bmbMinMax,input/tesla_model3_ONYX.dbc,6,6,6,299,149,1,1.843300,297.849600,-40.0,-40.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
CP_pinTemperature1,CP_pinTemperature1,充电接口针脚温度1候选（具体针脚对应关系待验证）,接口热状态,P2,0x75D,CP_sensorData,input/tesla_model3_ONYX.dbc,8,2,8,1499,214,1,1.215400,299.435400,-55.0,-55.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
CP_pinTemperature2,CP_pinTemperature2,充电接口针脚温度2候选（具体针脚对应关系待验证）,接口热状态,P2,0x75D,CP_sensorData,input/tesla_model3_ONYX.dbc,8,3,8,1499,214,3,1.215400,299.435400,-55.0,128.29411764079998,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
CP_pinTemperature3,CP_pinTemperature3,充电接口针脚温度3候选（具体针脚对应关系待验证）,接口热状态,P2,0x75D,CP_sensorData,input/tesla_model3_ONYX.dbc,8,4,8,1499,214,3,1.215400,299.435400,-55.0,129.09803920939999,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
BMS_activeHeatingWorthwhile,BMS_activeHeatingWorthwhile,BMS判断主动加热是否值得的候选状态（不是加热执行反馈）,热管理条件/决策,P2,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,1,0.090000,299.696500,0.0,0.0,READABLE,PENDING_EVENT_VALIDATION
BMS_hvacPowerRequest,BMS_hvacPowerRequest,BMS向热管理系统提出功率请求的候选状态（具体请求内容待验证）,热管理请求,P2,0x212,BMS_status,input/tesla_model3_ONYX.dbc,8,1,8,2997,2997,2,0.090000,299.696500,0.0,1.0,READABLE,PENDING_EVENT_VALIDATION
BMS_flowRequest,BMS_flowRequest,BMS电池回路冷却液流量请求候选,热管理请求,P1,0x312,BMS_thermalStatus,input/tesla_model3_ONYX.dbc,8,3,8,599,599,12,0.491300,299.497400,2.1,28.799999999999997,READABLE,PENDING_EVENT_VALIDATION
BMS_inletActiveCoolTargetT,BMS_inletActiveCoolTargetT,BMS电池入口主动冷却目标温度候选,热管理目标,P1,0x312,BMS_thermalStatus,input/tesla_model3_ONYX.dbc,8,4,8,599,599,12,0.491300,299.497400,-12.25,92.25,READABLE,PENDING_EVENT_VALIDATION
BMS_inletActiveHeatTargetT,BMS_inletActiveHeatTargetT,BMS电池入口主动加热目标温度候选,热管理目标,P1,0x312,BMS_thermalStatus,input/tesla_model3_ONYX.dbc,8,6,8,599,599,9,0.491300,299.497400,-14.0,80.5,READABLE,PENDING_EVENT_VALIDATION
VCFRONT_tempCoolantBatInlet,VCFRONT_tempCoolantBatInlet,电池回路冷却液入口温度候选,热管理反馈,P1,0x321,VCFRONT_sensors,input/tesla_model3_ONYX.dbc,8,2,8,299,299,131,0.969300,298.987500,26.0,59.625,READABLE,PENDING_EVENT_VALIDATION
VCFRONT_coolantFlowBatTarget,VCFRONT_coolantFlowBatTarget,电池回路冷却液目标流量候选,执行目标,P1,0x241,VCFRONT_coolant,input/tesla_model3_ONYX.dbc,7,3,7,2997,2997,42,0.024400,299.642500,2.0,28.6,READABLE,PENDING_EVENT_VALIDATION
VCFRONT_coolantFlowBatActual,VCFRONT_coolantFlowBatActual,电池回路冷却液实际流量候选,执行反馈,P1,0x241,VCFRONT_coolant,input/tesla_model3_ONYX.dbc,7,2,7,2997,2997,85,0.024400,299.642500,0.0,12.700000000000001,READABLE,PENDING_EVENT_VALIDATION
VCFRONT_pumpBatteryRPMTarget,VCFRONT_pumpBatteryRPMTarget,电池冷却液泵目标转速候选,执行目标,P2,0x2C1,VCFRONT_logging10Hz,input/tesla_model3_ONYX.dbc,8,2,8,14986,2997,87,0.089500,299.707800,0.0,9300.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_pumpBatteryRPMActual,VCFRONT_pumpBatteryRPMActual,电池冷却液泵实际转速候选,执行反馈,P2,0x201,VCFRONT_logging10Hz2,input/tesla_model3_ONYX.dbc,8,2,8,11988,2997,199,0.094500,299.712600,0.0,9400.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_chillerDemandActive,VCFRONT_chillerDemandActive,Chiller制冷需求激活候选状态,热管理决策/请求,P2,0x2E1,VCFRONT_status,input/tesla_model3_ONYX.dbc,8,4,8,18735,3123,1,0.001200,299.731800,0.0,0.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_chillerExvFlowTarget,VCFRONT_chillerExvFlowTarget,Chiller电子膨胀阀目标开度候选,执行目标,P2,0x201,VCFRONT_logging10Hz2,input/tesla_model3_ONYX.dbc,8,2,8,11988,0,0,,,,,MUX_NOT_OBSERVED_OR_UNREADABLE,SEMANTIC_VALIDATION_FAILED
VCFRONT_chillerExvFlow,VCFRONT_chillerExvFlow,Chiller电子膨胀阀实际开度候选,执行反馈,P2,0x201,VCFRONT_logging10Hz2,input/tesla_model3_ONYX.dbc,8,2,8,11988,2997,45,0.069500,299.687800,0.0,10.600000000000001,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_compressorTargetDuty,VCFRONT_compressorTargetDuty,压缩机目标占空比候选,执行目标,P2,0x281,VCFRONT_compressorRequest,input/tesla_model3_ONYX.dbc,8,2,,0,0,0,,,,,NO_FRAME,SEMANTIC_VALIDATION_FAILED
VCFRONT_compressorEnable,VCFRONT_compressorEnable,压缩机使能请求候选,执行目标,P2,0x281,VCFRONT_compressorRequest,input/tesla_model3_ONYX.dbc,8,6,,0,0,0,,,,,NO_FRAME,SEMANTIC_VALIDATION_FAILED
VCFRONT_compressorState,VCFRONT_compressorState,压缩机运行状态候选,执行反馈,P2,0x201,VCFRONT_logging10Hz2,input/tesla_model3_ONYX.dbc,8,4,8,11988,2997,1,0.044200,299.662500,0.0,0.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_coolantValveAngleTarget,VCFRONT_coolantValveAngleTarget,冷却液多通阀目标角度候选,执行目标,P2,0x2C1,VCFRONT_logging10Hz,input/tesla_model3_ONYX.dbc,8,4,8,14986,2997,77,0.029200,299.647600,-5.0,48.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_coolantValveAngleActual,VCFRONT_coolantValveAngleActual,冷却液多通阀实际角度候选,执行反馈,P2,0x2C1,VCFRONT_logging10Hz,input/tesla_model3_ONYX.dbc,8,3,8,14986,2997,2,0.029200,299.647600,285.25,287.25,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_hpMode,VCFRONT_hpMode,热泵系统运行模式候选,热管理模式,P2,0x381,VCFRONT_logging1Hz,input/tesla_model3_ONYX.dbc,8,2,8,8326,308,2,0.370200,298.791600,0.0,25.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_hpBatteryCool,VCFRONT_hpBatteryCool,热泵电池冷却模式候选,热管理模式,P2,0x381,VCFRONT_logging1Hz,input/tesla_model3_ONYX.dbc,8,3,8,8326,308,2,0.405200,298.828000,0.0,1.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
VCFRONT_isActiveHeatingBattery,VCFRONT_isActiveHeatingBattery,电池主动加热执行状态候选,执行反馈,P2,0x2E1,VCFRONT_status,input/tesla_model3_ONYX.dbc,8,8,8,18735,3122,2,0.049300,299.683500,0.0,1.0,READABLE_ON_MUX_PAGE,PENDING_EVENT_VALIDATION
