signal_key,can_id,evidence_requirement,effective_role,effective_priority,approved_source,frame_count,asc_actual_dlc,decoded_sample_count,readability,observed_values_or_range,post_validation_maturity,boundary
PCS_dcdcHvBusVolt,0x2B4,ER-06+ER-08,PCS所见高压母线反馈,P0,ONYX主候选；冲突项见定义对照,2310,6,2310,READABLE,187.646484 | 178.271484 | 197.021484 | 422.021484 | 37.646484 | 581.396484 | 206.396484 | 347.021484 | 47.021484 | 18.896484 | 0.146484 | 590.771484,SEMANTIC_VALIDATION_FAILED,PHYSICAL_CLOSURE_REQUIRED
HVP_hvilStatus,0x20A,ER-05,HVIL安全条件,P1,ONYX主候选；冲突项见定义对照,230,6,230,READABLE,STATUS_OK | UNKNOWN,STRONGLY_SUPPORTED,DBC_VERSION_CONFLICT+DLC_CONFLICT
BMS_isolationResistance,0x212,ER-05,绝缘安全条件背景,P1,ONYX主候选；冲突项见定义对照,2326,8,2326,READABLE,0,SEMANTIC_VALIDATION_FAILED,OEM_THRESHOLD_UNKNOWN+SNA_CHECK_REQUIRED
HVP_packContNegativeState,0x20A,ER-06,负接触器执行反馈候选,P1,ONYX主候选；冲突项见定义对照,230,6,230,READABLE,ECONOMIZED | OPENING | OPEN,STRONGLY_SUPPORTED,DBC_VERSION_CONFLICT+DLC_CONFLICT
HVP_packContPositiveState,0x20A,ER-06,正接触器/预充执行反馈候选,P1,ONYX主候选；冲突项见定义对照,230,6,230,READABLE,ECONOMIZED | OPENING | OPEN | PRECHARGE,STRONGLY_SUPPORTED,DBC_VERSION_CONFLICT+DLC_CONFLICT
PCS_dcdcMainState,0x224,ER-08+ER-09,DCDC状态机/执行反馈,P0,ONYX主候选；冲突项见定义对照,2310,8,2310,READABLE,STANDBY,SEMANTIC_VALIDATION_FAILED,ENUM_REQUIRES_PHYSICAL_FEEDBACK
PCS_dcdc12VSupportStatus,0x224,ER-08,12V支持状态,P1,ONYX主候选；冲突项见定义对照,2310,8,2310,READABLE,ACTIVE | IDLE,STRONGLY_SUPPORTED,ROLE_OVERLAP_UNCERTAIN
PCS_dcdcLvBusVolt,0x2B4,ER-08+ER-09,低压母线执行反馈,P0,ONYX主候选；冲突项见定义对照,2310,6,2310,READABLE,11.289062 | 11.328125 | 11.445312 | 11.40625 | 11.484375 | 11.523438 | 11.5625 | 11.796875 | 11.640625 | 11.757812 | 11.679688 | 11.835938,STRONGLY_SUPPORTED,PCS_SIDE_NOT_EXTERNAL_METER
PCS_dcdcLvOutputCurrent,0x2B4,ER-08,DCDC输出响应,P1,ONYX主候选；冲突项见定义对照,2310,6,2310,READABLE,26.9 | 257.3 | 334.1 | 231.7 | 359.7 | 52.5 | 282.9 | 78.1 | 385.3 | 154.9 | 206.1 | 308.5,PARTIALLY_VALIDATED,DBC_VERSION_CONFLICT+SIGN_CONFLICT
DI_keepAliveRequest,0x118,ER-01+ER-09,电驱保持唤醒候选,P2,ONYX主候选；冲突项见定义对照,5962,8,5962,READABLE,NO_REQUEST | KEEP_ALIVE,INSUFFICIENT_EVIDENCE,PROXY_OBSERVATION+SCOPE_UNCERTAIN
GTW_BMP_AWAKE_PIN,0x113,ER-01,网关唤醒代理候选,P2,Model3CAN,2315,3,2315,READABLE,0 | 1,INSUFFICIENT_EVIDENCE,NON_ONYX_DEFINITION+PROXY_OBSERVATION
UI_lockRequest,0x273,ER-02,解/落锁请求候选,P2,ONYX主候选；冲突项见定义对照,259,8,259,READABLE,IDLE,INSUFFICIENT_EVIDENCE,NON_ONYX_DEFINITION+REQUEST_SOURCE_UNCERTAIN
