signal_key,source,message,can_id,dbc_dlc,start_bit,bit_length,byte_order,signed,factor,offset,unit,definition_fingerprint
PCS_dcdcMainState,input/tesla_model3_ONYX.dbc,PCS_dcdcStatus,0x224,8,6,4,little_endian,False,1,0,,224:8:6:4:little_endian:0:1:0
UI_readyForDrive,input/tesla_model3_ONYX.dbc,UI_status,0x353,7,9,1,little_endian,False,1,0,,353:7:9:1:little_endian:0:1:0
UI_lockRequest,input/tesla_model3_ONYX.dbc,UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
VCLEFT_frontLatchStatus,input/tesla_model3_ONYX.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
VCLEFT_frontOccupancyStatus,input/tesla_model3_ONYX.dbc,VCLEFT_restraintStatus,0x30A,4,0,3,little_endian,False,1,0,,30A:4:0:3:little_endian:0:1:0
UI_readyForDrive,dbc/Model3CAN.dbc,ID00CUI_status,0xC,8,9,1,little_endian,False,1,0,,C:8:9:1:little_endian:0:1:0
UI_readyForDrive,dbc/Model3CAN.dbc,ID353UI_status,0x353,8,9,1,little_endian,False,1,0,,353:8:9:1:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc/Model3CAN.dbc,ID102VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
GTW_BMP_AWAKE_PIN,dbc/Model3CAN.dbc,ID113GTW_bmpDebug,0x113,3,8,1,little_endian,False,1,0,,113:3:8:1:little_endian:0:1:0
HVP_packContNegativeState,dbc/Model3CAN.dbc,ID20AHVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,dbc/Model3CAN.dbc,ID20AHVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
HVP_hvilStatus,dbc/Model3CAN.dbc,ID20AHVP_contactorState,0x20A,6,40,4,little_endian,False,1,0,,20A:6:40:4:little_endian:0:1:0
UI_lockRequest,dbc/Model3CAN.dbc,ID273UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
PCS_dcdcLvBusVolt,dbc/Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,0,10,little_endian,False,0.0390625,0,V,2B4:5:0:10:little_endian:0:0.0390625:0
PCS_dcdcHvBusVolt,dbc/Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,10,12,little_endian,False,0.146484,0,V,2B4:5:10:12:little_endian:0:0.146484:0
PCS_dcdcLvOutputCurrent,dbc/Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,24,12,little_endian,False,0.1,0,A,2B4:5:24:12:little_endian:0:0.1:0
BMS_contactorState,dbc/Model3CAN.dbc,ID212BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,dbc/Model3CAN.dbc,ID212BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
BMS_isolationResistance,dbc/Model3CAN.dbc,ID212BMS_status,0x212,8,19,10,little_endian,False,10,0,kOhm,212:8:19:10:little_endian:0:10:0
DI_systemState,dbc/Model3CAN.dbc,ID118DriveSystemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_brakePedalState,dbc/Model3CAN.dbc,ID118DriveSystemStatus,0x118,8,19,2,little_endian,False,1,0,,118:8:19:2:little_endian:0:1:0
DI_gear,dbc/Model3CAN.dbc,ID118DriveSystemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
BMS_contactorState,dbc/Model3_ETH_json_reference_optional.dbc,BMS_status,0x212,8,8,3,little_endian,False,1.0,0.0,,212:8:8:3:little_endian:0:1.0:0.0
BMS_hvState,dbc/Model3_ETH_json_reference_optional.dbc,BMS_status,0x212,8,16,3,little_endian,False,1.0,0.0,,212:8:16:3:little_endian:0:1.0:0.0
BMS_isolationResistance,dbc/Model3_ETH_json_reference_optional.dbc,BMS_status,0x212,8,19,10,little_endian,False,10.0,0.0,kOhm,212:8:19:10:little_endian:0:10.0:0.0
DI_brakePedalState,dbc/Model3_ETH_json_reference_optional.dbc,DI_systemStatus,0x118,8,19,2,little_endian,False,1.0,0.0,,118:8:19:2:little_endian:0:1.0:0.0
DI_gear,dbc/Model3_ETH_json_reference_optional.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1.0,0.0,,118:8:21:3:little_endian:0:1.0:0.0
HVP_hvilStatus,dbc/Model3_ETH_json_reference_optional.dbc,HVP_hvpFaults,0x682,8,30,2,little_endian,False,1.0,0.0,,682:8:30:2:little_endian:0:1.0:0.0
PCS_dcdcLvBusVolt,dbc/Model3_ETH_json_reference_optional.dbc,PCS_dcdcRailStatus,0x2B4,6,0,13,little_endian,False,0.01,0.0,V,2B4:6:0:13:little_endian:0:0.01:0.0
PCS_dcdcLvOutputCurrent,dbc/Model3_ETH_json_reference_optional.dbc,PCS_dcdcRailStatus,0x2B4,6,32,13,little_endian,True,0.1,0.0,A,2B4:6:32:13:little_endian:1:0.1:0.0
VCLEFT_frontLatchStatus,dbc/Model3_ETH_json_reference_optional.dbc,VCLEFT_doorStatus,0x102,8,14,4,little_endian,False,1.0,0.0,,102:8:14:4:little_endian:0:1.0:0.0
VCLEFT_frontOccupancyStatus,dbc/Model3_ETH_json_reference_optional.dbc,VCLEFT_restraintStatus,0x30A,8,0,3,little_endian,False,1.0,0.0,,30A:8:0:3:little_endian:0:1.0:0.0
DI_gear,dbc/tesla_can (1).dbc,DI_torque2,0x118,6,12,3,little_endian,False,1,0,,118:6:12:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_can (1).dbc,DI_torque2,0x118,6,36,2,little_endian,False,1,0,,118:6:36:2:little_endian:0:1:0
DI_systemState,dbc/tesla_can (1).dbc,DI_state,0x368,8,0,3,little_endian,False,1,0,,368:8:0:3:little_endian:0:1:0
UI_readyForDrive,dbc/tesla_can (1).dbc,UI_status,0x338,8,10,1,little_endian,False,1,0,,338:8:10:1:little_endian:0:1:0
DI_gear,dbc/tesla_can.dbc,DI_torque2,0x118,6,12,3,little_endian,False,1,0,,118:6:12:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_can.dbc,DI_torque2,0x118,6,36,2,little_endian,False,1,0,,118:6:36:2:little_endian:0:1:0
DI_systemState,dbc/tesla_can.dbc,DI_state,0x368,8,0,3,little_endian,False,1,0,,368:8:0:3:little_endian:0:1:0
UI_readyForDrive,dbc/tesla_can.dbc,UI_status,0x338,8,10,1,little_endian,False,1,0,,338:8:10:1:little_endian:0:1:0
BMS_packVoltage,dbc/tesla_model3.dbc,BMS_hvBusStatus,0x132,8,0,16,little_endian,False,0.01,0,V,132:8:0:16:little_endian:0:0.01:0
BMS_contactorState,dbc/tesla_model3.dbc,BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,dbc/tesla_model3.dbc,BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
BMS_isolationResistance,dbc/tesla_model3.dbc,BMS_status,0x212,8,19,10,little_endian,False,10,0,kOhm,212:8:19:10:little_endian:0:10:0
DI_systemState,dbc/tesla_model3.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_model3.dbc,DI_systemStatus,0x118,8,19,2,little_endian,False,1,0,,118:8:19:2:little_endian:0:1:0
DI_gear,dbc/tesla_model3.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
DI_keepAliveRequest,dbc/tesla_model3.dbc,DI_systemStatus,0x118,8,47,1,little_endian,False,1,0,,118:8:47:1:little_endian:0:1:0
HVP_packContNegativeState,dbc/tesla_model3.dbc,HVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,dbc/tesla_model3.dbc,HVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
HVP_hvilStatus,dbc/tesla_model3.dbc,HVP_contactorState,0x20A,6,40,4,little_endian,False,1,0,,20A:6:40:4:little_endian:0:1:0
PCS_dcdc12VSupportStatus,dbc/tesla_model3.dbc,PCS_dcdcStatus,0x224,8,2,2,little_endian,False,1,0,,224:8:2:2:little_endian:0:1:0
PCS_dcdcMainState,dbc/tesla_model3.dbc,PCS_dcdcStatus,0x224,8,6,4,little_endian,False,1,0,,224:8:6:4:little_endian:0:1:0
PCS_dcdcLvOutputCurrent,dbc/tesla_model3.dbc,PCS_dcdcStatus,0x224,8,16,12,little_endian,False,0.1,0,A,224:8:16:12:little_endian:0:0.1:0
PCS_dcdcLvBusVolt,dbc/tesla_model3.dbc,PCS_logging,0x2C4,8,5,10,little_endian,False,0.0390625,0,V,2C4:8:5:10:little_endian:0:0.0390625:0
PCS_dcdcHvBusVolt,dbc/tesla_model3.dbc,PCS_logging,0x2C4,8,16,12,little_endian,False,0.146484,0,V,2C4:8:16:12:little_endian:0:0.146484:0
UI_readyForDrive,dbc/tesla_model3.dbc,UI_status,0xC,7,9,1,little_endian,False,1,0,,C:7:9:1:little_endian:0:1:0
UI_lockRequest,dbc/tesla_model3.dbc,UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc/tesla_model3.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
VCLEFT_frontOccupancyStatus,dbc/tesla_model3.dbc,VCLEFT_restraintStatus,0x30A,4,0,3,little_endian,False,1,0,,30A:4:0:3:little_endian:0:1:0
DI_systemState,dbc/tesla_model3_party.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_model3_party.dbc,DI_systemStatus,0x118,8,19,2,little_endian,False,1,0,,118:8:19:2:little_endian:0:1:0
DI_gear,dbc/tesla_model3_party.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
DI_keepAliveRequest,dbc/tesla_model3_party.dbc,DI_systemStatus,0x118,8,47,1,little_endian,False,1,0,,118:8:47:1:little_endian:0:1:0
DI_systemState,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,19,2,little_endian,False,1,0,,118:8:19:2:little_endian:0:1:0
DI_gear,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
DI_keepAliveRequest,dbc/tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,47,1,little_endian,False,1,0,,118:8:47:1:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc/tesla_model3_vehicle.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
DI_gear,dbc/tesla_powertrain.dbc,DI_torque2,0x116,6,12,3,little_endian,False,1,0,,116:6:12:3:little_endian:0:1:0
DI_brakePedalState,dbc/tesla_powertrain.dbc,DI_torque2,0x116,6,36,2,little_endian,False,1,0,,116:6:36:2:little_endian:0:1:0
DI_systemState,dbc/tesla_powertrain.dbc,DI_state,0x256,8,0,3,little_endian,False,1,0,,256:8:0:3:little_endian:0:1:0
