time_s,BMS_packVoltage,BMS_packCurrent,derived_packPower_kW,DI_accelPedalPos,DI_gear,DI_systemState,DI_brakePedalState,DI_driveBlocked,DI_tractionControlMode,DI_elecPower,DI_vehicleSpeed,VCLEFT_brakeSwitchPressed,VCLEFT_brakePressed,DI_torqueCommand,DI_torqueActual,DI_axleSpeed,derived_axleMechanicalPower_kW,DI_sysDrivePowerMax,DI_sysRegenPowerMax,BMS_maxDischargeCurrent,BMS_maxChargeCurrent,BMS_socUI,BMS_socMin,BMS_socMax
1.0,347.22,1.2000000000000002,0.4166640000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.1,347.18,1.2000000000000002,0.41661600000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.2,347.28000000000003,1.2000000000000002,0.4167360000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.3,347.2,1.2000000000000002,0.41664000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.4,347.19,1.2000000000000002,0.41662800000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.5,347.26,1.2000000000000002,0.416712,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.6,347.15000000000003,1.2000000000000002,0.4165800000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.7,347.22,1.2000000000000002,0.4166640000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.8,347.09000000000003,1.2000000000000002,0.4165080000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
1.9,347.29,1.2000000000000002,0.4167480000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.0,347.29,1.2000000000000002,0.4167480000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.1,347.31,1.2000000000000002,0.41677200000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.2,347.22,1.2000000000000002,0.4166640000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.3,347.2,1.2000000000000002,0.41664000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.4,347.22,1.2000000000000002,0.4166640000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.5,347.25,1.2000000000000002,0.41670000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.6,347.2,1.1,0.38192000000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.7,347.2,1.1,0.38192000000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.8,347.18,1.2000000000000002,0.41661600000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
2.9,347.26,1.1,0.38198600000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.0,347.14,1.3,0.45128199999999996,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.1,347.27,1.2000000000000002,0.41672400000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.2,347.35,1.2000000000000002,0.4168200000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.3,347.16,1.2000000000000002,0.4165920000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.4,347.27,1.2000000000000002,0.41672400000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.5,347.15000000000003,1.2000000000000002,0.4165800000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.6,347.21,1.2000000000000002,0.416652,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.7,347.33,1.2000000000000002,0.41679600000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.8,347.2,1.2000000000000002,0.41664000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
3.9,347.24,1.2000000000000002,0.41668800000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.0,347.12,1.2000000000000002,0.416544,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.1,347.19,1.2000000000000002,0.41662800000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.2,347.05,1.2000000000000002,0.4164600000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.3,347.05,1.2000000000000002,0.4164600000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.4,347.27,1.2000000000000002,0.41672400000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.5,347.11,1.2000000000000002,0.41653200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.6,347.16,1.2000000000000002,0.4165920000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.7,347.23,1.2000000000000002,0.4166760000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.8,347.11,1.2000000000000002,0.41653200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
4.9,347.13,1.2000000000000002,0.41655600000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.0,347.14,1.2000000000000002,0.41656800000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.1,347.15000000000003,1.1,0.38186500000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.2,347.18,1.2000000000000002,0.41661600000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.3,347.11,1.2000000000000002,0.41653200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.4,347.14,1.2000000000000002,0.41656800000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.5,347.2,1.2000000000000002,0.41664000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.6,347.28000000000003,1.2000000000000002,0.4167360000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.7,347.18,1.2000000000000002,0.41661600000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.8,347.27,1.2000000000000002,0.41672400000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
5.9,347.12,1.3,0.45125600000000005,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.0,347.28000000000003,1.3,0.45146400000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.1,347.27,1.3,0.451451,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.2,347.42,1.3,0.451646,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.3,347.25,1.3,0.451425,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.4,347.21,1.3,0.45137299999999997,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.5,347.16,1.3,0.45130800000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.6,347.11,1.3,0.45124300000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.7,347.29,1.3,0.451477,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.8,347.15000000000003,1.3,0.45129500000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
6.9,347.26,1.3,0.451438,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.0,347.25,1.3,0.451425,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.1,347.09000000000003,1.3,0.45121700000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.2,347.28000000000003,1.3,0.45146400000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.3,347.33,1.3,0.451529,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.4,347.22,1.3,0.451386,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.5,347.28000000000003,1.3,0.45146400000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.6,347.28000000000003,1.4000000000000001,0.48619200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.7,347.16,1.3,0.45130800000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.8,347.28000000000003,1.4000000000000001,0.48619200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
7.9,347.40000000000003,1.3,0.4516200000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.0,347.15000000000003,1.3,0.45129500000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.1,347.28000000000003,1.4000000000000001,0.48619200000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.2,347.36,1.3,0.451568,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.3,347.40000000000003,1.4000000000000001,0.48636000000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.4,347.31,1.3,0.45150300000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.5,347.43,1.3,0.45165900000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.6,347.27,1.3,0.451451,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.7,347.37,1.3,0.451581,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.8,347.48,1.3,0.45172400000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
8.9,347.37,1.3,0.451581,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.0,347.37,1.3,0.451581,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.1,347.37,1.3,0.451581,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.2,347.43,1.3,0.45165900000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.3,347.38,1.4000000000000001,0.48633200000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.4,347.45,1.4000000000000001,0.48643000000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.5,347.5,1.3,0.45175,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.6,347.47,1.4000000000000001,0.48645800000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.7,347.37,1.3,0.451581,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.8,347.45,1.3,0.451685,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
9.9,347.25,1.3,0.451425,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.0,347.39,1.3,0.451607,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.1,347.35,1.3,0.45155500000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.2,347.39,1.3,0.451607,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.3,347.31,1.3,0.45150300000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.4,347.3,1.3,0.45149,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.5,347.3,1.4000000000000001,0.4862200000000001,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.6,347.43,1.4000000000000001,0.48640200000000006,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.7,347.44,1.4000000000000001,0.48641600000000007,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.8,347.36,1.3,0.451568,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
10.9,347.32,1.3,0.45151600000000003,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.0,347.51,1.3,0.45176299999999997,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.1,347.42,1.3,0.451646,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.2,347.33,1.4000000000000001,0.486262,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.3,347.25,1.3,0.451425,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.4,347.3,1.3,0.45149,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.5,347.38,1.3,0.451594,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.6,347.39,1.3,0.451607,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
11.7,347.35,1.3,0.45155500000000004,0.0,P,STANDBY,INVALID,2.0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,92.0,682.624,250.0,32.5,32.1,34.800000000000004
