ASC CAN ID 统计结果
输入文件：C:\Users\Fujitsu\IdeaProjects\Tesla\can_20260821124109_离车关锁0821-01.asc
统计时间：2026-08-21 21:02:16

总行数：905850
有效数据帧行数：905846
忽略行数：4
CAN ID 数量：308

CAN_ID     COUNT          DLC统计                首次时间           末次时间          
3E2        2171           7:2171               0.115100       432.543900    
3E3        2171           4:2171               0.072900       432.502200    
2E3        2164           7:2164               0.004700       432.634000    
40A        2164           8:2164               0.015100       432.645000    
2BF        2163           7:2163               0.150300       432.576800    
2E2        2163           8:2163               0.065100       432.493900    
31A        2163           8:2163               0.138700       432.568100    
320        2163           8:2163               0.180400       432.588400    
3A8        2163           8:2163               0.165100       432.594000    
42A        2163           8:2163               0.118600       432.548800    
718        2163           7:2163               0.051500       432.478600    
75D        2163           8:2163               0.085100       432.511300    
253        1733           8:1733               0.328900       432.641700    
405        1731           8:1731               0.062300       432.593100    
414        1731           8:1731               0.062600       432.592800    
43B        1731           8:1731               0.119100       432.647900    
55A        1731           8:1731               0.062800       432.593300    
666        1731           4:1731               0.063600       432.593500    
31E        1730           8:1730               0.481100       432.611300    
623        1680           8:1680               0.008300       137.107500    
2A6        1525           8:1525               0.003500       432.642700    
2A7        1525           8:1525               0.003800       432.643200    
2C7        1525           8:1525               0.003300       432.643400    
709        1401           8:1401               0.285100       432.428600    
3B2        1337           8:1337               0.219300       432.527600    
229        1328           3:1328               0.083500       432.646600    
54F        1326           8:1326               0.084700       432.647100    
295        1044           8:1044               2.078100       432.450600    
473        907            8:907                0.378900       432.193400    
273        891            8:891                0.479400       432.293000    
2D3        878            8:878                0.305400       432.592100    
3B3        872            8:872                0.379300       432.193600    
293        869            8:869                0.278900       432.592600    
1BB        868            1:868                0.128900       432.443400    
286        868            5:868                0.179300       432.492600    
294        868            8:868                0.029400       432.346000    
3DF        868            8:868                0.279400       432.592400    
2F3        867            8:867                0.479000       432.292800    
61D        867            8:867                0.079300       432.392600    
213        866            2:866                0.329000       432.642100    
238        866            8:866                0.078900       432.392800    
284        866            8:866                0.129400       432.445500    
313        866            8:866                0.229200       432.543700    
3AA        866            8:866                0.061800       432.563800    
3DB        866            8:866                0.118400       432.648800    
443        866            6:866                0.051000       432.577500    
4F3        866            4:866                0.329300       432.643600    
77A        866            8:866                0.064100       432.564600    
312        865            8:865                0.218700       432.227400    
34A        865            8:865                0.368400       432.398300    
392        865            8:865                0.219100       432.227600    
333        864            5:864                0.428800       432.245800    
334        864            8:864                0.429100       432.246200    
352        649            8:649                0.318400       432.327600    
3C4        517            8:517                2.589000       432.562300    
3CC        474            8:474                0.038400       432.413700    
3E9        473            8:473                0.475100       432.434500    
39B        472            8:472                0.255300       432.624700    
407        467            8:467                0.431200       432.306600    
3F6        454            8:454                0.551000       432.577300    
3D8        439            4:439                0.679700       432.493200    
353        437            8:437                0.679100       432.492800    
82         433            8:433                0.829300       432.643900    
20A        433            6:433                0.075800       432.078700    
232        433            8:433                0.240100       432.248200    
24A        433            1:433                0.061100       432.063900    
25A        433            6:433                0.544200       432.574100    
262        433            8:433                0.059100       432.087900    
2A4        433            8:433                0.189500       432.162500    
300        433            8:433                0.571500       432.579400    
301        433            8:433                0.451000       432.477300    
302        433            8:433                0.491200       432.519900    
303        433            8:433                0.504700       432.534000    
311        433            2:433                0.571600       432.579500    
319        433            8:433                0.112300       432.141900    
323        433            5:433                0.172900       432.202200    
332        433            6:433                0.571300       432.579100    
348        433            8:433                0.312200       432.343600    
355        433            7:433                0.728900       432.542500    
35F        433            1:433                0.620500       432.628500    
361        433            5:433                0.150900       432.177200    
362        433            3:433                0.349200       432.378200    
364        433            4:433                0.189700       432.162700    
373        433            8:433                0.679500       432.493100    
37D        433            8:433                0.381200       432.411400    
382        433            5:433                0.207400       432.237000    
390        433            2:433                0.629500       432.445700    
3A4        433            8:433                0.190000       432.163000    
3C9        433            8:433                0.261000       432.290200    
3D2        433            8:433                0.571900       432.579700    
3D3        433            3:433                0.338600       432.368700    
3DD        433            8:433                0.381700       432.411700    
3ED        433            1:433                0.312400       432.343700    
3F2        433            8:433                0.572100       432.580200    
42E        433            8:433                0.621000       432.629200    
42F        433            7:433                0.621400       432.629400    
452        433            3:433                0.572400       432.580400    
453        433            4:433                0.629000       432.444700    
472        433            8:433                0.572600       432.580600    
492        433            7:433                0.573300       432.580800    
528        433            4:433                0.313500       432.344800    
52F        433            8:433                0.311900       432.345000    
6E8        433            8:433                0.093700       432.127900    
708        433            5:433                0.317000       432.350200    
726        433            3:433                0.633100       432.662100    
737        433            7:433                0.251500       432.277800    
739        433            5:433                0.402700       432.432000    
743        433            1:433                0.002600       432.031900    
7C8        433            8:433                0.485600       432.517100    
4F         432            8:432                0.929000       432.245400    
23A        432            8:432                0.828600       431.857900    
2D7        432            4:432                0.775100       431.804000    
321        432            8:432                0.851000       431.875900    
324        432            8:432                0.879600       431.693200    
33A        432            8:432                0.979000       431.793100    
399        432            3:432                0.970200       431.999800    
3BB        432            3:432                0.978500       431.792500    
3BC        432            4:432                0.929200       432.245600    
3BD        432            8:432                0.751200       431.777500    
5F3        432            3:432                0.881600       431.693800    
6C8        432            8:432                0.648000       431.682200    
70B        432            8:432                0.837200       431.866900    
724        432            3:432                0.650200       431.677600    
727        432            2:432                0.670900       431.700000    
744        432            1:432                0.917000       431.945800    
748        432            5:432                0.761700       431.794500    
752        432            8:432                0.911000       431.918400    
7E8        432            8:432                0.927200       431.960400    
310        259            8:259                0.962800       430.965600    
53E        258            8:258                3.382700       428.411100    
38B        230            8:230                0.971400       431.809600    
38D        230            8:230                0.310700       432.114700    
7B1        225            8:225                0.528900       430.547400    
7F1        216            7:216                1.317100       431.349500    
482        156            3:8, 5:4, 8:144      8.593400       8.986400      
782        155            8:155                1.121100       430.729300    
366        153            8:153                0.404000       432.144700    
1DA        133            2:3, 3:8, 4:1, 8:121 8.593800       9.004700      
608        117            8:117                28.236100      137.125400    
330        106            8:106                1.133400       432.197800    
1FB        87             8:87                 2.065500       432.094200    
72A        87             8:87                 2.573900       432.581100    
32A        86             5:86                 2.718600       427.727500    
550        54             8:54                 29.851700      376.037200    
518        52             2:52                 31.161900      373.937000    
45B        44             2:44                 2.006800       432.037200    
509        44             5:44                 2.050300       432.077700    
70A        44             5:44                 2.066200       432.095100    
720        44             5:44                 2.120100       432.150200    
549        43             6:43                 9.551900       429.577500    
672        43             8:43                 4.551900       424.578100    
7BC        43             8:43                 7.050700       427.078500    
622        33             8:33                 0.413300       137.068700    
55D        20             8:20                 0.418500       412.496300    
522        19             2:19                 1.427200       406.704100    
1D9        16             6:2, 8:14            64.857900      367.996400    
481        12             3:12                 64.863300      367.995500    
601        12             8:12                 28.127500      137.051500    
60B        12             8:12                 28.288300      137.193200    
534        9              8:9                  42.186600      370.984700    
600        6              8:6                  28.116800      137.014700    
60A        6              8:6                  28.286500      137.159300    
60E        6              8:6                  21.955100      130.916500    
61E        6              8:6                  21.957400      130.925600    
624        6              8:6                  24.989300      133.945100    
625        6              8:6                  24.991300      133.956900    
626        6              8:6                  25.025800      133.965400    
627        6              8:6                  25.028400      133.979200    
515        5              2:5                  42.186300      374.284300    
605        3              8:3                  21.980000      130.933300    
606        3              8:3                  23.486600      132.436400    
628        3              8:3                  25.097300      133.998100    
629        3              8:3                  25.100400      134.000000    
6BB        3              8:3                  25.107000      134.004200    
529        1              8:1                  365.862200     365.862200    
5A8        1              8:1                  367.031100     367.031100    
5C8        1              8:1                  366.985400     366.985400    
634        1              8:1                  365.945200     365.945200    
