signal_key,can_id,evidence_requirement,effective_role,effective_priority,frame_count,asc_actual_dlc,decoded_sample_count,readability,first_value,last_value,observed,transition_count,draft_maturity,analysis_note
PCS_dcdcHvBusDischargeStatus,0x224,ER-05+ER-06+ER-07,高压母线主动放电执行候选,P1,2943,8,2943,READABLE,IDLE,IDLE,IDLE | ACTIVE,3,INSUFFICIENT_EVIDENCE,decode_errors=0
PCS_dcdcMainState,0x224,ER-01+ER-06+ER-07,DCDC主状态机执行候选（低可信验证目标）,P1,2943,8,2943,READABLE,STANDBY,STANDBY,STANDBY,1,SEMANTIC_VALIDATION_FAILED,decode_errors=0
PCS_dcdc12VSupportStatus,0x224,ER-01+ER-06,12V支持执行状态,P0,2943,8,2943,READABLE,ACTIVE,IDLE,ACTIVE | IDLE,4,PARTIALLY_VALIDATED,decode_errors=0
PCS_dcdcLvBusVolt,0x2B4,ER-01+ER-06,PCS侧低压母线反馈候选,P0,2943,6,2943,READABLE,10.703125,10.9765625,7.773438..14.062500,2156,PARTIALLY_VALIDATED,decode_errors=0
PCS_dcdcLvOutputCurrent,0x2B4,ER-06,DCDC输出电流响应候选,P1,2943,6,2943,READABLE,334.1,0,0.000000..385.300000,2087,QUANTITATIVE_SEMANTICS_UNVALIDATED,decode_errors=0
BMS_nmGoingToSleep,0x2F2,ER-08+ER-09,BMS网络管理阶段系统结果候选,P1,2956,2,2956,READABLE,0,0,0,1,INSUFFICIENT_EVIDENCE,decode_errors=0
BMS_hvsBusAsleep,0x2F2,ER-08+ER-09,BMS所见总线休眠反馈候选,P1,2956,2,2956,READABLE,0,1,0 | 1,2,INSUFFICIENT_EVIDENCE,decode_errors=0
BMS_nmKeepAwakeReason,0x2F2,ER-08+ER-09,BMS保持唤醒原因候选,P2,2956,2,2956,READABLE,CTRS_CLOSED,NONE_SNA,CTRS_CLOSED | NONE_SNA,2,INSUFFICIENT_EVIDENCE,decode_errors=0
GTW_nmGoingToSleep,0x458,ER-08+ER-09,网关网络管理阶段系统结果候选,P1,2956,7,2956,READABLE,0,0,0,1,INSUFFICIENT_EVIDENCE,decode_errors=0
GTW_VEHBusAsleep,0x458,ER-08+ER-09,网关所见车辆总线休眠反馈候选,P1,2956,7,2956,READABLE,0,1,0 | 1,2,INSUFFICIENT_EVIDENCE,decode_errors=0
GTW_chBusAsleep,0x458,ER-08+ER-09,网关所见CH总线消费者状态候选,P2,2956,7,2956,READABLE,0,1,0 | 1,2,INSUFFICIENT_EVIDENCE,decode_errors=0
GTW_nmKeepAwakeReason,0x458,ER-08+ER-09,网关保持唤醒原因候选,P2,2956,7,2956,READABLE,NONE_SNA,NONE_SNA,NONE_SNA,1,INSUFFICIENT_EVIDENCE,decode_errors=0
