signal_key,source,message,can_id,dbc_dlc,start_bit,bit_length,byte_order,signed,factor,offset,unit,definition_fingerprint
PCS_dcdcHvBusVolt,input\tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,10,12,little_endian,False,0.146484375,0,V,2B4:5:10:12:little_endian:0:0.146484375:0
PCS_dcdcLvOutputCurrent,input\tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,24,12,little_endian,False,0.1,0,A,2B4:5:24:12:little_endian:0:0.1:0
PCS_dcdc12VSupportStatus,input\tesla_model3_ONYX.dbc,PCS_dcdcStatus,0x224,8,2,2,little_endian,False,1,0,,224:8:2:2:little_endian:0:1:0
PCS_dcdcHvBusDischargeStatus,input\tesla_model3_ONYX.dbc,PCS_dcdcStatus,0x224,8,4,2,little_endian,False,1,0,,224:8:4:2:little_endian:0:1:0
PCS_dcdcMainState,input\tesla_model3_ONYX.dbc,PCS_dcdcStatus,0x224,8,6,4,little_endian,False,1,0,,224:8:6:4:little_endian:0:1:0
UI_readyForDrive,input\tesla_model3_ONYX.dbc,UI_status,0x353,7,9,1,little_endian,False,1,0,,353:7:9:1:little_endian:0:1:0
UI_lockRequest,input\tesla_model3_ONYX.dbc,UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
VCFRONT_vehiclePowerState,input\tesla_model3_ONYX.dbc,VCFRONT_LVPowerState,0x221,8,5,2,little_endian,False,1,0,,221:8:5:2:little_endian:0:1:0
VCFRONT_12vStatusForDrive,input\tesla_model3_ONYX.dbc,VCFRONT_vehicleStatus,0x3A1,8,14,2,little_endian,False,1,0,,3A1:8:14:2:little_endian:0:1:0
VCLEFT_frontLatchStatus,input\tesla_model3_ONYX.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
VCLEFT_frontOccupancyStatus,input\tesla_model3_ONYX.dbc,VCLEFT_restraintStatus,0x30A,4,0,3,little_endian,False,1,0,,30A:4:0:3:little_endian:0:1:0
VCSEC_vehicleLockStatus,input\tesla_model3_ONYX.dbc,VCSEC_authentication,0x339,8,12,4,little_endian,False,1,0,,339:8:12:4:little_endian:0:1:0
VCSEC_lockRequestType,input\tesla_model3_ONYX.dbc,VCSEC_authentication,0x339,8,24,5,little_endian,False,1,0,,339:8:24:5:little_endian:0:1:0
VCSEC_simpleLockStatus,input\tesla_model3_ONYX.dbc,VCSEC_authentication,0x339,8,54,2,little_endian,False,1,0,,339:8:54:2:little_endian:0:1:0
BMS_contactorState,dbc\Model3_ETH_json_reference_optional.dbc,BMS_status,0x212,8,8,3,little_endian,False,1.0,0.0,,212:8:8:3:little_endian:0:1.0:0.0
BMS_hvState,dbc\Model3_ETH_json_reference_optional.dbc,BMS_status,0x212,8,16,3,little_endian,False,1.0,0.0,,212:8:16:3:little_endian:0:1.0:0.0
DI_gear,dbc\Model3_ETH_json_reference_optional.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1.0,0.0,,118:8:21:3:little_endian:0:1.0:0.0
PCS_dcdcLvBusVolt,dbc\Model3_ETH_json_reference_optional.dbc,PCS_dcdcRailStatus,0x2B4,6,0,13,little_endian,False,0.01,0.0,V,2B4:6:0:13:little_endian:0:0.01:0.0
PCS_dcdcLvOutputCurrent,dbc\Model3_ETH_json_reference_optional.dbc,PCS_dcdcRailStatus,0x2B4,6,32,13,little_endian,True,0.1,0.0,A,2B4:6:32:13:little_endian:1:0.1:0.0
VCFRONT_vehiclePowerState,dbc\Model3_ETH_json_reference_optional.dbc,VCFRONT_LVPowerState,0x221,8,5,2,little_endian,False,1.0,0.0,,221:8:5:2:little_endian:0:1.0:0.0
VCLEFT_frontLatchStatus,dbc\Model3_ETH_json_reference_optional.dbc,VCLEFT_doorStatus,0x102,8,14,4,little_endian,False,1.0,0.0,,102:8:14:4:little_endian:0:1.0:0.0
VCLEFT_frontOccupancyStatus,dbc\Model3_ETH_json_reference_optional.dbc,VCLEFT_restraintStatus,0x30A,8,0,3,little_endian,False,1.0,0.0,,30A:8:0:3:little_endian:0:1.0:0.0
UI_readyForDrive,dbc\Model3CAN.dbc,ID00CUI_status,0xC,8,9,1,little_endian,False,1,0,,C:8:9:1:little_endian:0:1:0
UI_readyForDrive,dbc\Model3CAN.dbc,ID353UI_status,0x353,8,9,1,little_endian,False,1,0,,353:8:9:1:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc\Model3CAN.dbc,ID102VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
HVP_packContNegativeState,dbc\Model3CAN.dbc,ID20AHVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,dbc\Model3CAN.dbc,ID20AHVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
UI_lockRequest,dbc\Model3CAN.dbc,ID273UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
PCS_dcdcLvBusVolt,dbc\Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,0,10,little_endian,False,0.0390625,0,V,2B4:5:0:10:little_endian:0:0.0390625:0
PCS_dcdcHvBusVolt,dbc\Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,10,12,little_endian,False,0.146484,0,V,2B4:5:10:12:little_endian:0:0.146484:0
PCS_dcdcLvOutputCurrent,dbc\Model3CAN.dbc,ID2B4PCS_dcdcRailStatus,0x2B4,5,24,12,little_endian,False,0.1,0,A,2B4:5:24:12:little_endian:0:0.1:0
VCFRONT_12vStatusForDrive,dbc\Model3CAN.dbc,ID3A1VCFRONT_vehicleStatus,0x3A1,8,14,2,little_endian,False,1,0,,3A1:8:14:2:little_endian:0:1:0
BMS_contactorState,dbc\Model3CAN.dbc,ID212BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,dbc\Model3CAN.dbc,ID212BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
DI_systemState,dbc\Model3CAN.dbc,ID118DriveSystemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_gear,dbc\Model3CAN.dbc,ID118DriveSystemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
DI_gear,dbc\tesla_can (1).dbc,DI_torque2,0x118,6,12,3,little_endian,False,1,0,,118:6:12:3:little_endian:0:1:0
DI_systemState,dbc\tesla_can (1).dbc,DI_state,0x368,8,0,3,little_endian,False,1,0,,368:8:0:3:little_endian:0:1:0
UI_readyForDrive,dbc\tesla_can (1).dbc,UI_status,0x338,8,10,1,little_endian,False,1,0,,338:8:10:1:little_endian:0:1:0
DI_gear,dbc\tesla_can.dbc,DI_torque2,0x118,6,12,3,little_endian,False,1,0,,118:6:12:3:little_endian:0:1:0
DI_systemState,dbc\tesla_can.dbc,DI_state,0x368,8,0,3,little_endian,False,1,0,,368:8:0:3:little_endian:0:1:0
UI_readyForDrive,dbc\tesla_can.dbc,UI_status,0x338,8,10,1,little_endian,False,1,0,,338:8:10:1:little_endian:0:1:0
BMS_packVoltage,dbc\tesla_model3.dbc,BMS_hvBusStatus,0x132,8,0,16,little_endian,False,0.01,0,V,132:8:0:16:little_endian:0:0.01:0
BMS_contactorState,dbc\tesla_model3.dbc,BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,dbc\tesla_model3.dbc,BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
BMS_nmGoingToSleep,dbc\tesla_model3.dbc,BMS_vehNm,0x2F2,2,0,1,little_endian,False,1,0,,2F2:2:0:1:little_endian:0:1:0
BMS_hvsBusAsleep,dbc\tesla_model3.dbc,BMS_vehNm,0x2F2,2,2,1,little_endian,False,1,0,,2F2:2:2:1:little_endian:0:1:0
BMS_nmKeepAwakeReason,dbc\tesla_model3.dbc,BMS_vehNm,0x2F2,2,4,3,little_endian,False,1,0,,2F2:2:4:3:little_endian:0:1:0
DI_systemState,dbc\tesla_model3.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_gear,dbc\tesla_model3.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
GTW_nmGoingToSleep,dbc\tesla_model3.dbc,GTW_vehNm,0x458,7,0,1,little_endian,False,1,0,,458:7:0:1:little_endian:0:1:0
GTW_chBusAsleep,dbc\tesla_model3.dbc,GTW_vehNm,0x458,7,2,1,little_endian,False,1,0,,458:7:2:1:little_endian:0:1:0
GTW_nmKeepAwakeReason,dbc\tesla_model3.dbc,GTW_vehNm,0x458,7,4,4,little_endian,False,1,0,,458:7:4:4:little_endian:0:1:0
HVP_packContNegativeState,dbc\tesla_model3.dbc,HVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,dbc\tesla_model3.dbc,HVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
PCS_dcdc12VSupportStatus,dbc\tesla_model3.dbc,PCS_dcdcStatus,0x224,8,2,2,little_endian,False,1,0,,224:8:2:2:little_endian:0:1:0
PCS_dcdcHvBusDischargeStatus,dbc\tesla_model3.dbc,PCS_dcdcStatus,0x224,8,4,2,little_endian,False,1,0,,224:8:4:2:little_endian:0:1:0
PCS_dcdcMainState,dbc\tesla_model3.dbc,PCS_dcdcStatus,0x224,8,6,4,little_endian,False,1,0,,224:8:6:4:little_endian:0:1:0
PCS_dcdcLvOutputCurrent,dbc\tesla_model3.dbc,PCS_dcdcStatus,0x224,8,16,12,little_endian,False,0.1,0,A,224:8:16:12:little_endian:0:0.1:0
PCS_dcdcLvBusVolt,dbc\tesla_model3.dbc,PCS_logging,0x2C4,8,5,10,little_endian,False,0.0390625,0,V,2C4:8:5:10:little_endian:0:0.0390625:0
PCS_dcdcHvBusVolt,dbc\tesla_model3.dbc,PCS_logging,0x2C4,8,16,12,little_endian,False,0.146484,0,V,2C4:8:16:12:little_endian:0:0.146484:0
UI_readyForDrive,dbc\tesla_model3.dbc,UI_status,0xC,7,9,1,little_endian,False,1,0,,C:7:9:1:little_endian:0:1:0
UI_lockRequest,dbc\tesla_model3.dbc,UI_vehicleControl,0x273,8,17,3,little_endian,False,1,0,,273:8:17:3:little_endian:0:1:0
VCFRONT_vehiclePowerState,dbc\tesla_model3.dbc,VCFRONT_LVPowerState,0x221,8,5,2,little_endian,False,1,0,,221:8:5:2:little_endian:0:1:0
VCFRONT_12vStatusForDrive,dbc\tesla_model3.dbc,VCFRONT_vehicleStatus,0x3A1,8,14,2,little_endian,False,1,0,,3A1:8:14:2:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc\tesla_model3.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
VCLEFT_frontOccupancyStatus,dbc\tesla_model3.dbc,VCLEFT_restraintStatus,0x30A,4,0,3,little_endian,False,1,0,,30A:4:0:3:little_endian:0:1:0
VCSEC_vehicleLockStatus,dbc\tesla_model3.dbc,VCSEC_authentication,0x339,8,12,4,little_endian,False,1,0,,339:8:12:4:little_endian:0:1:0
VCSEC_lockRequestType,dbc\tesla_model3.dbc,VCSEC_authentication,0x339,8,24,5,little_endian,False,1,0,,339:8:24:5:little_endian:0:1:0
VCSEC_simpleLockStatus,dbc\tesla_model3.dbc,VCSEC_authentication,0x339,8,54,2,little_endian,False,1,0,,339:8:54:2:little_endian:0:1:0
DI_systemState,dbc\tesla_model3_party.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_gear,dbc\tesla_model3_party.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
VCFRONT_vehiclePowerState,dbc\tesla_model3_party.dbc,VCFRONT_LVPowerState,0x221,8,5,2,little_endian,False,1,0,,221:8:5:2:little_endian:0:1:0
DI_systemState,dbc\tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_gear,dbc\tesla_model3_vehicle.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
VCLEFT_frontLatchStatus,dbc\tesla_model3_vehicle.dbc,VCLEFT_doorStatus,0x102,8,0,4,little_endian,False,1,0,,102:8:0:4:little_endian:0:1:0
DI_gear,dbc\tesla_powertrain.dbc,DI_torque2,0x116,6,12,3,little_endian,False,1,0,,116:6:12:3:little_endian:0:1:0
DI_systemState,dbc\tesla_powertrain.dbc,DI_state,0x256,8,0,3,little_endian,False,1,0,,256:8:0:3:little_endian:0:1:0
